epoch,total_loss,data_loss,pde_loss,tv_loss
0,0.14996495801195944,0.14996495801195944,0.0,0.0
1,0.005503552833743697,0.005503552833743697,0.0,0.0
2,0.0022647731112129814,0.0022647731112129814,0.0,0.0
3,0.0016171265267268572,0.0016171265267268572,0.0,0.0
4,0.00144422868614256,0.00144422868614256,0.0,0.0
5,0.001505105066849066,0.001505105066849066,0.0,0.0
6,0.0015232316510200693,0.0015232316510200693,0.0,0.0
7,0.0015154506843705914,0.0015154506843705914,0.0,0.0
8,0.0014476193458311274,0.0014476193458311274,0.0,0.0
9,0.001488845153878678,0.001488845153878678,0.0,0.0
10,0.0015244138061609963,0.0015244138061609963,0.0,0.0
11,0.0015169165834766525,0.0015169165834766525,0.0,0.0
12,0.001552894670103096,0.001552894670103096,0.0,0.0
13,0.0015539788156943707,0.0015539788156943707,0.0,0.0
14,0.0015680466464820996,0.0015680466464820996,0.0,0.0
15,0.0014392028008351169,0.0014392028008351169,0.0,0.0
16,0.0014692759160651089,0.0014692759160651089,0.0,0.0
17,0.0013926719682883222,0.0013926719682883222,0.0,0.0
18,0.0014152088784801953,0.0014152088784801953,0.0,0.0
19,0.001458934364891035,0.001458934364891035,0.0,0.0
20,0.0014959046851563663,0.0014959046851563663,0.0,0.0
21,0.0014856212325851993,0.0014856212325851993,0.0,0.0
22,0.0014331979200501404,0.0014331979200501404,0.0,0.0
23,0.001410980343376744,0.001410980343376744,0.0,0.0
24,0.0014211967769069964,0.0014211967769069964,0.0,0.0
25,0.0013985337289448422,0.0013985337289448422,0.0,0.0
26,0.0014282497864608436,0.0014282497864608436,0.0,0.0
27,0.0013920525283705977,0.0013920525283705977,0.0,0.0
28,0.0013757632867960289,0.0013757632867960289,0.0,0.0
29,0.00139411355708709,0.00139411355708709,0.0,0.0
30,0.0014397064213334126,0.0014397064213334126,0.0,0.0
31,0.0014552488417992832,0.0014552488417992832,0.0,0.0
32,0.001469222402560594,0.001469222402560594,0.0,0.0
33,0.0014862393659802067,0.0014862393659802067,0.0,0.0
34,0.0015318555026878735,0.0015318555026878735,0.0,0.0
35,0.0014673766532938449,0.0014673766532938449,0.0,0.0
36,0.0014165600661567206,0.0014165600661567206,0.0,0.0
37,0.0014309579366756139,0.0014309579366756139,0.0,0.0
38,0.0014974697320799344,0.0014974697320799344,0.0,0.0
39,0.0018870297901355867,0.0018870297901355867,0.0,0.0
40,0.0016522469316327482,0.0016522469316327482,0.0,0.0
41,0.0014648155954237818,0.0014648155954237818,0.0,0.0
42,0.0013572612973551232,0.0013572612973551232,0.0,0.0
43,0.0013567878997905655,0.0013567878997905655,0.0,0.0
44,0.0013665073299334118,0.0013665073299334118,0.0,0.0
45,0.0013378849500385798,0.0013378849500385798,0.0,0.0
46,0.0013477153309562333,0.0013477153309562333,0.0,0.0
