hidden_layers,hidden_omega_0,num_seeds,final_train_loss_mean,final_train_loss_std,min_train_loss_mean,min_train_loss_std,u_rel_l2_mean,u_rel_l2_std,ux_rel_l2_mean,ux_rel_l2_std,uxx_rel_l2_mean,uxx_rel_l2_std,uxxx_rel_l2_mean,uxxx_rel_l2_std
3,0.1,3,0.0038039288988642433,0.001844518910359325,0.003599963433025454,0.0019493940798938946,0.07242793421901918,0.013505166599168473,0.41588978140387817,0.08491135802142484,1.0589054102221669,0.1053099578901553,1.2600613825012976,0.2023404599557998
3,0.25,3,0.0018484380343194717,0.0008106350519756242,0.001825072295981011,0.000816171063425822,0.032490496091924455,0.0071333783947857745,0.2030806820553812,0.07264407078192357,0.6184158484273413,0.09537669731350946,0.8139140710321957,0.04954108625544518
3,0.5,3,0.0014778184892348552,0.0005664758636456836,0.0014570953285016081,0.0005644814476198551,0.020876937293784148,0.0028622826299785262,0.09907802471200455,0.009369260483462833,0.3469830201070761,0.06865795721790148,0.4724530639254875,0.16003370791331392
3,1.0,3,0.001369279329775877,0.0005255198966408008,0.0013637725974029059,0.0005287002143504854,0.015321035500629174,0.000952875124571587,0.07838208259443828,0.017874046385396,0.1921124655106834,0.03898066381531773,0.3830948253879698,0.12868832344320114
4,0.1,3,0.003001631163036027,0.0011359151442267075,0.002906924219575351,0.0011717073757526503,0.05933503616940985,0.005647033216356084,0.39022108951923307,0.026644700762518223,1.204720767008201,0.2509666303306001,1.6663453545940794,0.5277344346589523
4,0.25,3,0.0017016328395117646,0.0006424040801651598,0.0016649011411659772,0.0006349273986771477,0.027547035264066527,0.0017053605518525942,0.16217694131126104,0.014241532177744737,0.5394665082775332,0.06186658182660526,0.7230380373534397,0.1273808400199273
4,0.5,3,0.001446939664818938,0.0005485712113048289,0.0014318246868680474,0.000541616369586203,0.0206242506262996,0.0023987146377504012,0.09489507559425094,0.006899650204339097,0.27378079557352264,0.052161609605029455,0.42342504753395627,0.026311551915000984
4,1.0,3,0.0013760096136672749,0.0005393137366536885,0.0013598984211471387,0.0005258215244083466,0.01567222356724451,0.0008045135674699293,0.08897578996599631,0.020477967079710856,0.20026242709293207,0.024168791025411904,0.4532632573479654,0.23494247133115798
5,0.1,3,0.0029103875680082532,0.0011420485059622436,0.002815837095979424,0.00106147849660718,0.0592433375977116,0.0027758463027783876,0.4026344138548353,0.01154006634037339,1.3887313203043876,0.40187789699713566,2.1867589336709843,0.9133253951885041
5,0.25,3,0.0016352609126390053,0.0006015448924095382,0.0015928079900775283,0.0005973659436355539,0.02606918507002828,0.0008620221299239894,0.1449998679219322,0.020159016626357242,0.5053918913489289,0.13196550847800037,0.7120048689734001,0.28345618495537456
5,0.5,3,0.0014409857842745998,0.0005500784099987817,0.0014295423075078775,0.0005461671909958157,0.020208387868360534,0.0010037359825642161,0.10495714506064607,0.013155959039539707,0.26162927175661826,0.0638573696985539,0.474185258887778,0.0876808650281535
5,1.0,3,0.0013783861517723869,0.0005241592075089984,0.0013605481458374511,0.0005234087654474743,0.017109864669029792,0.0011082460486677148,0.10572893214253504,0.023610108794311455,0.2714774651936068,0.043195839530785304,0.6567872353461099,0.2845608567595069
