epoch,total_loss,tv_loss,l1_loss,pde_loss,data_loss
0,8.025679588317871,0.0,3.191042423248291,0.0004946735571138561,0.8025432229042053
1,7.25789213180542,0.0,3.1891562938690186,0.00030063718440942466,0.7257741689682007
2,7.157196521759033,0.0,3.1889753341674805,0.0005422322428785264,0.7156925201416016
3,7.147654056549072,0.0,3.190544605255127,0.0010766761843115091,0.7147115468978882
4,6.446530818939209,0.0,3.192180633544922,0.0015727400314062834,0.6445744633674622
5,6.865780830383301,0.0,3.19429612159729,0.0020224438048899174,0.6864769458770752
6,6.778491973876953,0.0,3.1968441009521484,0.0025776538532227278,0.677720308303833
7,6.601810932159424,0.0,3.199252128601074,0.0036935927346348763,0.6599963903427124
8,6.255870819091797,0.0,3.2014405727386475,0.005227987188845873,0.6253256797790527
9,6.433107852935791,0.0,3.2033398151397705,0.006341071799397469,0.6429937481880188
10,6.097814083099365,0.0,3.204235553741455,0.008327323943376541,0.6093650460243225
11,6.463275909423828,0.0,3.204707145690918,0.009870699606835842,0.6458340883255005
12,6.058822154998779,0.0,3.205000162124634,0.01156124472618103,0.6053041219711304
13,5.700538635253906,0.0,3.205197334289551,0.013139519840478897,0.5693968534469604
14,6.193134784698486,0.0,3.205479145050049,0.013556825928390026,0.6186356544494629
15,6.094441890716553,0.0,3.205720901489258,0.015300041064620018,0.6086791753768921
16,5.685848712921143,0.0,3.20599102973938,0.01748972199857235,0.5677103996276855
17,6.009903430938721,0.0,3.2063510417938232,0.018560269847512245,0.6000623106956482
18,6.275628089904785,0.0,3.2070515155792236,0.019651951268315315,0.6265801787376404
19,5.932358741760254,0.0,3.2080352306365967,0.019567644223570824,0.5922574996948242
20,5.9914937019348145,0.0,3.2092373371124268,0.018846850842237473,0.5982070565223694
21,6.388805866241455,0.0,3.2106478214263916,0.017136629670858383,0.6380237340927124
22,5.901904106140137,0.0,3.212174892425537,0.016091955825686455,0.5893858075141907
23,5.775317192077637,0.0,3.2136893272399902,0.014799474738538265,0.5767917633056641
24,6.1477813720703125,0.0,3.215195655822754,0.013618020340800285,0.6140972375869751
25,6.035096645355225,0.0,3.2166523933410645,0.013427723199129105,0.6028382778167725
26,6.052166938781738,0.0,3.2180209159851074,0.013389465399086475,0.6045472025871277
27,5.430725574493408,0.0,3.2192471027374268,0.01658257655799389,0.5422434210777283
28,5.815404415130615,0.0,3.2202887535095215,0.01328271348029375,0.5808762907981873
29,6.282901763916016,0.0,3.221149206161499,0.013098846189677715,0.6276352405548096
30,5.874945163726807,0.0,3.2216858863830566,0.012526324950158596,0.586868166923523
31,5.932997703552246,0.0,3.221893787384033,0.01204772014170885,0.5926973819732666
32,5.497512340545654,0.0,3.2216575145721436,0.011542861349880695,0.5491740703582764
33,5.901668071746826,0.0,3.2210779190063477,0.01047530211508274,0.5896430611610413
34,5.432958602905273,0.0,3.2202186584472656,0.0102707389742136,0.5427823066711426
35,5.431828498840332,0.0,3.219005823135376,0.010393930599093437,0.5426631569862366
36,5.479286193847656,0.0,3.2175369262695312,0.009871172718703747,0.5474350452423096
37,6.1217145919799805,0.0,3.2158138751983643,0.009636091068387032,0.6116896867752075
38,5.415816307067871,0.0,3.2138876914978027,0.010027000680565834,0.5410802960395813
39,5.7130632400512695,0.0,3.211698293685913,0.011060127057135105,0.5707533359527588
40,6.336268901824951,0.0,3.2091879844665527,0.011762884445488453,0.6330387592315674
41,4.195347785949707,0.0,3.2062907218933105,0.01315587293356657,0.418876975774765
42,5.4955315589904785,0.0,3.202913284301758,0.012048670090734959,0.548950731754303
43,5.508924961090088,0.0,3.1993041038513184,0.011004636995494366,0.5503422617912292
44,5.311422348022461,0.0,3.1956465244293213,0.012185918167233467,0.530532956123352
45,5.911062717437744,0.0,3.1918370723724365,0.012169481255114079,0.5904977917671204
46,5.433096885681152,0.0,3.1879262924194336,0.011973072774708271,0.5427110195159912
47,5.642756938934326,0.0,3.1840438842773438,0.012442260980606079,0.5636535882949829
48,5.741804122924805,0.0,3.180169105529785,0.012661086395382881,0.57354736328125
49,5.57681131362915,0.0,3.1763527393341064,0.013713479042053223,0.5569954514503479
50,5.026896953582764,0.0,3.172466278076172,0.014844595454633236,0.5019474625587463
51,5.295422554016113,0.0,3.1684603691101074,0.015396367758512497,0.5287724733352661
52,5.668795108795166,0.0,3.1643364429473877,0.017353661358356476,0.5660117864608765
53,5.181941509246826,0.0,3.1599972248077393,0.018503902480006218,0.51726895570755
54,5.912200450897217,0.0,3.155463218688965,0.01941097341477871,0.5902494788169861
55,5.7251973152160645,0.0,3.1506853103637695,0.021346591413021088,0.5714523792266846
56,5.020616054534912,0.0,3.145662784576416,0.018209999427199364,0.5011510848999023
57,5.216772556304932,0.0,3.140676736831665,0.019593896344304085,0.5206975340843201
58,5.458362102508545,0.0,3.1355836391448975,0.018076391890645027,0.5449324250221252
59,5.619536399841309,0.0,3.130589246749878,0.01924564689397812,0.5609913468360901
60,5.445368766784668,0.0,3.1255791187286377,0.019021697342395782,0.5435857772827148
61,4.987211227416992,0.0,3.1205661296844482,0.01969306170940399,0.49773645401000977
62,5.261006832122803,0.0,3.1155056953430176,0.02076728828251362,0.5250623226165771
63,5.703226566314697,0.0,3.110365152359009,0.0215467419475317,0.5692453384399414
64,5.205009937286377,0.0,3.105039119720459,0.022324470803141594,0.5193847417831421
65,5.209826469421387,0.0,3.0995607376098633,0.02203614078462124,0.5198808312416077
66,5.182456970214844,0.0,3.093942165374756,0.021188538521528244,0.5171862840652466
67,5.477859020233154,0.0,3.088311195373535,0.02236126735806465,0.5466678738594055
68,5.3591814041137695,0.0,3.082590103149414,0.021956520155072212,0.5348203182220459
69,4.675808906555176,0.0,3.0768585205078125,0.021754402667284012,0.466493159532547
70,5.21799898147583,0.0,3.07118558883667,0.02370348572731018,0.520614743232727
