epoch,total_loss,tv_loss,l1_loss,pde_loss,data_loss
0,8.92293930053711,0.0,2.5420141220092773,0.004982778802514076,0.8920447826385498
1,8.664498329162598,0.0,2.548017978668213,0.004044269677251577,0.8662476539611816
2,7.318173885345459,0.0,2.5531821250915527,0.0032158736139535904,0.7316566109657288
3,7.679803848266602,0.0,2.5576131343841553,0.002340851351618767,0.7678633332252502
4,6.604020595550537,0.0,2.561514377593994,0.001830443274229765,0.6603105664253235
5,6.931354522705078,0.0,2.5645389556884766,0.002062470419332385,0.6930323243141174
6,6.1483893394470215,0.0,2.567396879196167,0.0032954297494143248,0.6146741509437561
7,6.634735107421875,0.0,2.569627523422241,0.004580328240990639,0.6632444858551025
8,6.331329822540283,0.0,2.5711658000946045,0.006184563972055912,0.6328237652778625
9,6.37024450302124,0.0,2.5716848373413086,0.007237680722028017,0.6366626024246216
10,5.984752178192139,0.0,2.5715928077697754,0.009474977850914001,0.5980014801025391
11,6.330325126647949,0.0,2.5708956718444824,0.010597496293485165,0.6325026750564575
12,6.34266996383667,0.0,2.5699620246887207,0.011246017180383205,0.6337047219276428
13,6.542630195617676,0.0,2.5688138008117676,0.011220253072679043,0.6537020206451416
14,5.97683048248291,0.0,2.567972421646118,0.011724164709448814,0.5970968008041382
15,5.95642614364624,0.0,2.5681731700897217,0.01226086262613535,0.5950295925140381
16,6.772494792938232,0.0,2.569192886352539,0.014281800016760826,0.6765353679656982
17,5.940727233886719,0.0,2.5706331729888916,0.014932174235582352,0.5933260917663574
18,6.162123203277588,0.0,2.5722298622131348,0.01626737415790558,0.6153989434242249
19,6.0774431228637695,0.0,2.573263168334961,0.01633479818701744,0.6069275736808777
20,6.286139965057373,0.0,2.573890209197998,0.017165085300803185,0.6277557611465454
21,6.525888442993164,0.0,2.5741653442382812,0.016214098781347275,0.6517781019210815
22,6.064030647277832,0.0,2.5740768909454346,0.016112249344587326,0.6055974364280701
23,6.088232040405273,0.0,2.573697090148926,0.014943353831768036,0.6080760359764099
24,5.817630767822266,0.0,2.5730512142181396,0.015209008939564228,0.5810025930404663
25,6.076707363128662,0.0,2.572082042694092,0.014648070558905602,0.6069383025169373
26,5.602437496185303,0.0,2.570807933807373,0.014160257764160633,0.5595357418060303
27,5.65378475189209,0.0,2.569181203842163,0.012929749675095081,0.5647319555282593
