feature,Burgers truth,unscaled final physical coefficient,scaled final physical coefficient,unscaled absolute error,scaled absolute error
u,0.0,-0.31024840474128723,-0.14851807112448515,0.31024840474128723,0.14851807112448515
u_x,0.0,-0.5875549912452698,-0.14686619827674183,0.5875549912452698,0.14686619827674183
u_xx,0.02,0.39649727940559387,0.006308253118259485,0.37649727940559385,0.013691746881740515
u^2,0.0,0.08757734298706055,0.05548333489217692,0.08757734298706055,0.05548333489217692
u*u_x,-1.0,-0.222420796751976,-0.08300948422343161,0.777579203248024,0.9169905157765684
u*u_xx,0.0,-0.15320947766304016,-0.005056269556563506,0.15320947766304016,0.005056269556563506
u_x^2,0.0,0.10505922138690948,0.010068276123990824,0.10505922138690948,0.010068276123990824
u_x*u_xx,0.0,0.009415318258106709,-0.0001837892560832297,0.009415318258106709,0.0001837892560832297
u_xx^2,0.0,-0.16995789110660553,-7.225336149950016e-05,0.16995789110660553,7.225336149950016e-05
