epoch,data_loss,pde_loss,total_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,5.8619985793484375e-05,17274372.0,8637186.0,1.0768242891534225,0.6397504724785094,-0.15968042612075806,-0.5580872297286987,0.4045155644416809,0.09362886846065521,-0.22384430468082428,-0.14391295611858368,0.10496052354574203,0.007928880862891674,-0.17822623252868652
1,0.002747712656855583,9510995.0,4755497.5,1.0769596934126913,0.6399224132470859,-0.1591804325580597,-0.5585872530937195,0.40401557087898254,0.09341461211442947,-0.2235506922006607,-0.14407683908939362,0.10489483177661896,0.008321019820868969,-0.1777244359254837
2,0.010279140435159206,3883814.25,1941907.125,1.0770969285856433,0.6401013880569391,-0.15871450304985046,-0.5590749979019165,0.4035578668117523,0.0932110995054245,-0.22328166663646698,-0.14423198997974396,0.10483542829751968,0.008674709126353264,-0.17725051939487457
3,0.0219731368124485,3087201.0,1543600.5,1.0772207766307527,0.6402710923855577,-0.1582610011100769,-0.5595300793647766,0.4031031131744385,0.09302877634763718,-0.2230253964662552,-0.14437240362167358,0.10477914661169052,0.009023033082485199,-0.17682982981204987
4,0.033973801881074905,1379780.875,689890.5,1.0773709084445353,0.6404583604777025,-0.15791559219360352,-0.5599607825279236,0.4028259515762329,0.0928594321012497,-0.2228349894285202,-0.1445048302412033,0.10473927110433578,0.009256440214812756,-0.17644540965557098
5,0.04946957528591156,589383.1875,294691.65625,1.077523765373755,0.6406445837647158,-0.1576220989227295,-0.5603612065315247,0.40262219309806824,0.09270698577165604,-0.22267623245716095,-0.14462527632713318,0.10470689833164215,0.009443378075957298,-0.1761031150817871
6,0.06328250467777252,744821.3125,372410.71875,1.0776676058061554,0.6408134939297475,-0.15734511613845825,-0.5607237815856934,0.4024789035320282,0.09257097542285919,-0.2225455492734909,-0.14473387598991394,0.10468082875013351,0.00958953332155943,-0.17580094933509827
7,0.0784517154097557,419995.25,209997.703125,1.0778118908060743,0.6409761082407959,-0.15709705650806427,-0.5610608458518982,0.40239930152893066,0.09244624525308609,-0.2224404364824295,-0.1448354572057724,0.10466057807207108,0.009695897810161114,-0.17552819848060608
8,0.09246952831745148,325583.25,162791.71875,1.0779432889214335,0.6411223979084398,-0.15684591233730316,-0.5613709092140198,0.4023456871509552,0.09233257919549942,-0.222352534532547,-0.14492958784103394,0.10464414209127426,0.009778334759175777,-0.17528288066387177
9,0.09946611523628235,354895.59375,177447.890625,1.0780590412060418,0.6412492954000211,-0.15657949447631836,-0.5616550445556641,0.40230387449264526,0.09222842007875443,-0.22227615118026733,-0.14501772820949554,0.10463008284568787,0.009846779517829418,-0.1750614047050476
10,0.10890555381774902,295834.28125,147917.25,1.0781644787013924,0.6413613001236432,-0.15630416572093964,-0.5619178414344788,0.4022800624370575,0.09213186800479889,-0.22221064567565918,-0.14510148763656616,0.1046183705329895,0.009900904260575771,-0.1748596876859665
11,0.11917804181575775,262682.59375,131341.421875,1.0782564870497255,0.6414574175978924,-0.15601135790348053,-0.562161386013031,0.4022589921951294,0.09204233437776566,-0.2221520096063614,-0.14518095552921295,0.10460804402828217,0.009948007762432098,-0.17467553913593292
12,0.12795501947402954,264480.71875,132240.484375,1.0783337712343313,0.6415392797649625,-0.15570653975009918,-0.5623867511749268,0.4022313356399536,0.09195923805236816,-0.22209879755973816,-0.1452561765909195,0.10459882766008377,0.009990241378545761,-0.17450697720050812
13,0.1389496922492981,237581.21875,118790.75,1.0783973366329183,0.6416069815113357,-0.15538331866264343,-0.5625963807106018,0.40219998359680176,0.09188161790370941,-0.22205111384391785,-0.1453280746936798,0.10459073632955551,0.010026753880083561,-0.1743519902229309
14,0.14307424426078796,200432.734375,100216.5078125,1.0784492701650172,0.6416617404233469,-0.1550486832857132,-0.5627901554107666,0.4021669626235962,0.09180885553359985,-0.22200806438922882,-0.14539708197116852,0.10458357632160187,0.01005861721932888,-0.17420923709869385
15,0.1517404019832611,242989.0625,121494.6796875,1.0784924566464829,0.641705918120239,-0.15470843017101288,-0.562969446182251,0.4021344482898712,0.09174055606126785,-0.2219686657190323,-0.14546369016170502,0.10457711666822433,0.010087591595947742,-0.17407768964767456
16,0.1584874391555786,225713.515625,112856.9140625,1.0785319080736422,0.6417439735424979,-0.15437449514865875,-0.5631366968154907,0.4021099805831909,0.09167609363794327,-0.22193334996700287,-0.14552795886993408,0.10457148402929306,0.010112003423273563,-0.17395563423633575
17,0.15607842803001404,252401.296875,126200.8046875,1.0785625818665245,0.6417742632546041,-0.15403859317302704,-0.5632926225662231,0.402080237865448,0.09161518514156342,-0.22190120816230774,-0.14558999240398407,0.10456648468971252,0.010133489035069942,-0.17384220659732819
18,0.16294574737548828,211911.109375,105955.71875,1.078589244245273,0.6418017906605338,-0.15371309220790863,-0.5634398460388184,0.40205118060112,0.09155705571174622,-0.22187268733978271,-0.1456506848335266,0.10456223785877228,0.010150570422410965,-0.17373615503311157
19,0.17974640429019928,241882.90625,120941.6328125,1.0786086629074934,0.6418224779425453,-0.15338316559791565,-0.5635779500007629,0.4020194113254547,0.09150175750255585,-0.22184723615646362,-0.14570975303649902,0.10455861687660217,0.01016430277377367,-0.17363718152046204
20,0.1740328073501587,225223.140625,112611.7421875,1.0786259156883564,0.6418407822593596,-0.1530662178993225,-0.5637077689170837,0.40199044346809387,0.09144912660121918,-0.22182419896125793,-0.14576679468154907,0.10455545037984848,0.010175550356507301,-0.17354419827461243
21,0.17835164070129395,219434.390625,109717.375,1.078636503518932,0.6418546931287555,-0.15275537967681885,-0.5638288855552673,0.40195319056510925,0.091398686170578,-0.2218027114868164,-0.1458227038383484,0.10455255210399628,0.010185747407376766,-0.1734568029642105
22,0.1870037168264389,202876.796875,101438.5859375,1.0786439956573135,0.6418680620019713,-0.15246158838272095,-0.5639429688453674,0.40191128849983215,0.09135036170482635,-0.22178278863430023,-0.14587730169296265,0.10454992949962616,0.01019482221454382,-0.1733744591474533
23,0.19590263068675995,219699.125,109849.7578125,1.0786510939267067,0.6418804608811164,-0.15218479931354523,-0.5640496015548706,0.40187281370162964,0.09130387753248215,-0.22176429629325867,-0.14593099057674408,0.10454755276441574,0.010202785022556782,-0.17329691350460052
24,0.19496051967144012,169706.53125,84853.4609375,1.0786579962105216,0.6418934554658888,-0.1519235521554947,-0.5641513466835022,0.4018365144729614,0.09125925600528717,-0.22174763679504395,-0.14598321914672852,0.10454552620649338,0.010208696126937866,-0.17322345077991486
25,0.19258888065814972,195024.765625,97512.578125,1.0786639913814926,0.6419081696214761,-0.1516856849193573,-0.5642472505569458,0.40179815888404846,0.09121639281511307,-0.22173264622688293,-0.1460343599319458,0.10454385727643967,0.010212943889200687,-0.17315427958965302
26,0.20253095030784607,188264.875,94132.640625,1.0786675108496142,0.6419227745473455,-0.151462122797966,-0.564337968826294,0.401755690574646,0.09117510914802551,-0.22171898186206818,-0.14608438313007355,0.10454242676496506,0.010215984657406807,-0.1730886995792389
27,0.20482470095157623,190368.453125,95184.4296875,1.0786727645368712,0.6419384093397602,-0.1512582153081894,-0.5644235014915466,0.4017193019390106,0.09113528579473495,-0.22170674800872803,-0.14613328874111176,0.10454126447439194,0.010217432864010334,-0.17302639782428741
28,0.20257997512817383,158334.9375,79167.671875,1.0786808041204878,0.641954468813323,-0.15106914937496185,-0.5645046830177307,0.40169307589530945,0.09109707921743393,-0.22169598937034607,-0.14618057012557983,0.1045403704047203,0.010217134840786457,-0.17296704649925232
29,0.20740333199501038,141521.25,70760.8359375,1.0786869981517553,0.641968917167273,-0.15088851749897003,-0.5645807385444641,0.40166616439819336,0.09106022119522095,-0.22168612480163574,-0.14622695744037628,0.10453962534666061,0.010216282680630684,-0.17291079461574554
30,0.21141205728054047,142587.390625,71293.90625,1.0786938980259055,0.641984378828411,-0.15072119235992432,-0.5646533966064453,0.4016416072845459,0.09102467447519302,-0.2216772735118866,-0.1462724208831787,0.10453906655311584,0.010214642621576786,-0.17285756766796112
31,0.20993481576442719,133643.53125,66821.9765625,1.0786963494410404,0.6419955699129508,-0.15054920315742493,-0.5647215247154236,0.4016130864620209,0.09099026769399643,-0.22166912257671356,-0.14631718397140503,0.10453865677118301,0.010212664492428303,-0.17280703783035278
32,0.21827591955661774,160809.4375,80404.9375,1.0787005279930686,0.6420091493305894,-0.15039147436618805,-0.564787745475769,0.4015870988368988,0.09095711261034012,-0.2216617912054062,-0.14636093378067017,0.10453839600086212,0.010210154578089714,-0.17275911569595337
33,0.2123611867427826,159160.171875,79580.296875,1.0787075678473055,0.6420253944408086,-0.1502510905265808,-0.5648518204689026,0.4015664756298065,0.09092497080564499,-0.22165532410144806,-0.14640368521213531,0.10453828424215317,0.010206625796854496,-0.17271311581134796
34,0.21993368864059448,110354.1796875,55177.30859375,1.0787202084154635,0.6420452948657719,-0.1501314491033554,-0.5649139881134033,0.4015572667121887,0.09089367091655731,-0.22164970636367798,-0.14644578099250793,0.10453829914331436,0.010202091187238693,-0.17266884446144104
35,0.210493266582489,115232.0625,57616.2421875,1.0787367046409768,0.642069183632578,-0.1500380039215088,-0.5649730563163757,0.4015529453754425,0.09086351841688156,-0.22164443135261536,-0.1464868187904358,0.10453837364912033,0.010197801515460014,-0.17262689769268036
36,0.21399883925914764,111774.7890625,55887.609375,1.0787540814621925,0.6420938510847612,-0.14995253086090088,-0.5650303363800049,0.4015505015850067,0.09083444625139236,-0.2216394990682602,-0.14652681350708008,0.10453849285840988,0.010193685069680214,-0.17258696258068085
37,0.2151642143726349,107584.5703125,53792.5,1.0787725929618146,0.6421203258357353,-0.14987942576408386,-0.5650858283042908,0.4015488922595978,0.0908062532544136,-0.2216348946094513,-0.14656610786914825,0.10453867167234421,0.010189672000706196,-0.17254887521266937
38,0.20924124121665955,99347.8125,49674.1171875,1.0787926489285202,0.6421487515182027,-0.14982275664806366,-0.5651386380195618,0.40154939889907837,0.0907788798213005,-0.22163079679012299,-0.14660479128360748,0.1045389473438263,0.010185309685766697,-0.17251254618167877
39,0.20513956248760223,94762.8515625,47381.6328125,1.0788133226011303,0.6421774794053898,-0.1497746706008911,-0.565189003944397,0.40155190229415894,0.09075229614973068,-0.22162707149982452,-0.14664286375045776,0.10453927516937256,0.010180994868278503,-0.17247791588306427
40,0.20089668035507202,87187.390625,43593.89453125,1.078836862300606,0.642209580991483,-0.14974600076675415,-0.5652375817298889,0.4015578329563141,0.09072647988796234,-0.22162383794784546,-0.1466802954673767,0.10453970730304718,0.010176287032663822,-0.1724449098110199
41,0.21048471331596375,75932.7734375,37966.59765625,1.078860696661282,0.6422446289966027,-0.14973193407058716,-0.5652852654457092,0.40156039595603943,0.09070160984992981,-0.22162097692489624,-0.1467166244983673,0.10454021394252777,0.010171501897275448,-0.17241349816322327
42,0.21100233495235443,69927.53125,34963.9765625,1.078888026612126,0.6422853267743368,-0.14974714815616608,-0.5653311610221863,0.4015641212463379,0.09067761898040771,-0.22161850333213806,-0.14675219357013702,0.10454079508781433,0.010166749358177185,-0.17238368093967438
43,0.20466116070747375,71984.8125,35992.609375,1.0789127074322107,0.6423238443896845,-0.1497599333524704,-0.5653748512268066,0.40156444907188416,0.09065454453229904,-0.2216162383556366,-0.14678674936294556,0.10454140603542328,0.01016221847385168,-0.17235541343688965
44,0.2049751877784729,73981.28125,36990.84375,1.078937530037871,0.6423634672734653,-0.14978185296058655,-0.5654169917106628,0.4015634059906006,0.0906321257352829,-0.2216140180826187,-0.14682072401046753,0.10454201698303223,0.010158142074942589,-0.17232851684093475
45,0.20480971038341522,77158.9921875,38579.69921875,1.078963449769403,0.6424038434316662,-0.1498105376958847,-0.5654579401016235,0.4015650153160095,0.09061052650213242,-0.22161220014095306,-0.1468537151813507,0.10454270988702774,0.010153832845389843,-0.17230281233787537
46,0.20170028507709503,73457.75,36729.078125,1.078989982168527,0.6424449854528455,-0.1498441845178604,-0.5654982328414917,0.40156739950180054,0.09058960527181625,-0.22161054611206055,-0.14688585698604584,0.10454341769218445,0.010149603709578514,-0.17227813601493835
47,0.1947462558746338,65372.390625,32686.390625,1.0790182120512386,0.6424876899822379,-0.14988528192043304,-0.5655379891395569,0.40157240629196167,0.09056906402111053,-0.22160911560058594,-0.14691783487796783,0.10454415529966354,0.010145316831767559,-0.17225447297096252
48,0.20682835578918457,60269.015625,30134.71484375,1.0790468395296213,0.6425315971928865,-0.14993661642074585,-0.5655761957168579,0.4015769958496094,0.09054922312498093,-0.22160792350769043,-0.1469489485025406,0.10454492270946503,0.010140974074602127,-0.17223180830478668
49,0.20168688893318176,61866.77734375,30933.58984375,1.079077622216204,0.642578915860047,-0.1500030905008316,-0.5656139850616455,0.4015824794769287,0.0905299261212349,-0.2216069996356964,-0.14697954058647156,0.10454573482275009,0.010136519558727741,-0.17221017181873322
50,0.19960284233093262,52767.78515625,26384.091796875,1.0791093454348495,0.6426278479234226,-0.1500803381204605,-0.5656505227088928,0.40158796310424805,0.09051112085580826,-0.22160610556602478,-0.14700961112976074,0.10454655438661575,0.010132321156561375,-0.17218941450119019
51,0.1974756121635437,52456.15234375,26228.2734375,1.079139520116458,0.6426755383489056,-0.15015597641468048,-0.5656858682632446,0.4015910029411316,0.09049296379089355,-0.22160513699054718,-0.14703889191150665,0.10454731434583664,0.010128694586455822,-0.17216964066028595
52,0.21281585097312927,54861.16796875,27430.796875,1.0791684755379698,0.6427226452100655,-0.15023119747638702,-0.5657204389572144,0.40159133076667786,0.09047533571720123,-0.22160404920578003,-0.14706765115261078,0.10454803705215454,0.010125679895281792,-0.17215071618556976
53,0.20302610099315643,53205.66796875,26603.037109375,1.0792002602554382,0.6427733944212156,-0.150321364402771,-0.5657550096511841,0.40159428119659424,0.09045819938182831,-0.22160333395004272,-0.14709581434726715,0.10454883426427841,0.010122234933078289,-0.17213253676891327
54,0.1968775987625122,49363.24609375,24681.8203125,1.0792304011133835,0.6428226940094198,-0.15040643513202667,-0.5657891631126404,0.4015953242778778,0.09044157713651657,-0.22160276770591736,-0.14712323248386383,0.10454965382814407,0.010118812322616577,-0.17211507260799408
55,0.19731870293617249,52092.90625,26046.650390625,1.0792614216993954,0.6428729611025371,-0.150496706366539,-0.565822958946228,0.4015977382659912,0.09042558819055557,-0.2216024547815323,-0.1471496969461441,0.10455051064491272,0.010115206241607666,-0.1720982789993286
56,0.19547444581985474,48630.49609375,24315.443359375,1.0792939722217127,0.6429244744735697,-0.150592640042305,-0.5658565163612366,0.40160298347473145,0.09040993452072144,-0.2216024398803711,-0.14717577397823334,0.10455142706632614,0.010111196897923946,-0.1720820665359497
57,0.1987435668706894,42150.6796875,21075.5390625,1.07932484830908,0.6429736736711321,-0.15068165957927704,-0.5658891201019287,0.4016077220439911,0.09039460122585297,-0.22160258889198303,-0.1472015231847763,0.10455236583948135,0.010107098147273064,-0.17206645011901855
