,data MSE,u MSE,u_x MSE,u_xx MSE,u_t MSE,PDE MSE,coeff error,xi(u*u_x),xi(u_xx),spurious coeff norm
pre-joint,5.603033787338063e-05,5.603033787338063e-05,0.07615923451664852,265.7628393021955,0.03553358539845018,,,,,
post unscaled,0.0736054927110672,0.0736054927110672,4.100287513723391,2522.939517746692,1.5947776288063056,947.9609375,1.122055821749334,-0.222420796751976,0.39649727940559387,0.7159815978067644
post scaled,0.02594081498682499,0.02594081498682499,2.1004812067195857,2097.5692210917896,0.7496283540432205,0.00907612033188343,0.942280076781519,-0.08300948422343161,0.006308253118259485,0.21640857917960366
