epoch,data_loss,pde_loss,total_loss,lambda_pde,g_data_norm,g_pde_norm,g_pde_over_data,weighted_pde_over_data,gradient_cosine,symnet_pde_grad_norm,symnet_data_grad_norm,coeff_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,2.171844959259033,76.15037536621094,40.247032165527344,0.5,30.809972763061523,1236.767333984375,40.14178602154272,20.07089301077136,0.5646264795122742,32.13166427612305,0.0,0.9643839296883523,0.20520962726676284,0.08160520911722177,-0.16650236372411895,0.006268531105383822,-0.08741765588225901,-0.057802133583300205,0.002830534892221806,-0.008820273026813711,0.0009421325894529834,-2.2899140895299556e-05
50,0.7077092528343201,3.627659320831299,2.5215389728546143,0.5,8.324679374694824,61.09442901611328,7.338952801212593,3.6694764006062965,-0.22104585536878313,1.1208587884902954,0.0,0.9706389751555835,0.21325302446673325,0.09326712022786582,-0.17372765875208973,0.005883605741680869,-0.08077483390189817,-0.053182227110192076,0.0025893413509963377,-0.008048652899020086,0.0008588300891659332,-2.0736567530665264e-05
200,0.2768983840942383,0.46643757820129395,0.5101171731948853,0.5,4.546628952026367,13.851398468017578,3.046520535141582,1.523260267570791,-0.2716077503990291,0.2954595386981964,0.0,0.9721211482779027,0.21644475021551932,0.09836965762014897,-0.1754432876299013,0.005314340376415928,-0.07950624875519365,-0.05239484571119501,0.0025432236992266716,-0.007935257964816343,0.0008443170251472662,-2.0323650272271416e-05
500,0.04872351139783859,0.11832966655492783,0.10788834095001221,0.5,2.097465753555298,9.379319190979004,4.471738894940544,2.235869447470272,-0.48441987909609535,0.10613881796598434,0.0,0.9692628017170779,0.19746748726610924,0.061598289788428504,-0.17104311004862532,0.004682981679877902,-0.07664860304184963,-0.05118897602576851,0.002467943987264619,-0.00784381756928686,0.0008299175876955393,-1.985375810118454e-05
1000,0.030724698677659035,0.03883597254753113,0.05014268308877945,0.5,1.4450833797454834,6.679901599884033,4.622502544497147,2.3112512722485734,-0.5257398000053947,0.0371108278632164,0.0,0.9675690026517524,0.18284328480796477,-0.020523420107180786,-0.1657261112017697,0.004236559255659425,-0.07402232574153485,-0.049994935787687496,0.002389323082851324,-0.007722619366222109,0.0008119717658769637,-1.9271873065783063e-05
