epoch,total_loss,data_loss,pde_loss,tv_loss,l1_data_loss,sparse_eql_loss
0,0.07295753224061267,0.06373096115905608,0.0,0.0,0.0,0.009226570763431563
1,0.009795121728710018,0.0007309643695785637,0.0,0.0,0.0,0.009064157345876246
2,0.008795020650002625,0.00030902050358317057,0.0,0.0,0.0,0.008486000138639224
3,0.008227298478826438,0.00023240868450548168,0.0,0.0,0.0,0.007994889830340548
4,0.00797188258038299,0.0003764370432132763,0.0,0.0,0.0,0.0075954455227618765
5,0.007726119600679025,0.00044187042420720774,0.0,0.0,0.0,0.007284249211338782
6,0.007780626125744369,0.0007341393375640163,0.0,0.0,0.0,0.007046486781264591
7,0.007534921284543701,0.0006608280934172102,0.0,0.0,0.0,0.006874093228010553
8,0.00723419108400398,0.0005639876022307884,0.0,0.0,0.0,0.006670203493299461
9,0.006989909935336892,0.0004865302534838493,0.0,0.0,0.0,0.006503379691650372
10,0.0068423413293491496,0.0004817516641520738,0.0,0.0,0.0,0.006360589664908919
11,0.0068227079521754,0.0005949029202185718,0.0,0.0,0.0,0.00622780502561738
12,0.006650409831822214,0.0005253462436710402,0.0,0.0,0.0,0.006125063593914308
13,0.006531657111637368,0.0005219949496965302,0.0,0.0,0.0,0.006009662141193553
14,0.006584895682511943,0.0006424789864450029,0.0,0.0,0.0,0.005942416686269611
15,0.006680042459860001,0.0007984451938070136,0.0,0.0,0.0,0.005881597241847822
16,0.006250242190896579,0.0004506792338901559,0.0,0.0,0.0,0.005799562965362969
17,0.005944010077763607,0.00026294272127884004,0.0,0.0,0.0,0.005681067373197858
18,0.006052209064364433,0.00044951632694977494,0.0,0.0,0.0,0.005602692761043511
19,0.006003161528064768,0.00046182028205240015,0.0,0.0,0.0,0.00554134120869607
20,0.0069570576513905335,0.001424035127735743,0.0,0.0,0.0,0.005533022524807417
21,0.006292091484301456,0.0006939622848456044,0.0,0.0,0.0,0.005598129197438755
22,0.006101219785759355,0.0006509686818480086,0.0,0.0,0.0,0.005450251106504757
23,0.006482571700016166,0.000978584597111993,0.0,0.0,0.0,0.0055039871373389025
24,0.0055160052926823645,0.00012736431618928817,0.0,0.0,0.0,0.005388640992269658
25,0.005466850363824627,0.00019636092806064366,0.0,0.0,0.0,0.0052704894315857105
26,0.005652221892545424,0.0004325455520302057,0.0,0.0,0.0,0.005219676365873011
27,0.005786529756012825,0.0005844728960678682,0.0,0.0,0.0,0.005202056840062141
28,0.005657048766860868,0.0004973202110452596,0.0,0.0,0.0,0.00515972857944446
29,0.0054990944434141755,0.0003729493512557635,0.0,0.0,0.0,0.005126145092014334
30,0.0054375377603539145,0.00038269341872580867,0.0,0.0,0.0,0.005054844354307002
31,0.005571085162055079,0.0005121384747326374,0.0,0.0,0.0,0.005058946659659395
32,0.005183878041213692,0.00019871575759590078,0.0,0.0,0.0,0.004985162310560446
33,0.005203037619553875,0.0002809846064878056,0.0,0.0,0.0,0.004922053011337129
34,0.00605544679346356,0.0010568895884374581,0.0,0.0,0.0,0.0049985572004155945
35,0.005414793894875167,0.0002906644436770515,0.0,0.0,0.0,0.0051241294333323984
36,0.00543164294489687,0.0005109569465275854,0.0,0.0,0.0,0.0049206860234389214
37,0.005460763294803034,0.0005777219026856641,0.0,0.0,0.0,0.004883041393269997
38,0.00575649206259168,0.0009036507753719861,0.0,0.0,0.0,0.004852841294711769
39,0.00511378727134059,0.00026347692885855676,0.0,0.0,0.0,0.004850310351847127
40,0.004832804272191064,0.0001584110661389048,0.0,0.0,0.0,0.004674393181126601
41,0.004783190311956229,0.00017957874524204227,0.0,0.0,0.0,0.004603611558933954
42,0.005109601538849644,0.0005413257072582878,0.0,0.0,0.0,0.0045682758572373056
43,0.006300250068306923,0.001486953021727945,0.0,0.0,0.0,0.004813297066173636
44,0.005564892258827049,0.0007133403283516222,0.0,0.0,0.0,0.004851551910880768
45,0.0049286519712076916,0.00028162530685618226,0.0,0.0,0.0,0.004647026659164688
46,0.004656001598122392,0.00018483140657997072,0.0,0.0,0.0,0.004471170176558271
47,0.004707398395616525,0.00032964089423150636,0.0,0.0,0.0,0.004377757526454654
48,0.0047579419264330135,0.00040827341098799414,0.0,0.0,0.0,0.004349668519479213
49,0.004634782602770789,0.0003476198615695322,0.0,0.0,0.0,0.004287162735726278
50,0.00496115454813779,0.0006548380969083029,0.0,0.0,0.0,0.00430631646333207
