epoch,total_loss,data_loss,pde_loss,tv_loss,l1_data_loss,sparse_eql_loss
0,0.3773377514074719,0.3773377514074719,0.0,0.0,0.0,0.0
1,0.034259246514430124,0.034259246514430124,0.0,0.0,0.0,0.0
2,0.016318309416491834,0.016318309416491834,0.0,0.0,0.0,0.0
3,0.010064655619244727,0.010064655619244727,0.0,0.0,0.0,0.0
4,0.007072390604113776,0.007072390604113776,0.0,0.0,0.0,0.0
5,0.005385227848790468,0.005385227848790468,0.0,0.0,0.0,0.0
6,0.004339180432171339,0.004339180432171339,0.0,0.0,0.0,0.0
7,0.003644566195795224,0.003644566195795224,0.0,0.0,0.0,0.0
8,0.00314602530783131,0.00314602530783131,0.0,0.0,0.0,0.0
9,0.0027804597325268247,0.0027804597325268247,0.0,0.0,0.0,0.0
10,0.0024874146273803142,0.0024874146273803142,0.0,0.0,0.0,0.0
11,0.00225856435662579,0.00225856435662579,0.0,0.0,0.0,0.0
12,0.0020724726833462243,0.0020724726833462243,0.0,0.0,0.0,0.0
13,0.0019149449635444888,0.0019149449635444888,0.0,0.0,0.0,0.0
14,0.0017925111894747095,0.0017925111894747095,0.0,0.0,0.0,0.0
15,0.0016814543743662181,0.0016814543743662181,0.0,0.0,0.0,0.0
16,0.001602155463178716,0.001602155463178716,0.0,0.0,0.0,0.0
17,0.0015050470792052765,0.0015050470792052765,0.0,0.0,0.0,0.0
18,0.0014349355284745495,0.0014349355284745495,0.0,0.0,0.0,0.0
19,0.0013652880406302829,0.0013652880406302829,0.0,0.0,0.0,0.0
20,0.0013192464146644823,0.0013192464146644823,0.0,0.0,0.0,0.0
21,0.001277383099058791,0.001277383099058791,0.0,0.0,0.0,0.0
22,0.0012339096375933243,0.0012339096375933243,0.0,0.0,0.0,0.0
23,0.0012003979220661142,0.0012003979220661142,0.0,0.0,0.0,0.0
24,0.0011641089933820898,0.0011641089933820898,0.0,0.0,0.0,0.0
25,0.0011199925312890657,0.0011199925312890657,0.0,0.0,0.0,0.0
26,0.0011035121611452528,0.0011035121611452528,0.0,0.0,0.0,0.0
27,0.0010768151832818394,0.0010768151832818394,0.0,0.0,0.0,0.0
28,0.001057293588509931,0.001057293588509931,0.0,0.0,0.0,0.0
29,0.0010351281666699502,0.0010351281666699502,0.0,0.0,0.0,0.0
30,0.0010190763656744762,0.0010190763656744762,0.0,0.0,0.0,0.0
31,0.0010054327893100443,0.0010054327893100443,0.0,0.0,0.0,0.0
32,0.000994314743568086,0.000994314743568086,0.0,0.0,0.0,0.0
33,0.0009703438540565825,0.0009703438540565825,0.0,0.0,0.0,0.0
34,0.0009658636815387696,0.0009658636815387696,0.0,0.0,0.0,0.0
35,0.0009416972632549466,0.0009416972632549466,0.0,0.0,0.0,0.0
36,0.0009656279599146237,0.0009656279599146237,0.0,0.0,0.0,0.0
37,0.0009416799053608898,0.0009416799053608898,0.0,0.0,0.0,0.0
38,0.0009345808241974622,0.0009345808241974622,0.0,0.0,0.0,0.0
39,0.0009300683399603244,0.0009300683399603244,0.0,0.0,0.0,0.0
40,0.0009273008225367419,0.0009273008225367419,0.0,0.0,0.0,0.0
41,0.0009058962191735941,0.0009058962191735941,0.0,0.0,0.0,0.0
42,0.0009044413307001667,0.0009044413307001667,0.0,0.0,0.0,0.0
43,0.0009044287744761696,0.0009044287744761696,0.0,0.0,0.0,0.0
44,0.0008939459979061097,0.0008939459979061097,0.0,0.0,0.0,0.0
45,0.000887486574587427,0.000887486574587427,0.0,0.0,0.0,0.0
