seed,epoch,pde_mse,xi_dist_to_ls,xi_dist_to_true,gradient_norm,good_basin,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,0,206485.71875,0.9628298332597993,1.0733228391167657,3202033.0,False,-0.011439144611358643,0.45777493715286255,-0.05123639851808548,0.0004859912151005119,-0.03456776216626167,0.05324916914105415,-0.018224183470010757,0.040648963302373886,-0.019467158243060112
0,100,19.003421783447266,0.9283448752657831,1.0400685465849775,5588.37890625,False,-0.02128571830689907,0.2967982888221741,0.056131549179553986,0.004213298205286264,-0.004106835927814245,0.008244173601269722,-0.0013650715118274093,0.0019908312242478132,0.00021758359798695892
0,500,1.1121971607208252,0.9220802062287887,1.0366238044709952,8.71174144744873,False,-0.13623563945293427,0.25681379437446594,0.0021965960040688515,0.004263813607394695,-0.005177166312932968,0.008234120905399323,-9.350853360956535e-05,0.0001221755228471011,3.7609628634527326e-05
0,1000,0.965114176273346,0.9078463071639202,1.0219022509468303,4.13106632232666,False,-0.16676586866378784,0.16339705884456635,-0.0017354575684294105,0.004230938386172056,-0.005405794363468885,0.008171362802386284,6.72577298246324e-05,-0.00012316940410528332,3.1535768357571214e-05
0,2000,0.8913866877555847,0.8976820912270873,1.0091679877627961,0.7361739277839661,False,-0.1643415242433548,0.047785356640815735,-0.001858261413872242,0.004125264473259449,-0.005731332115828991,0.007965738885104656,5.448037700261921e-05,-9.347780724056065e-05,2.424703779979609e-05
0,3000,0.8874502182006836,0.8969217833020224,1.0077838096642908,0.21671117842197418,False,-0.16368383169174194,0.027511047199368477,-0.001913132262416184,0.003962251357734203,-0.006257297936826944,0.007648312486708164,6.165724335005507e-05,-9.406444587511942e-05,2.2524583982885815e-05
0,5000,0.8804318308830261,0.8947862346861729,1.0056654491177925,0.10381252318620682,False,-0.16340935230255127,0.02776305004954338,-0.002162596909329295,0.0035175196826457977,-0.008364943787455559,0.006776688154786825,0.00012045004405081272,-0.0001239702251041308,2.1118292352184653e-05
1,0,12073.390625,0.9644797110923333,1.0778763332398744,302358.90625,False,-0.11877556145191193,0.2937234044075012,0.08026149123907089,-0.009870979934930801,0.028254272416234016,-0.008898411877453327,-0.016959726810455322,0.003354716347530484,0.004745204001665115
1,100,1.4322110414505005,0.9719103336057523,1.0857834578881076,31.777681350708008,False,-0.12685613334178925,0.4066983759403229,-0.004115378484129906,0.0005238252924755216,-0.0015782141126692295,0.00036599079612642527,0.0011752891587093472,-0.0005144966999068856,3.8690948713338e-05
1,500,0.9474196434020996,0.9115516988128403,1.0255935723256528,7.54794454574585,False,-0.164814293384552,0.16109517216682434,-0.0029730964452028275,0.00029678409919142723,-0.0009012384689413011,0.00020378478802740574,0.0006767886225134134,-0.00028857961297035217,2.032575685007032e-05
1,1000,0.8864031434059143,0.9018487572322994,1.0132733385080281,0.7113772034645081,False,-0.1588146686553955,0.04638056829571724,-0.002172653330489993,0.00018702888337429613,-0.00057131057837978,0.00012707433779723942,0.0004318649007473141,-0.000181259005330503,1.2292553037696052e-05
1,2000,0.8854709267616272,0.9017115329634005,1.0128370362916248,0.24846644699573517,False,-0.15868444740772247,0.03645241633057594,-0.0022395350970327854,0.0001884214289020747,-0.000582945765927434,0.00012538779992610216,0.00044706708285957575,-0.00018203417130280286,1.154018536908552e-05
1,3000,0.8845620155334473,0.9017565332489726,1.0129251332998799,0.25748389959335327,False,-0.15952229499816895,0.037505678832530975,-0.0025155332405120134,0.00021370826289057732,-0.0006722476682625711,0.00013690146442968398,0.0005249644163995981,-0.00020291254622861743,1.151207834482193e-05
1,5000,0.8800314664840698,0.9018219853052047,1.013198528615899,0.2418861836194992,False,-0.16328835487365723,0.04280995577573776,-0.0037692284677177668,0.00039488033507950604,-0.001246136031113565,0.00020891019084956497,0.0009666644618846476,-0.00029678840655833483,1.1240025742154103e-05
2,0,204196.171875,1.003039117293182,1.082851225056675,3946604.0,False,-0.0663575679063797,-0.4667661786079407,0.13181737065315247,0.0034577883780002594,-0.032506268471479416,-0.011983001604676247,0.030001282691955566,-0.017852064222097397,-0.01926698163151741
2,100,11.047810554504395,1.1095381970274183,1.1812861252141524,1468.0074462890625,False,0.04199348762631416,-0.6089959144592285,-0.05066346377134323,-0.026877835392951965,0.00832285825163126,0.003465703222900629,0.018392065539956093,-0.004052337259054184,5.0608126912266016e-05
2,500,2.8807992935180664,1.0319612321361513,1.1225273034362362,148.73977661132812,False,-0.25113996863365173,-0.3968508243560791,-0.03939720615744591,-0.026308352127671242,0.017470991238951683,0.0033560823649168015,0.0044203950092196465,-0.002739955438300967,-1.6792153473943472e-05
