checkpoint_epoch,seed,epoch,pde_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,3,0,77.83741760253906,1.0745371005974451,0.32955030960379944,0.2722038218153804,0.03530430784037621,0.0009470693252737217,0.18236180354810572,0.02257692123043156,0.0024880019173041256,0.0001822708258882185,0.00020241889862754485,7.351854421924825e-06
0,3,1,77.77953338623047,1.0745948104797447,0.33196660562628727,0.2808732577427025,0.03404971292350916,0.00103393391190687,0.17362825771538934,0.021857361766357896,0.002413882440721443,0.00012777364247676772,0.00020567844782991027,7.100709252030513e-06
0,3,2,77.72288513183594,1.070938354508337,0.3221108257453523,0.2744435955747923,0.03279526756615346,0.001120243466904872,0.16539356677731717,0.021174387598868,0.0023423006258853915,7.232418040055965e-05,0.00020917559400507264,6.843675802960064e-06
0,3,3,77.66761016845703,1.0686463060341542,0.3164075653254678,0.2723791057609008,0.031541076459967045,0.0012026397770545615,0.15787118317634444,0.02055761192296352,0.0022747525820875506,1.594730153340307e-05,0.0002129820660730542,6.583556544800649e-06
0,3,4,77.61331176757812,1.0678662464812008,0.3153983489594595,0.27501965774691983,0.030287238688126182,0.00127777110106016,0.1513870554694914,0.020054743625336685,0.0022136011069878083,-4.152325790579817e-05,0.0002172417928131522,6.325134509749193e-06
0,3,5,77.55966186523438,1.0679937355567275,0.31690864377031563,0.2796154151880502,0.029033858942288812,0.0013431849705468734,0.14628264930556925,0.01972126286796097,0.002161053663267844,-0.00010056054050953939,0.00022210443547212335,6.072903207014678e-06
0,3,6,77.50629425048828,1.0687734650499416,0.31994480786125606,0.2850018239040063,0.02778104378360677,0.0013972575814421941,0.14269650934673425,0.01959108347022709,0.002117133820541403,-0.00016187972094616282,0.0002275537385260958,5.82704815618161e-06
0,3,7,77.45289611816406,1.069932194689973,0.32357685165061795,0.2902746843881156,0.026528899773231886,0.0014394227704130694,0.1404790889206217,0.01966093741149111,0.002079406052054752,-0.00022619142222609937,0.00023336041951598123,5.584403156341072e-06
0,3,8,77.39924621582031,1.0711196017634985,0.3267219052562461,0.29443250330282195,0.025277533472315997,0.0014700436120249343,0.1393320677361726,0.019905210607331032,0.002044956480131374,-0.0002940536072454848,0.0002392319602085084,5.34447573732328e-06
0,3,9,77.34520721435547,1.0720545583087662,0.3285652048754088,0.2967551770913109,0.024027053311504825,0.0014899328496633028,0.13896012808759878,0.02029567261155933,0.002012048360946972,-0.00036588612796643996,0.0002449447943727637,5.113767517294365e-06
0,3,10,77.29071807861328,1.0726755876757557,0.32899472468231694,0.29725071666661673,0.022777567721444094,0.0014999490478887923,0.13912779110467532,0.02081003895999341,0.001980496729151769,-0.0004420274342371352,0.00025036251201821386,4.906208768328562e-06
0,3,11,77.23572540283203,1.0730677314555597,0.3283396701568442,0.29636868929989063,0.021529181393791747,0.0015009481824950644,0.13965989851082525,0.02143291623793348,0.0019512951000832783,-0.0005227760737710076,0.000255397664597356,4.740394174599055e-06
