checkpoint_epoch,seed,epoch,pde_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,22,0,77.77688598632812,1.0898655947094629,0.4532531186551052,0.4511516230161491,0.02734388320143979,0.0031831763242723453,0.03394570537091698,-0.008997568417568382,0.0006926935513694821,0.0003452696536564975,-6.866089694221786e-05,3.0002842794174315e-06
0,22,1,77.71591186523438,1.086894910954419,0.4443037869892755,0.4424806107478751,0.026089286415078853,0.0030963118023583707,0.030586963630715353,-0.008209216794731578,0.0006731474390444715,0.0003062941514511499,-6.389747631207516e-05,2.9891182491523507e-06
0,22,2,77.65631103515625,1.0839620497310194,0.43539518100439817,0.43381915989193226,0.024834846666204828,0.0030095950990375255,0.02743403342567553,-0.007469855492276993,0.0006540582966354896,0.0002702558978631743,-5.928116736100893e-05,2.968706035231555e-06
0,22,3,77.59807586669922,1.0810679694318452,0.42653228533561094,0.42517429937846685,0.023580666776981764,0.002923135460275309,0.02449682720847765,-0.006779709835040693,0.0006355800000494198,0.00023710128447717067,-5.481900169924548e-05,2.9396081316724808e-06
0,22,4,77.54112243652344,1.0782140326479326,0.4177204546115584,0.4165536524956888,0.02232684956957371,0.002837049639461391,0.02178342282979411,-0.006138563413917535,0.0006178689505089039,0.0002067583496548564,-5.05175684165061e-05,2.902426352763656e-06
0,22,5,77.48542022705078,1.0754020289752777,0.40896545331259376,0.4079654110482171,0.021073497866144715,0.0027514629329163914,0.01929967701145428,-0.005545742685962305,0.000601079416747721,0.0001791378926284683,-4.638272177488453e-05,2.857800178891071e-06
0,22,6,77.4309310913086,1.0726342251623346,0.40027360615883656,0.3994184128820443,0.019820712619364942,0.0026665078855084056,0.017048823414554312,-0.005000114948087233,0.0005853585966155263,0.00015413520327736013,-4.2419390397253e-05,2.806397199468671e-06
0,22,7,77.3775863647461,1.0699133517169497,0.3916518286277054,0.3909220902012269,0.018568596651398435,0.0025823250672830887,0.015031193948007055,-0.004500100494876885,0.0005708416225644624,0.0001316317919046001,-3.863134991727807e-05,2.7489088965841645e-06
0,22,8,77.3253402709961,1.0672426313774273,0.3831078380547424,0.38248659877615987,0.01731724904542146,0.002499062037956874,0.013244077322127745,-0.004043707876251366,0.0005576482506796093,0.0001114977420263261,-3.5021068706217015e-05,2.686034341762806e-06
0,22,9,77.27413177490234,1.0646257379780937,0.3746502300376474,0.37412281794357694,0.01606676888461029,0.0024168730880402777,0.011681744256905857,-0.003628582933986398,0.0005458803353632257,9.359404117241511e-05,-3.158959622783629e-05,2.6184748552520884e-06
0,22,10,77.22391510009766,1.0620667256495155,0.3662885169272654,0.3658423247648952,0.0148172515131534,0.0023359187210845087,0.010335683459438928,-0.003252071819720523,0.0005356210997990852,7.777535879042605e-05,-2.8336530559842358e-05,2.5469227624105576e-06
0,22,11,77.17462158203125,1.0595699383092643,0.3580331502450654,0.3576573681845607,0.01356879320998622,0.002256364100421294,0.009195059574204727,-0.0029112973865587036,0.0005269359777243966,6.389246500101144e-05,-2.5260004184507672e-05,2.4720546475411053e-06
0,22,12,77.12620544433594,1.0571399390156586,0.3498955997791936,0.34958092071335783,0.012321486515056395,0.002178378272532793,0.008247310479058446,-0.002603233554373431,0.000519874689800538,5.1794924211898865e-05,-2.2356720527061014e-05,2.3945212346409035e-06
0,22,13,77.0786361694336,1.0547814176515395,0.3418883879562623,0.34162670427006475,0.01107542396831157,0.002102132613791426,0.007478833510411173,-0.0023247845382317954,0.0005144738250469431,4.1333414924217704e-05,-1.9622037182020984e-05,2.314942749411792e-06
0,22,14,77.0318374633789,1.052499072098473,0.33402500427144327,0.333809112656488,0.009830694370711605,0.0020277990183230027,0.006875682892084755,-0.0020728517163774106,0.00051076020792878,3.236196891364554e-05,-1.705008973774099e-05,2.2339068110831826e-06
0,22,15,76.98576354980469,1.0502974993061256,0.32631980848039754,0.3261431340324983,0.008587385588469417,0.0019555482153082032,0.0064242258506099995,-0.0018443921903721623,0.0005087536481452207,2.4739871419318816e-05,-1.4633926765462372e-05,2.1519644971481454e-06
0,22,16,76.94039154052734,1.0481811324495174,0.31878803024106545,0.31864437675768476,0.0073455826835570805,0.0018855475685306672,0.006111690895139684,-0.0016364666058347967,0.0005084700832446074,1.8333255323536065e-05,-1.236564683827812e-05,2.069632310995364e-06
0,22,17,76.89564514160156,1.046154134469095,0.31144556005946716,0.311328888499771,0.006105368848452783,0.0018179588759250802,0.005926570449568578,-0.0014462710667050218,0.000509923542758932,1.301637283073959e-05,-1.0236593402547904e-05,1.9873955549924914e-06
0,22,18,76.85151672363281,1.0442203726193373,0.3043089493709574,0.30421318207626946,0.004866825406140818,0.0017529356513718726,0.0058589317545530845,-0.0012711606403523052,0.0005131283929289535,8.6725052493806e-06,-8.23749636416059e-06,1.9057143739271616e-06
0,22,19,76.80795288085938,1.042383335697039,0.29739515576478487,0.2973140028795873,0.003630030174304432,0.001690620924245306,0.005900571618291283,-0.001108661312760521,0.0005181011886024222,5.194586004676783e-06,-6.358646153365895e-06,1.8250342958924702e-06
0,22,20,76.7649154663086,1.0406461195810013,0.29072144910849834,0.29064825135206124,0.002395059568506452,0.0016311452978382596,0.006045092041338519,-0.0009564722174606816,0.0005248612344153584,2.485500463501907e-06,-4.590030743738095e-06,1.7457973353530192e-06
0,22,21,76.72235870361328,1.0390114053484358,0.2843052459615263,0.28423282793602805,0.001161987550598974,0.001574623972280229,0.00628789531499898,-0.0008124635079133305,0.0005334328856352993,4.5813323296465487e-07,-2.9214678501021233e-06,1.6684592801971087e-06
