lambda_ratio,n,data_weight_min,data_weight_max,pde_weight_min,pde_weight_max,data_loss_min,data_loss_max,pde_loss_min,pde_loss_max,weighted_pde_over_data_min,weighted_pde_over_data_max,coefficient_error_min,coefficient_error_max,u_mse_min,u_mse_max,u_x_mse_min,u_x_mse_max,u_xx_mse_min,u_xx_mse_max
0.0001,1,10.0,10.0,0.001,0.001,0.0007728485506959,0.0007728485506959,1.4399744272232056,1.4399744272232056,0.0530925014443058,0.0530925014443058,0.978689401264099,0.978689401264099,0.0007518948405049,0.0007518948405049,0.6769305056651193,0.6769305056651193,1450.7218873856316,1450.7218873856316
0.001,2,1.0,10.0,0.001,0.01,0.0006887739873491,0.0006887804483994,1.0565266609191897,1.0565288066864014,0.4495424905001658,0.4496013584149544,0.9801018795701896,0.9801019855343936,0.0006688174325972,0.0006688223220407,0.622311377628362,0.6223160265952515,1425.5540765106348,1425.5616581011352
0.01,3,0.1,10.0,0.001,0.1,0.0023011749144643,0.0023012156598269,0.4859642386436462,0.4859689176082611,1.1274542970752455,1.127479123798202,0.9788843836730524,0.9788847127129976,0.0023411640431731,0.0023412031587213,0.8986384013900848,0.8986626263541478,1750.4059850298545,1750.4304824166163
0.1,3,0.1,10.0,0.01,1.0,0.0143155232071876,0.0143155558034777,0.1081242486834526,0.1081248521804809,1.2567886205152718,1.2568078409258632,0.9733821674710804,0.9733822381452798,0.014546850696206,0.014546881429851,1.8676125195620965,1.8676187375569424,2203.1242920884115,2203.1282904012573
1.0,2,0.1,1.0,0.1,1.0,0.0413345843553543,0.0413346737623214,0.0337563045322895,0.0337563604116439,2.9915841111344443,2.9917761214364798,0.9684178132658986,0.968417826903911,0.0417040139436721,0.0417041033506393,3.990035522224628,3.990035548159802,2898.9011833120244,2898.902018395951
10.0,1,0.1,0.1,1.0,1.0,0.459309309720993,0.459309309720993,0.0274584107100963,0.0274584107100963,5.535332951318588,5.535332951318588,0.9766843901630736,0.9766843901630736,0.4588853716850281,0.4588853716850281,7.087242893970998,7.087242893970998,3308.108449424108,3308.108449424108
