term,coefficient
u,-0.07124140954611581
u_x,0.0032349379339062056
u_xx,5.630519373114819e-05
u * u,0.05170731853116832
u * u_x,-0.011966039526585091
u * u_xx,-8.206786961859518e-06
u_x * u_x,0.0006918947276036056
u_x * u_xx,9.430130297039994e-07
u_xx * u_xx,2.9826784099742874e-10
