condition,epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse
raw,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
raw,50,1.4871668815612793,19.82667368715461,4554.531718970151,37.12910496662795
raw,200,1.307069182395935,13.400081920747523,3336.851486916042,27.201184417376485
raw,500,1.1915782690048218,10.630296751007835,2945.2222660691496,21.14127008924833
raw,1000,1.1107887029647827,9.104503741037274,2789.0286086854344,16.9086772503438
transferred,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
transferred,50,0.714318037033081,17.899286230705492,7063.141378550345,5.22240951269501
transferred,200,0.27361539006233215,8.183360002160839,4363.264616231113,1.408010541322425
transferred,500,0.04820632562041283,4.801283774299329,3290.7730070309167,0.9821251537700487
transferred,1000,0.031030388548970222,3.1129460989922864,2646.8675873438156,0.8609467089134356
