alpha,epoch,distance_to_ls,distance_to_true,pde_mse,coeff(u),coeff(u_x),coeff(u_xx),coeff(u^2),coeff(u*u_x),coeff(u*u_xx),coeff(u_x^2),coeff(u_x*u_xx),coeff(u_xx^2)
1.0,0,0.9078463071639202,1.0219022509468303,0.965114176273346,-0.16676586866378784,0.16339705884456635,-0.0017354575684294105,0.004230938386172056,-0.005405794363468885,0.008171362802386284,6.72577298246324e-05,-0.00012316940410528332,3.1535768357571214e-05
1.0,1,0.9057561664717626,1.0196481111672566,38.463714599609375,-0.1567666232585907,0.15339705348014832,-0.011735444888472557,0.0034281157422810793,-0.004755343776196241,0.006695874035358429,-0.0001245032181032002,0.0003434477257542312,-0.00023675794363953173
1.0,2,0.9041426266565686,1.0178799328241748,3.551745891571045,-0.14931830763816833,0.1455662101507187,-0.01917942799627781,0.003190214978531003,-0.004502999130636454,0.00588164571672678,1.336292643827619e-05,9.81824177870294e-06,-3.593955625547096e-05
1.0,3,0.9036856330505243,1.0172824333067012,5.931332588195801,-0.15096671879291534,0.1380327194929123,-0.014813166111707687,0.0029743167106062174,-0.00412300880998373,0.0052623385563492775,0.00012450898066163063,-0.0002488512545824051,0.00011387661652406678
1.0,4,0.9039497434288938,1.0174731234200145,13.788464546203613,-0.15633782744407654,0.13349202275276184,-0.008049213327467442,0.0027875802479684353,-0.003921284340322018,0.004722071811556816,0.0002424783306196332,-0.0004423922800924629,0.0001766988862073049
1.0,5,0.9049040408530288,1.018411159690134,12.6576509475708,-0.16315793991088867,0.13229864835739136,-0.00034319935366511345,0.0025894748978316784,-0.0037070345133543015,0.004143782891333103,0.0003442362358327955,-0.0005490748444572091,0.00017126429884228855
1.0,6,0.9063525453071308,1.019875923508107,7.759997367858887,-0.17021439969539642,0.13331827521324158,0.007104762364178896,0.0023630785290151834,-0.0033981353044509888,0.003541800891980529,0.00040132689173333347,-0.0005686594522558153,0.0001348449004581198
1.0,7,0.9079487995717036,1.0215084748042176,4.09310245513916,-0.17602750658988953,0.13553613424301147,0.01252342201769352,0.0021068775095045567,-0.002977257827296853,0.002952202456071973,0.0003985235234722495,-0.0005175265832804143,9.284502448281273e-05
1.0,8,0.9092675579141382,1.0228791400721402,2.3704733848571777,-0.1793004870414734,0.13823729753494263,0.014761465601623058,0.0018317848443984985,-0.0025098416954278946,0.002406951505690813,0.00035329634556546807,-0.0004301158187445253,5.7317811297252774e-05
1.0,9,0.9101309811087839,1.0238018359031429,1.7372065782546997,-0.1798989623785019,0.14093072712421417,0.014183920808136463,0.0015518052969127893,-0.0020496181678026915,0.0019222702831029892,0.0002902981941588223,-0.00033588800579309464,3.151690179947764e-05
