alpha,epoch,distance_to_ls,distance_to_true,pde_mse,coeff(u),coeff(u_x),coeff(u_xx),coeff(u^2),coeff(u*u_x),coeff(u*u_xx),coeff(u_x^2),coeff(u_x*u_xx),coeff(u_xx^2)
0.5,0,0.8200404802852375,0.9320102394147488,390.24212646484375,-0.09663205593824387,0.10081902891397476,0.004155887756496668,0.024888362735509872,-0.07954666018486023,-0.007936215028166771,-0.01710793934762478,0.026083853095769882,7.608302985318005e-05
0.5,1,0.8272239550925267,0.9395036387496832,380.6780090332031,-0.1066320538520813,0.1108190268278122,0.014155887067317963,0.021906062960624695,-0.07393314689397812,-0.00484545947983861,-0.017861830070614815,0.0236482173204422,-0.0004778101574629545
0.5,2,0.8324045998156574,0.944562150287917,226.26812744140625,-0.11624394357204437,0.1035221517086029,0.02398166060447693,0.020926037803292274,-0.06897793710231781,-0.005093191284686327,-0.0159329641610384,0.020796237513422966,-0.0002184588520321995
0.5,3,0.8374575982501928,0.9494417483180368,155.0240936279297,-0.12572893500328064,0.09558088332414627,0.03369761258363724,0.020143920555710793,-0.06440185010433197,-0.005495472811162472,-0.014060411602258682,0.01819247379899025,3.717948493431322e-05
0.5,4,0.8425196784081851,0.9543303137110462,129.54141235351562,-0.13513422012329102,0.08888503164052963,0.0432969331741333,0.019094450399279594,-0.06019315496087074,-0.005491758696734905,-0.012520960532128811,0.015916209667921066,0.000175098713953048
0.5,5,0.8476814329376822,0.959348297395725,98.99508666992188,-0.14440126717090607,0.08439667522907257,0.05273037403821945,0.017788775265216827,-0.056263841688632965,-0.005049459636211395,-0.011380832642316818,0.013925371691584587,0.0002004504349315539
0.5,6,0.8528561751892361,0.9644073810888656,64.09507751464844,-0.153395414352417,0.08185795694589615,0.061914168298244476,0.01638212613761425,-0.05261041224002838,-0.0043633622117340565,-0.010547674261033535,0.012173602357506752,0.000164090160978958
0.5,7,0.8578908809891386,0.9693404713218211,36.440521240234375,-0.16192853450775146,0.08057906478643417,0.0707431361079216,0.015001066960394382,-0.04927246272563934,-0.0036066474858671427,-0.009909328073263168,0.010637261904776096,0.00010648547322489321
0.5,8,0.8626412850966126,0.9739901579186087,19.821989059448242,-0.16978247463703156,0.07991304248571396,0.07910361140966415,0.01372660230845213,-0.04628091678023338,-0.002887801732867956,-0.009384313598275185,0.00930006429553032,5.0423281209077686e-05
0.5,9,0.8669938026374084,0.9782341829141136,12.139843940734863,-0.17673666775226593,0.07936259359121323,0.0868847519159317,0.012600108981132507,-0.04363998770713806,-0.002261569956317544,-0.008922682143747807,0.008143140934407711,5.862250418431358e-06
0.5,10,0.8708679144399479,0.9819880610535486,9.896839141845703,-0.1825971156358719,0.07859062403440475,0.09398730099201202,0.011633145622909069,-0.041330818086862564,-0.0017459335504099727,-0.008497755043208599,0.0071447426453232765,-2.489328289811965e-05
