dataset,seed,model,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,final_total_loss,final_data_loss,final_tv_loss,ux_rel_l2,uxx_rel_l2,uxxx_rel_l2,l2_coeff_error,status,error
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0,0.0014155641538773863,0.0014155641538773863,0.0,0.21531979927536543,0.9980739626014185,4.777660777193797,0.32181579702762897,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0,0.0015882806758517943,0.0015882806758517943,0.0,0.28637058065043064,1.3852526732938188,4.687422590201128,0.40416776664696763,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0,0.001418918096657438,0.001418918096657438,0.0,0.215240137212046,1.0681681030222268,4.210759409522305,0.40005545929262804,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-08,0.001432578294582415,0.0014318878080986353,6.904888732474035e-07,0.1926543534440048,0.8152349650149923,2.714085577299675,0.06742640295746431,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-08,0.0016387528807192183,0.001637990843914062,7.620345711996069e-07,0.27639353273910533,1.3260002519414833,4.48858616494857,0.4443679576240991,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-08,0.0014341766879727358,0.0014332180807111806,9.586155412283302e-07,0.256197817292026,1.3811254920973624,6.22057300806664,0.35785511178360574,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-06,0.0016037992895076424,0.0015514292892032015,5.237000281828589e-05,0.18435370638251847,0.6455574162866561,1.7466751662249893,0.12952506466615216,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-06,0.001692403601131332,0.0016316309349388354,6.077266204504674e-05,0.1984219833774368,0.7797496487772198,2.2046539252967046,0.278356407251452,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_ux,1e-06,0.001535164540750588,0.0014764384027458734,5.872614303760164e-05,0.18800470984235224,0.7589865920078753,2.2926925484700935,0.4367939074244911,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0001,0.004957898899531699,0.0018743209988510508,0.0030835778312420423,0.23418135890553787,0.5979273495330903,0.9260197369843801,0.11594875905459967,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0001,0.004858540543851193,0.0018135021192222007,0.003045038471605709,0.21734525328368481,0.6074505724420155,1.055964464173982,0.10542480524146741,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_ux,0.0001,0.004727360156712614,0.001707486567102794,0.0030198735495316625,0.2029514090760196,0.5828794683216209,0.9985603554900844,0.3864745505273635,1,
