dataset,seed,model,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,final_total_loss,final_data_loss,final_tv_loss,ux_rel_l2,uxx_rel_l2,uxxx_rel_l2,l2_coeff_error,status,error
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_u,0.0,0.0014155641538773863,0.0014155641538773863,0.0,0.21531979927536543,0.9980739626014185,4.777660777193797,0.32181579702762897,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_u,0.0,0.0015882806758517943,0.0015882806758517943,0.0,0.28637058065043064,1.3852526732938188,4.687422590201128,0.40416776664696763,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_u,0.0,0.001418918096657438,0.001418918096657438,0.0,0.215240137212046,1.0681681030222268,4.210759409522305,0.40005545929262804,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_u,1e-08,0.0015352613289514939,0.001535239456668107,2.1881086203715232e-08,0.2131424612651501,0.7988815001245155,2.313151836531713,0.30135729200739914,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_u,1e-08,0.0014871009143054155,0.0014870785161603549,2.2396947324454304e-08,0.25434670430462775,1.2018579889448244,4.9613538694542125,0.2925194229340564,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_u,1e-08,0.0015241655636334555,0.0015241432502036084,2.2321153681305235e-08,0.24811364144913348,1.1365335259220233,3.99085494982414,0.4267796252494119,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_u,1e-06,0.0015741547681087543,0.0015719788155525033,2.1759512760322235e-06,0.2272273222571735,0.9361056861489518,3.111565582185441,0.3290794140011231,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_u,1e-06,0.0018989189485516746,0.0018966672031639094,2.2517515836724497e-06,0.30403789652011387,1.2898803681870792,4.057945376715333,0.45356054598756435,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_u,1e-06,0.001686639614097211,0.0016843737466953972,2.2658757510454768e-06,0.2635818488931093,1.2838428420403367,4.80252501973372,0.3022767992979853,1,
allen_cahn,0,siren,300,1024,0.001,0.05,1,1,tv_u,0.0001,0.0017013848550109577,0.0014874025191770415,0.00021398233155815746,0.17905792997300976,0.6808113533721442,2.173802044465103,0.3438332075120922,1,
allen_cahn,1,siren,300,1024,0.001,0.05,1,1,tv_u,0.0001,0.0018841398202737412,0.0016653081965822892,0.0002188316255085598,0.24686762241784121,0.9804721212943381,2.7802874010095238,0.24939929123757845,1,
allen_cahn,2,siren,300,1024,0.001,0.05,1,1,tv_u,0.0001,0.0018373274038420593,0.0016161267336386035,0.0002212006600556077,0.24210047871969326,1.0729494502460042,3.610497417367441,0.25389690494712186,1,
