dataset,seed,model,lam_pde,lam_data,tv_lambda,lam_sparse_eql,sparse_eql_s,hidden_size,hidden_layers,first_omega_0,hidden_omega_0,pretrain_epochs,epochs,pretrain_lr,joint_lr,batch_size,stride_t,stride_x,feature_names,final_total_loss,min_total_loss,min_total_loss_epoch,final_raw_data_mse,final_weighted_data_contribution,final_raw_pde_mse,final_weighted_pde_contribution,final_tv_loss,final_sparse_eql_loss,data_mse_full_grid,runtime_seconds,run_dir,u_rel_l2,u_rmse,u_max_abs,ux_rel_l2,ux_rmse,ux_max_abs,uxx_rel_l2,uxx_rmse,uxx_max_abs
burg_gen,0,eql_joint_training,0.5,1.0,1e-06,1e-05,0.001,64,3,20.0,1.0,150,600,0.001,0.001,1024,2,2,"u,u_x,u_xx",45646926.28571428,45646926.28571428,599,0.20504223259668503,0.20504223259668503,91293852.57142857,45646926.28571428,3.9559234296792144e-05,6.699461318064659e-05,0.2036153087524921,275.82010967005044,run_results/lam_pde_sweep/burg_gen/lam_pde_0p5/seed_000,0.5268058974294643,0.4512375303013836,2.5072787158904113,0.9254185898567413,6.772279580891483,93.30657216777595,1.0023432825918397,498.18071522065986,7411.623492046959
burg_gen,0,eql_joint_training,0.1,1.0,1e-06,1e-05,0.001,64,3,20.0,1.0,150,600,0.001,0.001,1024,2,2,"u,u_x,u_xx",9129385.111111112,9129385.111111112,599,0.2050422742253258,0.2050422742253258,91293851.11111112,9129385.111111112,3.9559236144654394e-05,6.699462184250089e-05,0.20361534588626548,277.4211578643881,run_results/lam_pde_sweep/burg_gen/lam_pde_0p1/seed_000,0.5268059454668393,0.45123757144797405,2.5072789543089904,0.9254185800361798,6.772279509023911,93.30657610168251,1.0023432855624044,498.1807166970783,7411.623500630028
burg_gen,0,eql_joint_training,0.01,1.0,1e-06,1e-05,0.001,64,3,20.0,1.0,150,600,0.001,0.001,1024,2,2,"u,u_x,u_xx",912938.5763888889,912938.5763888889,599,0.20504222881226314,0.20504222881226314,91293837.6984127,912938.376984127,3.95592398403789e-05,6.699461225671546e-05,0.20361529465025557,281.6940470072441,run_results/lam_pde_sweep/burg_gen/lam_pde_0p01/seed_000,0.5268058791863824,0.4512375146752047,2.5072791927275695,0.9254185762406687,6.772279481248088,93.30656906833443,1.0023432910245644,498.18071941185946,7411.623539730675
burg_gen,0,eql_joint_training,0.001,1.0,1e-06,1e-05,0.001,64,3,20.0,1.0,150,600,0.001,0.001,1024,2,2,"u,u_x,u_xx",91294.06225198413,91294.06225198413,599,0.20504210983949994,0.20504210983949994,91293856.89484127,91293.85689484127,3.9559235855925914e-05,6.699457957265189e-05,0.20361518676804777,282.2518038051203,run_results/lam_pde_sweep/burg_gen/lam_pde_0p001/seed_000,0.5268057396266579,0.45123739513480904,2.507278239053253,0.925418551420641,6.772279299613344,93.30656406154426,1.0023432814672022,498.1807146616971,7411.623370453483
burg_gen,0,eql_joint_training,0.0001,1.0,1e-06,1e-05,0.001,64,3,20.0,1.0,150,600,0.001,0.001,1024,2,2,"u,u_x,u_xx",9129.596493675595,9129.596493675595,599,0.20504080492352683,0.20504080492352683,91293914.46552579,9129.39144655258,3.9559230254593467e-05,6.699408168926657e-05,0.2036138858624079,282.21995687810704,run_results/lam_pde_sweep/burg_gen/lam_pde_0p0001/seed_000,0.5268040567324118,0.4512359536455488,2.5072720401701964,0.9254182746867728,6.77227727445506,93.30653473605904,1.0023432904896876,498.1807191460172,7411.623473927147
