lam_pde,num_seeds,final_train_loss_mean,final_train_loss_std,min_train_loss_mean,min_train_loss_std,final_raw_data_mse_mean,final_raw_data_mse_std,final_raw_pde_mse_mean,final_raw_pde_mse_std,runtime_seconds_mean,runtime_seconds_std
0.5,1,45646926.28571428,0.0,45646926.28571428,0.0,0.20504223259668503,0.0,91293852.57142857,0.0,275.82010967005044,0.0
0.1,1,9129385.111111112,0.0,9129385.111111112,0.0,0.2050422742253258,0.0,91293851.11111112,0.0,277.4211578643881,0.0
0.01,1,912938.5763888889,0.0,912938.5763888889,0.0,0.20504222881226314,0.0,91293837.6984127,0.0,281.6940470072441,0.0
0.001,1,91294.06225198413,0.0,91294.06225198413,0.0,0.20504210983949994,0.0,91293856.89484127,0.0,282.2518038051203,0.0
0.0001,1,9129.596493675595,0.0,9129.596493675595,0.0,0.20504080492352683,0.0,91293914.46552579,0.0,282.21995687810704,0.0
