dataset,seed,model,feature_names,coeffs,true_coeffs,abs_coeff_error,l2_coeff_error,residuals,rank,singular_values,final_train_loss
burgers,0,siren,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.0033887279786277732, -0.010298863905563827, 0.017151041911285952, -0.8850873955069025]","[0.0, 0.0, 0.02, -1.0]","[0.0033887279786277732, 0.010298863905563827, 0.0028489580887140487, 0.11491260449309748]",0.11545810196186648,[60834.00444412328],4,"[12411.530590453069, 606.2547701229429, 265.05441937718433, 209.6137284508211]",0.0004955414408450163
allen_cahn,0,siren,"[""u"", ""u_xx"", ""u3""]","[4.9770753452152725, 0.001173614954610963, -4.984722609137309]","[5.0, 0.001, -5.0]","[0.022924654784727494, 0.00017361495461096308, 0.015277390862690865]",0.027549384942731917,[3388.4337051399416],3,"[16330.587269661824, 129.76715662161078, 16.403542155883706]",0.00012605906634404208
