lambda_pde,final data MSE,final PDE MSE,final u_x MSE,final u_xx MSE,xi(u*u_x),xi(u_xx),coefficient error,spurious norm,final/representative gradient ratio,gradient cosine
0.0,0.0008090705377981067,1.9378063678741455,0.6890138877125414,1457.4390681146954,-0.057802133583300205,0.006268531105383822,0.9643839296883523,0.20520962726676284,0.0,0.36160780449623936
0.0001,0.0007728551281616092,1.4399906396865845,0.6769348214630413,1450.7289257987688,-0.033483671649770994,0.0031916243251663453,0.9786892160353934,0.15295831825546083,0.05309011252462865,0.34274786871775137
0.001,0.0006887804483994842,1.0565288066864014,0.6223160265952515,1425.5616581011352,-0.034731739506704565,0.0033478982604884557,0.9801018795701895,0.16905498256165877,0.4495424905001655,-0.016571499030191342
0.01,0.0023011777084320784,0.4859648644924164,0.8986398928723199,1750.4080681765397,-0.040364977738188944,0.003943606242258619,0.9788846824735685,0.19250464370879142,1.1274542970752452,-0.6620200350683006
0.1,0.014315523207187653,0.10812453925609589,1.8676127883048093,2203.12446152664,-0.048623011314477826,0.004303384731679511,0.9733822381452798,0.20520337035609398,1.2568078409258636,-0.7744373175336693
0.5,0.030724698677659035,0.03883597254753113,3.1129460989922864,2646.867587343816,-0.049994935787687496,0.004236559255659425,0.9675690026517524,0.18284328480796477,2.3112511011420134,-0.5257394745464626
