lambda_pde,epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse
0.0,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.0,50,0.09773430973291397,15.134885133990082,8271.373651753744,16.816684404170914
0.0,200,0.008903431706130505,3.9642153320823827,4078.3755619078265,4.5921147922243515
0.0,500,0.0021504380274564028,1.4662621534025142,2289.2707685207447,1.5997545519264904
0.0,1000,0.0007888264372013509,0.6890138877125414,1457.4390681146954,0.7029691638727196
0.0001,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.0001,50,0.09758293628692627,15.09410893483288,8259.121262727487,16.648636415286244
0.0001,200,0.008664309047162533,3.9296866390207654,4063.1109834358285,4.384691148166537
0.0001,500,0.002059655962511897,1.4475927994946638,2278.788489644615,1.4719162833971526
0.0001,1000,0.0007519000791944563,0.6769348214630413,1450.7289257987688,0.6258401048255695
0.001,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.001,50,0.0969642773270607,14.789348129385733,8163.598515829759,15.360112609892397
0.001,200,0.007236828096210957,3.681566130508523,3939.1610306200423,3.124358083157526
0.001,500,0.001693876925855875,1.3410484744636137,2214.5302897869396,0.9001105257400068
0.001,1000,0.0006688223220407963,0.6223160265952515,1425.5616581011352,0.3545651927612481
0.01,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.01,50,0.11895371973514557,13.734226313034345,7592.459836420007,10.072766606893145
0.01,200,0.007069664541631937,3.3149260157585,3589.3086850693585,1.3592326275935716
0.01,500,0.003124237759038806,1.476930087287962,2301.358112462743,0.4864401007991569
0.01,1000,0.002341164043173194,0.8986398928723199,1750.4080681765395,0.29710795254894007
0.1,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.1,50,0.43161505460739136,15.763268601883041,7163.7009468325805,5.547048174673251
0.1,200,0.036002326756715775,5.371866960914769,4017.749019908569,1.2707908095873106
0.1,500,0.01662432588636875,2.548574996630864,2638.8562567796844,0.7244936129461436
0.1,1000,0.014546850696206093,1.8676127883048095,2203.12446152664,0.6364125531996286
0.5,0,2.1669421195983887,70.51128606865896,16181.684124210295,78.11902162344302
0.5,50,0.714318037033081,17.899286230705492,7063.141378550345,5.22240951269501
0.5,200,0.27361539006233215,8.183360002160839,4363.264616231113,1.408010541322425
0.5,500,0.04820632562041283,4.801283774299329,3290.7730070309167,0.9821251537700487
0.5,1000,0.031030388548970222,3.1129460989922864,2646.8675873438156,0.8609467089134356
