lambda_pde,epoch,data_loss,pde_loss,total_loss,coeff_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,data_grad,pde_grad,weighted_pde_grad,grad_ratio,grad_cos,symnet_pde_grad,symnet_data_grad,surrogate_update_rel,symnet_update_rel
0.001,0,2.171844959259033,76.15037536621094,2.247995376586914,0.9643839296883523,0.20520962726676284,0.08160520911722177,-0.16650236372411895,0.006268531105383822,-0.08741765588225901,-0.057802133583300205,0.002830534892221806,-0.008820273026813711,0.0009421325894529834,-2.2899140895299556e-05,30.809986042383507,1236.7681538288145,1.2367681538288147,0.04014179532984743,0.5646257718891676,32.1316663897992,0.0,,
0.001,1,1.9487210512161255,69.69759368896484,2.018418550491333,0.9646546067623845,0.20546798252076426,0.08218901715361616,-0.16670914336508136,0.0062584059692506215,-0.0870868451668522,-0.05758152230538717,0.002819568290340425,-0.008784589016643005,0.0009384711433676081,-2.280830948669279e-05,,,,,,,,,
0.001,2,1.8264528512954712,63.32566833496094,1.8897784948349,0.964920731406192,0.2057159246722359,0.0827714767830064,-0.16689923470456777,0.006248297127966059,-0.08675976226809222,-0.057363343115796994,0.0028087121454698494,-0.008749290486807148,0.0009348460128571691,-2.2718287749723705e-05,,,,,,,,,
0.001,3,1.5557812452316284,59.91682434082031,1.6156980991363525,0.9651793147232184,0.20596013561461685,0.08333554588074013,-0.1670857147646358,0.0062383168349318605,-0.08644349714788507,-0.05715210761032384,0.0027981294125303258,-0.00871507894779981,0.0009313088633787923,-2.262985021933627e-05,,,,,,,,,
0.001,4,1.4375548362731934,53.88329315185547,1.4914381504058838,0.9654338533877668,0.2062006652075074,0.0838849564894288,-0.16726890400011438,0.00622863407376353,-0.08613446419512355,-0.05694424320952306,0.0027877633655928593,-0.008681201279363483,0.0009278204466564728,-2.2543027449177192e-05,,,,,,,,,
0.001,5,1.2720316648483276,49.93643569946289,1.3219680786132812,0.965675300569046,0.2064189018695283,0.08440564167922918,-0.16743035160796838,0.006218938035311125,-0.08583796564492935,-0.05674494148654534,0.0027777154771267075,-0.008648752118217626,0.000924443222983185,-2.245806692378478e-05,,,,,,,,,
0.001,6,1.1563440561294556,47.80327224731445,1.2041473388671875,0.9659023471317513,0.20659668238125412,0.0849077623493725,-0.16754418702335425,0.0062097097193659165,-0.0855513910098958,-0.05655154729171279,0.002767976938757802,-0.008617147190862968,0.0009211579738072446,-2.2375506387341037e-05,,,,,,,,,
0.001,7,1.0223759412765503,42.79332733154297,1.0651692152023315,0.9661271122238214,0.20680003879489675,0.08542114874255044,-0.16767582000693168,0.006200293107392004,-0.08527670069496253,-0.05636611494815018,0.002758596548878477,-0.008586852259489224,0.0009179939637414437,-2.2295637627172002e-05,,,,,,,,,
0.001,8,0.9449200630187988,40.542274475097656,0.9854623079299927,0.9663462382686955,0.20700197731397676,0.08593156864031927,-0.16780039065908683,0.006190830024923828,-0.08501169559303408,-0.05618617279213295,0.0027494848144082066,-0.00855730216532447,0.0009149039575792073,-2.2217571532158555e-05,,,,,,,,,
0.001,9,0.8828080296516418,35.72148132324219,0.9185295104980469,0.9665583157683052,0.2072083504389986,0.08643920473007954,-0.1679241724993554,0.006181361510839439,-0.08475816343089473,-0.05601444792861484,0.0027407026892955384,-0.008529175481189559,0.0009119340049671041,-2.2141844318800375e-05,,,,,,,,,
0.001,10,0.7647734880447388,34.53094482421875,0.7993044257164001,0.9667626203916402,0.2074117236019442,0.08693353943719892,-0.16804346797201888,0.0061719038599874765,-0.08451625149285344,-0.05585005170993942,0.0027322554585649124,-0.008502164459974189,0.0009090690680124198,-2.2068492651473503e-05,,,,,,,,,
0.001,11,0.75785231590271,31.537145614624023,0.7893894910812378,0.9669593856498148,0.20761375537754634,0.08742176716549954,-0.16815618179550348,0.0061623816332538744,-0.08428710250199677,-0.055693110057839376,0.002724168842668605,-0.008476199014344751,0.0009063078363593577,-2.199763416171775e-05,,,,,,,,,
0.001,12,0.7113988399505615,32.4649658203125,0.7438638210296631,0.9671471332410345,0.20780976068893756,0.0879048970453845,-0.16825612672657364,0.006152861820571923,-0.08407067582817053,-0.05554410507266274,0.0027164502406408332,-0.008451438433695812,0.0009036611048437667,-2.1929406340943298e-05,,,,,,,,,
0.001,13,0.6624301671981812,31.11072540283203,0.6935408711433411,0.9673303369611211,0.20801651720754452,0.08837982339104422,-0.16836667131737007,0.00614332028142512,-0.08386514819320548,-0.05540214810675308,0.0027090642428178463,-0.008427789055863368,0.0009011221344929781,-2.1863708362116008e-05,,,,,,,,,
0.001,14,0.6197772026062012,29.20110321044922,0.6489782929420471,0.9675117118590695,0.20823704112851907,0.08884012604525901,-0.1684966773764314,0.006133942897790521,-0.08366729457861288,-0.055265127272764954,0.0027018880604651446,-0.00840491446164609,0.0008986499922878198,-2.179940210189613e-05,,,,,,,,,
0.001,15,0.5941663384437561,29.149147033691406,0.6233155131340027,0.967682070574058,0.208439840139449,0.08927638355779989,-0.1686108332466462,0.00612461560572766,-0.08348014700964909,-0.05513551423442292,0.0026950365547805666,-0.008383270855870022,0.0008962915390474965,-2.173755388255367e-05,,,,,,,,,
0.001,16,0.5506120920181274,27.16928482055664,0.5777813792228699,0.9678451394191302,0.20863183703517696,0.08970536837191842,-0.16871008796731557,0.006115256930993349,-0.08330150130044935,-0.055011013618428195,0.0026884306265649873,-0.008362358069836222,0.0008940064033338918,-2.1677447221073382e-05,,,,,,,,,
0.001,17,0.5156960487365723,27.99970054626465,0.5436957478523254,0.9680015537519313,0.20882268259425094,0.09010059081453317,-0.16881954794176793,0.006105978523476401,-0.08313344990395438,-0.05489310050793517,0.002682143561490648,-0.008342441798254828,0.0008918205426713587,-2.1619739020859436e-05,,,,,,,,,
