epoch,data_loss,pde_loss,total_loss,coefficient_error,spurious_l2,grad_siren,grad_symnet,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,1.2817213535308838,33.92361068725586,18.243526458740234,1.1470535743415047,0.5771390725314651,359.38994469596287,0.749507703366536,0.5717552435530727,-0.07679267916388904,0.0043611143111263635,-0.016943175891421223,-0.008840164947372189,-1.0398417108640034e-05,-0.0011240863858916533,7.111366087281936e-06,8.301028211547931e-07
50,0.46237659454345703,1.3434257507324219,1.134089469909668,1.13683290853789,0.559857678360952,,,0.554635860325723,-0.07323498143938845,0.00409929991831254,-0.021321874091953956,-0.010709542322419788,-3.140180570258633e-05,-0.0013025523277977423,3.1767162459147706e-06,7.127450655095753e-07
200,0.12480676174163818,0.20619316399097443,0.2279033362865448,1.1221095276500417,0.5314539735505447,,,0.5261951915991157,-0.0704321594496943,0.0036755314479768996,-0.024481332320089234,-0.011860345008444446,-3.986674906563223e-05,-0.0013856507699864934,2.4114331204211585e-06,7.001293953350674e-07
500,0.04585905000567436,0.054888464510440826,0.07330328226089478,1.0682578693734608,0.414071381875489,1.7315284942712894,0.05668323651336775,0.4064781875135793,-0.0694135290597977,0.0032900501410640815,-0.0375523250294171,-0.015398281656099874,-4.547417611951049e-05,-0.001474819163183049,8.50126326406317e-06,7.52242184810113e-07
1000,0.033360596746206284,0.02103770151734352,0.04387944936752319,1.0053533480945127,0.22975364329788636,,,0.20988892237816748,-0.07073304386347516,0.0029702580834634054,-0.06105516645575681,-0.02139967003559107,-9.087404691698429e-05,-0.0015721090746716538,1.5517896606434958e-05,7.818777411815465e-07
