feature,Burgers truth,raw physical coefficient,fixed_initial physical coefficient,dynamic physical coefficient,raw absolute error,fixed_initial absolute error,dynamic absolute error
u,0.0,0.6767486929893494,0.20988892237816748,0.22732594067019626,0.6767486929893494,0.20988892237816748,0.22732594067019626
u_x,0.0,-0.33961018919944763,-0.07073304386347516,-0.1525095868471112,0.33961018919944763,0.07073304386347516,0.1525095868471112
u_xx,0.02,0.287210077047348,0.0029702580834634054,0.005157893511454365,0.267210077047348,0.017029741916536594,0.014842106488545635
u^2,0.0,-0.011428584344685078,-0.06105516645575681,-0.08945782059415534,0.011428584344685078,0.06105516645575681,0.08945782059415534
u*u_x,-1.0,-0.04420780390501022,-0.02139967003559107,-0.08369595942235139,0.9557921960949898,0.9786003299644089,0.9163040405776486
u*u_xx,0.0,-0.0013354531256482005,-9.087404691698429e-05,-0.000856772313864571,0.0013354531256482005,9.087404691698429e-05,0.000856772313864571
u_x^2,0.0,-0.04270727559924126,-0.0015721090746716538,-0.005111689966376279,0.04270727559924126,0.0015721090746716538,0.005111689966376279
u_x*u_xx,0.0,-0.0016995592741295695,1.5517896606434958e-05,-0.00021515819478742863,0.0016995592741295695,1.5517896606434958e-05,0.00021515819478742863
u_xx^2,0.0,0.0044314246624708176,7.818777411815465e-07,-1.4558054047960528e-06,0.0044314246624708176,7.818777411815465e-07,1.4558054047960528e-06
