condition,initial data MSE,final data MSE,minimum data MSE,final PDE MSE,minimum PDE MSE,final coefficient error,final xi(u*u_x),final xi(u_xx),final spurious norm
raw,1.2725785970687866,0.6382296085357666,0.6382296085357666,4.468447685241699,4.468447685241699,1.2490967355866236,-0.04420780390501022,0.287210077047348,0.7584871175316207
fixed_initial,1.2725785970687866,0.033360596746206284,0.033360596746206284,0.02103770151734352,0.02103770151734352,1.0053533480945127,-0.02139967003559107,0.0029702580834634054,0.22975364329788636
dynamic,1.2725785970687866,0.03268294408917427,0.03268294408917427,0.02031753771007061,0.02031753771007061,0.9606244071850054,-0.08369595942235139,0.005157893511454365,0.2880379641220937
