condition,epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse
raw,0,1.2725785970687866,36.93276871701011,10176.92640590582,32.56972385037836
raw,50,1.0501532554626465,12.219885958632736,3622.5267814673743,15.430640440220438
raw,200,0.9039705395698547,8.788819546292581,2974.282246604655,9.230329089436824
raw,500,0.7607742547988892,6.9410374536306,2730.893906567705,4.792540787271038
raw,1000,0.649910569190979,5.937662324930499,2635.5179971512184,2.403595399912304
fixed_initial,0,1.2725785970687866,36.93276871701011,10176.92640590582,32.56972385037836
fixed_initial,50,0.4738553762435913,12.303339320969348,5504.207419311434,2.131500559097801
fixed_initial,200,0.12287286669015884,6.822024413249348,3924.5920354658488,1.1066813822169304
fixed_initial,500,0.046742115169763565,4.108432594760896,3115.151218105736,0.9930331927866761
fixed_initial,1000,0.033250413835048676,2.864373796589816,2603.410091203606,0.8782559176190996
dynamic,0,1.2725785970687866,36.93276871701011,10176.92640590582,32.56972385037836
dynamic,50,0.4752660393714905,12.315311429164817,5500.604856949301,2.137236371487442
dynamic,200,0.14364230632781982,6.649287555614408,3841.115489540839,1.1992523200710996
dynamic,500,0.04692261666059494,3.8746513821918245,2965.226162016101,1.0014669362066864
dynamic,1000,0.03247155249118805,2.6981187080763065,2509.3463726014365,0.858945766445101
