condition,epoch,rms_u,rms_ux,rms_uxx
raw,0,0.8515439033508301,5.5864787101745605,85.52430725097656
raw,50,0.6204612851142883,2.6354689598083496,31.75123405456543
raw,200,0.4980749487876892,1.8037889003753662,19.2648868560791
raw,500,0.36208808422088623,1.208235263824463,12.00933837890625
raw,1000,0.25266557931900024,0.8045734763145447,7.817470073699951
fixed_initial,0,0.8515439033508301,5.5864787101745605,85.52430725097656
fixed_initial,50,0.33519259095191956,2.6889700889587402,52.56282424926758
fixed_initial,200,0.619487464427948,1.9625152349472046,35.395233154296875
fixed_initial,500,0.8079098463058472,1.7448242902755737,25.678855895996094
fixed_initial,1000,0.8280006051063538,1.7136858701705933,21.022594451904297
dynamic,0,0.8515439033508301,5.5864787101745605,85.52430725097656
dynamic,50,0.333735853433609,2.6900439262390137,52.50885009765625
dynamic,200,0.590371310710907,1.9009013175964355,34.11659622192383
dynamic,500,0.8064749240875244,1.6710004806518555,22.657541275024414
dynamic,1000,0.8291891813278198,1.6892967224121094,18.807193756103516
