feature,VIF,mean_abs_corr,bootstrap_var_ridge
u,8.645484797371228,0.3070524496926966,0.0029205404896882454
ux,7313.0720223071685,0.22789771069645648,13.242448530908876
uxx,3580216.7491460284,0.42654590440138374,0.1657474498117903
u2,6.999640518655773,0.20939200834054783,0.002766787211420171
u*ux,2017070225.4648623,0.4236138418224812,0.0010803686838996075
(u2)_x,2016902206.2196481,0.42361129299742806,0.0009697167381775881
ux_smooth,7321.944325558222,0.2279593850839796,13.235368999370037
uxx_dup,3580538.87630037,0.42654963558620385,0.16434887327790523
