coefficients,eql_feature_names,eql_method,eql_readout_coeffs,eql_readout_dim,eql_readout_terms,feature_names,final_loss,final_loss_data,final_loss_pde,l1,lambda_pde,loss_tv,num_samples,pde_method,seed,u_max_abs,u_rel_l2,u_rmse,ux_max_abs,ux_rel_l2,ux_rmse,uxx_max_abs,uxx_rel_l2,uxx_rmse
0.011969959000284178|-0.007376500422709841|-1.3843009331401465e-05,u|u_x|u_xx,eql,-2.0591556694773563|-127.69074872874738|-7.63169635285103|0.030160030208064233|1.8702601731547766|0.11177988918107476|-0.06598208817658757|-4.091629577521529|-0.24454453306027515,4,u*u|u*u_x|u*u_xx|u_x*u|u_x*u_x|u_x*u_xx|u_xx*u|u_xx*u_x|u_xx*u_xx,u|u_x|u_xx,0.039984364062547684,0.0009448413038626313,0.39039522409439087,19.503276824951172,0.1,0.0,252,least_squares,0,2.2860068678855896,1.2271996475827525,1.0511623746997603,31.71163842208042,3.137873694962069,7.337868976774099,1598.555328812961,3.8560634506845024,195.6997493193437
0.01824108503999063|0.0004978483410663198|2.5621800677362496e-05,u|u_x|u_xx,eql,-2.3501858419733286|-109.80613538142065|-8.735036902244548|0.03262285917849222|1.5242156715890858|0.12125078523219643|-0.06245115924996525|-2.9178630578296914|-0.232114912316193,4,u*u|u*u_x|u*u_xx|u_x*u|u_x*u_x|u_x*u_xx|u_xx*u|u_xx*u_x|u_xx*u_xx,u|u_x|u_xx,0.009949328377842903,0.002997874515131116,0.02317151241004467,18.663694381713867,0.3,0.0,252,least_squares,0,2.459394693374634,1.1945948901159462,1.0232346496936242,31.356286760100037,2.785337410191283,6.513468341605123,754.3371425237841,2.6650612075558553,135.25498657103427
-0.0732817394282314|-0.029265017210735954|-5.914945468995722e-05,u|u_x|u_xx,eql,-2.9647234042945456|-100.57594298216081|-10.997967937266605|0.026188072976757577|0.8884100724903102|0.09714754048218235|-0.0692831669975176|-2.3503777261217866|-0.25701353729229176,4,u*u|u*u_x|u*u_xx|u_x*u|u_x*u_x|u_x*u_xx|u_xx*u|u_xx*u_x|u_xx*u_xx,u|u_x|u_xx,0.022835418581962585,0.006461838725954294,0.03274716064333916,17.982240676879883,0.5,0.0,252,least_squares,0,2.160017967224121,1.1853218201235918,1.0152917674632391,30.780686732062012,2.4631676081245044,5.760079255347513,750.0460076894946,2.3557409448650253,119.55661992272523
0.01831366409772817|-0.026622034691705432|6.15447051420838e-05,u|u_x|u_xx,eql,-2.2537658814246555|0.02923328006314959|-0.040334933988579943|-92.94493943630967|1.2055757287782647|-1.6634061362071604|-9.475789323866717|0.12290912974017312|-0.1695851996065599,4,u*u|u*u_x|u*u_xx|u_x*u|u_x*u_x|u_x*u_xx|u_xx*u|u_xx*u_x|u_xx*u_xx,u|u_x|u_xx,0.04775528982281685,0.004617003258317709,0.0616261251270771,18.068801879882812,0.7,0.0,252,least_squares,0,2.266263961791992,1.274304791754751,1.0915104593051816,31.279658432730347,2.321797687102208,5.429487887255162,755.6097319688982,2.2793440812966304,115.67938936354837
