epoch,total_loss,data_loss,pde_loss,tv_loss
0,0.07554845992727058,0.07554768810107831,0.0,7.71616899532279e-07
1,0.003866100964683389,0.0038650913149236685,0.0,1.0096539913969797e-06
2,0.002770940680795955,0.002769918084913303,0.0,1.022594370436901e-06
3,0.00279878026672772,0.0027977459369197726,0.0,1.0343256349187868e-06
4,0.0027344518281992468,0.002733405971426576,0.0,1.0458590834007606e-06
5,0.003126791013138635,0.0031257396275621084,0.0,1.0513820802049259e-06
6,0.003453484958126431,0.0034523914523777507,0.0,1.0935015819678295e-06
7,0.0026402391145922363,0.00263915523251016,0.0,1.083867477829035e-06
8,0.0028353625768056463,0.0028342726448225596,0.0,1.0899283351829495e-06
9,0.003502961554904542,0.0035018297947115367,0.0,1.1317601298460864e-06
10,0.003187741104897762,0.0031865927065530468,0.0,1.1484222839152652e-06
11,0.004600302227551029,0.004599086626151961,0.0,1.2156013133515818e-06
12,0.0030427498646849204,0.0030415556578349975,0.0,1.194213783918034e-06
13,0.00256358348350558,0.0025624462905975563,0.0,1.1371891446287918e-06
14,0.0025113257801248914,0.0025101909118275794,0.0,1.1348636406630307e-06
15,0.0024625148313740888,0.0024614141263540777,0.0,1.1007143612799169e-06
16,0.0024449043567218477,0.002443794711744265,0.0,1.1096570139512002e-06
17,0.0026844529590258994,0.0026833313842496227,0.0,1.1215748186837046e-06
18,0.0031778116503523458,0.0031765882731489246,0.0,1.2233673758254598e-06
19,0.002516283520630428,0.0025151364305721863,0.0,1.1470849793272103e-06
20,0.0036735467701440767,0.003672371522360851,0.0,1.1752256927903792e-06
21,0.00373771202026142,0.003736446493320049,0.0,1.2655263936895131e-06
22,0.003974572722134846,0.00397331331531325,0.0,1.2594072970950082e-06
23,0.0034587830637714694,0.0034575051857188106,0.0,1.277871114152298e-06
24,0.0030318532575158374,0.0030306164426581253,0.0,1.2368252131391417e-06
25,0.002508454183707871,0.0025072504344972827,0.0,1.2037593810491094e-06
26,0.00255580200621533,0.0025546516417451794,0.0,1.1503486667780158e-06
27,0.002667823957929772,0.00266664556138927,0.0,1.1783978271480356e-06
28,0.002887275018211868,0.0028860465519958073,0.0,1.2284738610495488e-06
29,0.0030931690892589,0.003091947759486853,0.0,1.2213372392868642e-06
30,0.0037588852287698832,0.0037575336357962993,0.0,1.3515880588841802e-06
31,0.0027147771361919625,0.0027135352027558143,0.0,1.2419204893823975e-06
32,0.0028279601367160916,0.0028267348118658575,0.0,1.2253244839095195e-06
33,0.0035920074719580867,0.0035906986680827916,0.0,1.3088062509889405e-06
34,0.0030006086453795433,0.0029993224704253766,0.0,1.2861855586220733e-06
35,0.002849175199304545,0.0028479465409108097,0.0,1.2286417368086981e-06
36,0.0035024606253183078,0.0035010892639143597,0.0,1.371362013886692e-06
37,0.0024956239919577327,0.0024944243376098926,0.0,1.1996593464515635e-06
38,0.002495761088553875,0.0024945912402241474,0.0,1.1698407749665623e-06
39,0.002482821750972006,0.002481646462535811,0.0,1.1752956192183427e-06
40,0.002488818263546342,0.002487613590404628,0.0,1.2046678354260895e-06
41,0.002520376273120443,0.002519193523016477,0.0,1.1827431591434957e-06
42,0.002638826242810677,0.0026376379380327842,0.0,1.1883198982422261e-06
43,0.003240117341250418,0.0032387578616007453,0.0,1.359473774950207e-06
44,0.003345127912267806,0.003343780872426809,0.0,1.3470455127072267e-06
45,0.0033081965299234504,0.0033068661171469895,0.0,1.330425551793543e-06
46,0.0033776944185355826,0.0033763236225774836,0.0,1.3707876318914628e-06
47,0.003087919900223376,0.003086558872065137,0.0,1.361030460848558e-06
48,0.0027438795216204155,0.0027425719964657984,0.0,1.3075260668186288e-06
49,0.0026624588155379843,0.0026612414993227476,0.0,1.2173193984684378e-06
50,0.002763992678078394,0.0027627437449400387,0.0,1.248932850529176e-06
51,0.0025768389016212452,0.0025755995958452187,0.0,1.239301405399197e-06
52,0.0026196619636187006,0.002618449514672633,0.0,1.2124458377247576e-06
53,0.0025775496005302385,0.002576320631695645,0.0,1.228974031705764e-06
54,0.0025273507261382683,0.0025261302500785817,0.0,1.2204704366994852e-06
