dataset,seed,model,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,l1_lambda,sparse_eql_s,final_total_loss,final_data_loss,final_tv_loss,final_sparse_eql_loss,ux_rel_l2,uxx_rel_l2,uxxx_rel_l2,l2_coeff_error,status,error,pde_names,pde_coeffs,true_coeffs
burgers,0,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0,0.001,0.0008692169218499325,0.0008692169218499325,0.0,0.0,0.8779536944198717,26.104019594860713,892.3889322200342,1.0711174927919984,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.622963265844407, -0.11833252753144877, -3.723380976206059e-06, -0.13680431464237294]","[0.0, 0.0, 0.01, -1.0]"
burgers,1,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0,0.001,0.00040904649862982703,0.00040904649862982703,0.0,0.0,0.395159484054559,16.612177285216088,891.88954453681,0.9801133099451784,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6141413896119687, 0.007709956105358673, 9.678841277841604e-07, -0.23626376946567945]","[0.0, 0.0, 0.01, -1.0]"
burgers,2,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0,0.001,0.0004860171546818375,0.0004860171546818375,0.0,0.0,0.6701640751118608,22.673740843003998,957.6441911681856,0.9860646821319615,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.5835678290364952, 0.04342013573798146, 6.176038037049303e-06, -0.2064088196327086]","[0.0, 0.0, 0.01, -1.0]"
burgers,0,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-10,0.001,0.00028405268417237936,0.0002840218349765654,0.0,3.085188504230408e-08,0.4093816814552692,14.580298306473393,628.7134479462843,0.9485062710096968,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6000970422337256, -0.01470513810851291, 1.0361461074928635e-05, -0.2656760578041012]","[0.0, 0.0, 0.01, -1.0]"
burgers,1,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-10,0.001,0.00033019255993122436,0.0003301667249507944,0.0,2.583526570234507e-08,0.31293599335031425,4.6402003718603915,102.45868307818169,0.9557594599027149,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6304241238163005, -0.008561777208085777, 0.00011362966528777677, -0.28175872789387607]","[0.0, 0.0, 0.01, -1.0]"
burgers,2,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-10,0.001,0.0035949957690727297,0.003594963919684881,0.0,3.182622672334849e-08,1.2803245950895308,40.60290923743716,1640.3554211500257,1.168473627771596,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6427036745431168, 0.11666155915901648, -2.2739657857540063e-06, -0.031210734650414303]","[0.0, 0.0, 0.01, -1.0]"
burgers,0,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-08,0.001,0.00018452927294431606,0.0001814557799301802,0.0,3.0734925864032113e-06,0.3254341833230329,7.669214673921008,249.05343164546852,0.9546967185919142,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6385382433945325, -0.015288455283333767, 4.9555279867281865e-05, -0.29050582243564926]","[0.0, 0.0, 0.01, -1.0]"
burgers,1,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-08,0.001,0.00045557131058315164,0.0004528685741467715,0.0,2.7027364228728185e-06,0.37913981474962644,12.324457578853421,494.74749676390365,0.988333815957694,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6287917033645848, -0.013445087046285772, 9.365050169716366e-06, -0.23767189321593435]","[0.0, 0.0, 0.01, -1.0]"
burgers,2,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-08,0.001,0.0007480509087298121,0.0007451091991566896,0.0,2.9417080828118354e-06,0.963486235996855,20.420831317405813,703.8014980273573,1.0663450897220275,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.5778680644320635, 0.047730007205504695, 4.5391020934981707e-07, -0.10513564940043571]","[0.0, 0.0, 0.01, -1.0]"
burgers,0,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-06,0.001,0.0004529685893160577,0.0002604294856456984,0.0,0.00019253910237365394,0.24468051352940848,1.1151730013062309,5.646479766584036,0.6998522142407027,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.4595193182330193, -0.00023361728311734227, 0.002082554537146588, -0.47220043820728386]","[0.0, 0.0, 0.01, -1.0]"
burgers,1,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-06,0.001,0.0005289517743005832,0.00035103935475166114,0.0,0.0001779124168114331,0.28234067039450017,1.2007551474258054,4.743607898323127,0.7812082718010418,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.49853030434422174, 0.021308884663628076, 0.0016585846091963195, -0.3989756645488485]","[0.0, 0.0, 0.01, -1.0]"
burgers,2,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,1e-06,0.001,0.0014269378538805954,0.0012223518477743583,0.0,0.00020458599515628108,0.5237345363221644,2.4464851284705933,12.419575175473158,0.9477170427944944,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.6033187333376109, 0.03739794697155959, 0.00034429544459932404, -0.2701491521283998]","[0.0, 0.0, 0.01, -1.0]"
burgers,0,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0001,0.001,0.002883342044003824,0.00010429253266596392,0.0,0.002779049519910523,0.07814761314526243,0.33045966211769784,0.4135674657036067,0.05767281313695129,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[0.015618720668651508, 0.005066972322710115, 0.00946871662051455, -0.9447166166985421]","[0.0, 0.0, 0.01, -1.0]"
burgers,1,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0001,0.001,0.0023566726825688736,0.00013885163934901357,0.0,0.002217821055322443,0.08671137662308766,0.3262343308749793,0.40250499719750715,0.05777265361787052,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.021867150422881815, -0.00010962639860869448, 0.009355525657707107, -0.9465296355603559]","[0.0, 0.0, 0.01, -1.0]"
burgers,2,siren,300,1024,0.001,0.0,1,1,tv_u,0.0,0.0001,0.001,0.002313780570679372,0.00012875006056971627,0.0,0.002185030515296477,0.09283009923045231,0.3459923567820059,0.437263299425872,0.08471070934666836,1,,"['u', 'u_x', 'u_xx', 'uu_x']","[-0.022978529037039813, 0.003300221745556116, 0.009194638383644146, -0.9185361957038176]","[0.0, 0.0, 0.01, -1.0]"
