epoch,total_loss,data_loss,pde_loss,tv_loss,l1_data_loss,sparse_eql_loss
0,0.21046389195890652,0.21046389195890652,0.0,0.0,0.0,0.0
1,0.01183721607196189,0.01183721607196189,0.0,0.0,0.0,0.0
2,0.005927840543408242,0.005927840543408242,0.0,0.0,0.0,0.0
3,0.00412998568000538,0.00412998568000538,0.0,0.0,0.0,0.0
4,0.0032798482422968225,0.0032798482422968225,0.0,0.0,0.0,0.0
5,0.0028350381845874445,0.0028350381845874445,0.0,0.0,0.0,0.0
6,0.0025466951349424937,0.0025466951349424937,0.0,0.0,0.0,0.0
7,0.002346815149639807,0.002346815149639807,0.0,0.0,0.0,0.0
8,0.002227350411611417,0.002227350411611417,0.0,0.0,0.0,0.0
9,0.002101489108070613,0.002101489108070613,0.0,0.0,0.0,0.0
10,0.002012298046980822,0.002012298046980822,0.0,0.0,0.0,0.0
11,0.0019700165268861586,0.0019700165268861586,0.0,0.0,0.0,0.0
12,0.00191828617197831,0.00191828617197831,0.0,0.0,0.0,0.0
13,0.001876331172839162,0.001876331172839162,0.0,0.0,0.0,0.0
14,0.0018407442839816213,0.0018407442839816213,0.0,0.0,0.0,0.0
15,0.0018244023907870528,0.0018244023907870528,0.0,0.0,0.0,0.0
16,0.0017824801006576135,0.0017824801006576135,0.0,0.0,0.0,0.0
17,0.0017612523007546625,0.0017612523007546625,0.0,0.0,0.0,0.0
18,0.0017537099442311696,0.0017537099442311696,0.0,0.0,0.0,0.0
19,0.001740962303879242,0.001740962303879242,0.0,0.0,0.0,0.0
20,0.0017322572114478265,0.0017322572114478265,0.0,0.0,0.0,0.0
21,0.0017120395731624392,0.0017120395731624392,0.0,0.0,0.0,0.0
22,0.0017006717019877027,0.0017006717019877027,0.0,0.0,0.0,0.0
23,0.0017193581535673095,0.0017193581535673095,0.0,0.0,0.0,0.0
24,0.0017064471418658893,0.0017064471418658893,0.0,0.0,0.0,0.0
25,0.001678465407282587,0.001678465407282587,0.0,0.0,0.0,0.0
26,0.0016718827749765109,0.0016718827749765109,0.0,0.0,0.0,0.0
27,0.0016882624828241885,0.0016882624828241885,0.0,0.0,0.0,0.0
28,0.0016905945422689592,0.0016905945422689592,0.0,0.0,0.0,0.0
29,0.0016798807053072821,0.0016798807053072821,0.0,0.0,0.0,0.0
30,0.0016979898995025055,0.0016979898995025055,0.0,0.0,0.0,0.0
31,0.0016881531041618141,0.0016881531041618141,0.0,0.0,0.0,0.0
32,0.0016704091584191672,0.0016704091584191672,0.0,0.0,0.0,0.0
33,0.0016700946966127035,0.0016700946966127035,0.0,0.0,0.0,0.0
34,0.0016617489413225225,0.0016617489413225225,0.0,0.0,0.0,0.0
35,0.001664270864917882,0.001664270864917882,0.0,0.0,0.0,0.0
36,0.0016847874004659908,0.0016847874004659908,0.0,0.0,0.0,0.0
37,0.0016698094310298088,0.0016698094310298088,0.0,0.0,0.0,0.0
38,0.0017092182182721675,0.0017092182182721675,0.0,0.0,0.0,0.0
39,0.0016824612541804238,0.0016824612541804238,0.0,0.0,0.0,0.0
40,0.0016699678593477796,0.0016699678593477796,0.0,0.0,0.0,0.0
