loss,loss_data,loss_pde,l1,loss_tv,coeff_mag,ema_grad,ema_drift,prune_applied,feature_names,feature_scales
64.70606994628906,1.444701075553894,90.37338256835938,2.170497417449951,0.0,0.8501271605491638,0.22047822177410126,0.0,0,u|u_x|u_xx,"tensor([  13.0034,  148.8986, 3302.6101])"
70.18314361572266,1.3943262100219727,98.26974487304688,2.178497314453125,0.0,0.8524506092071533,0.22113902866840363,3.1622479582438245e-05,0,u|u_x|u_xx,"tensor([  12.7127,  142.8207, 3534.7661])"
47.14134216308594,1.2974331378936768,65.49130249023438,2.179814577102661,0.0,0.8524662256240845,0.2218635529279709,5.0100363296223804e-05,0,u|u_x|u_xx,"tensor([  11.8603,  159.6329, 3372.2903])"
43.94430923461914,1.3107627630233765,60.905067443847656,2.179293155670166,0.0,0.8521144986152649,0.22141997516155243,6.646441761404276e-05,0,u|u_x|u_xx,"tensor([  11.2286,  144.4013, 3292.5291])"
35.216922760009766,1.2504328489303589,48.5235595703125,2.1789767742156982,0.0,0.8518806099891663,0.2218639999628067,8.33469966892153e-05,0,u|u_x|u_xx,"tensor([  10.3465,  130.0800, 2695.4299])"
29.277963638305664,1.0397340059280396,40.340328216552734,2.178673028945923,0.0,0.8516638278961182,0.22073549032211304,9.782714187167585e-05,0,u|u_x|u_xx,"tensor([  10.6323,  130.6927, 3336.6567])"
28.053922653198242,1.0425105094909668,38.587730407714844,2.1796011924743652,0.0,0.8517508506774902,0.21947038173675537,0.00011189524957444519,0,u|u_x|u_xx,"tensor([   8.6733,  120.3118, 2681.9778])"
25.373029708862305,1.0712215900421143,34.71686935424805,2.178922653198242,0.0,0.8514132499694824,0.21781153976917267,0.0001236903335666284,0,u|u_x|u_xx,"tensor([   8.8111,  113.5081, 2749.8430])"
23.123506546020508,0.9875785708427429,31.622753143310547,2.1773338317871094,0.0,0.8507790565490723,0.21575921773910522,0.0001365389471175149,0,u|u_x|u_xx,"tensor([   8.7483,  112.9238, 2913.6230])"
22.547283172607422,0.8159507513046265,31.044761657714844,2.175713539123535,0.0,0.8501501083374023,0.2143046259880066,0.00014862485113553703,0,u|u_x|u_xx,"tensor([   6.8894,  114.7797, 2434.4146])"
22.187223434448242,1.0513836145401,30.19405746459961,2.174429416656494,0.0,0.849674642086029,0.21388645470142365,0.00015936668205540627,0,u|u_x|u_xx,"tensor([   8.5252,  110.7367, 2975.8855])"
23.754133224487305,0.8823277354240417,32.674007415771484,2.1740355491638184,0.0,0.8494300842285156,0.2119726687669754,0.0001695050741545856,0,u|u_x|u_xx,"tensor([   7.5758,   95.7346, 2314.8726])"
20.9658203125,0.8202862739562988,28.779335021972656,2.173460006713867,0.0,0.8491148352622986,0.2103811651468277,0.0001792171533452347,0,u|u_x|u_xx,"tensor([   6.9710,  102.0311, 2690.5640])"
