epoch,total_loss,data_loss,pde_loss,tv_loss,l1_data_loss,sparse_eql_loss
0,22.432578578827872,22.432578578827872,0.0,0.0,0.0,0.0
1,4.482005982171922,4.482005982171922,0.0,0.0,0.0,0.0
2,2.6771120078979975,2.6771120078979975,0.0,0.0,0.0,0.0
3,1.8649237420823839,1.8649237420823839,0.0,0.0,0.0,0.0
4,1.4259456131193373,1.4259456131193373,0.0,0.0,0.0,0.0
5,1.1391918242923798,1.1391918242923798,0.0,0.0,0.0,0.0
6,0.934328471857404,0.934328471857404,0.0,0.0,0.0,0.0
7,0.7843529515796237,0.7843529515796237,0.0,0.0,0.0,0.0
8,0.6688485401017326,0.6688485401017326,0.0,0.0,0.0,0.0
9,0.5818132474308922,0.5818132474308922,0.0,0.0,0.0,0.0
10,0.5082461375092703,0.5082461375092703,0.0,0.0,0.0,0.0
11,0.4482016804672423,0.4482016804672423,0.0,0.0,0.0,0.0
12,0.39862550014541265,0.39862550014541265,0.0,0.0,0.0,0.0
13,0.35913701521025765,0.35913701521025765,0.0,0.0,0.0,0.0
14,0.32342892175629023,0.32342892175629023,0.0,0.0,0.0,0.0
15,0.2948547289485023,0.2948547289485023,0.0,0.0,0.0,0.0
16,0.2703952280774949,0.2703952280774949,0.0,0.0,0.0,0.0
17,0.2466841789465102,0.2466841789465102,0.0,0.0,0.0,0.0
18,0.22771089252025362,0.22771089252025362,0.0,0.0,0.0,0.0
19,0.21181140248737637,0.21181140248737637,0.0,0.0,0.0,0.0
20,0.19465889557013435,0.19465889557013435,0.0,0.0,0.0,0.0
21,0.1813623427398621,0.1813623427398621,0.0,0.0,0.0,0.0
22,0.1693758061007848,0.1693758061007848,0.0,0.0,0.0,0.0
23,0.15841654794556753,0.15841654794556753,0.0,0.0,0.0,0.0
24,0.14838499658637577,0.14838499658637577,0.0,0.0,0.0,0.0
25,0.13891812189230843,0.13891812189230843,0.0,0.0,0.0,0.0
26,0.1314669893611045,0.1314669893611045,0.0,0.0,0.0,0.0
27,0.1235098625932421,0.1235098625932421,0.0,0.0,0.0,0.0
28,0.11505200879441367,0.11505200879441367,0.0,0.0,0.0,0.0
29,0.10943909817271763,0.10943909817271763,0.0,0.0,0.0,0.0
30,0.10467679183634501,0.10467679183634501,0.0,0.0,0.0,0.0
31,0.09834717604376021,0.09834717604376021,0.0,0.0,0.0,0.0
32,0.09310568230492729,0.09310568230492729,0.0,0.0,0.0,0.0
33,0.08868920672980565,0.08868920672980565,0.0,0.0,0.0,0.0
34,0.08389455091858668,0.08389455091858668,0.0,0.0,0.0,0.0
35,0.08016765590698,0.08016765590698,0.0,0.0,0.0,0.0
36,0.07631157161224456,0.07631157161224456,0.0,0.0,0.0,0.0
37,0.07250274966160457,0.07250274966160457,0.0,0.0,0.0,0.0
38,0.06848567109259349,0.06848567109259349,0.0,0.0,0.0,0.0
39,0.06638625015815099,0.06638625015815099,0.0,0.0,0.0,0.0
40,0.06252518881644521,0.06252518881644521,0.0,0.0,0.0,0.0
41,0.06022637763193676,0.06022637763193676,0.0,0.0,0.0,0.0
42,0.058262424277407784,0.058262424277407784,0.0,0.0,0.0,0.0
43,0.055195015988179615,0.055195015988179615,0.0,0.0,0.0,0.0
44,0.05277461292488234,0.05277461292488234,0.0,0.0,0.0,0.0
45,0.05076739369403748,0.05076739369403748,0.0,0.0,0.0,0.0
46,0.04836142589412038,0.04836142589412038,0.0,0.0,0.0,0.0
47,0.046511267977101464,0.046511267977101464,0.0,0.0,0.0,0.0
48,0.04495375910921702,0.04495375910921702,0.0,0.0,0.0,0.0
49,0.042806115415361196,0.042806115415361196,0.0,0.0,0.0,0.0
