checkpoint_epoch,seed,final_pde_loss,minimum_pde_loss,epoch_of_minimum_pde_loss,coefficient_error,spurious_l2,loose_success,strong_success,convergence_epoch,symnet_initial_state_sha256,frozen_theta_sha256,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,0,72.24702453613281,72.24700927734375,767,1.1252480587864533,0.38636476762212746,False,False,,aadbb3cd0cc3683c988d1a5cd03be3a5bb76f4940e9c28ee05995d9a216b6e12,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743114438643739,-0.24835596687483757,0.0015576813446176122,0.11105838909030613,0.05667655459255555,0.002325379877384639,-0.003288585680574989,0.0003017692198247659,1.0151801424423123e-05
0,1,72.24701690673828,72.24700927734375,728,1.1252485691216527,0.3863665557114973,False,False,,0f4b98c8b6294dc6095cba375b8627d320906e5dd8bbae2c489b81b755ccc062,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.274311779805923,-0.24835874868208144,0.0015576880754148176,0.11105756001810514,0.056676444361677625,0.002325373592150695,-0.003288558707780888,0.00030176844033863903,1.0151793553888337e-05
0,2,72.24700927734375,72.24700927734375,462,1.125248886514306,0.38636723186620453,False,False,,ab9a12ebd818ec446a6682389c46ea560e00ed2efb1d0ce758426e47199f670e,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431206406415676,-0.24835943665591592,0.0015576892403604877,0.11105767205488906,0.05667653514004768,0.0023253691026978783,-0.0032885500295775686,0.0003017692847819431,1.0151757574300738e-05
0,3,72.24700927734375,72.24700927734375,713,1.1252487688895083,0.3863667651008614,False,False,,7f3a0a039046de928ebb00810c23fcd5b068008d39f07761885b19571cfa4db8,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743119348558687,-0.2483589131975636,0.0015576879459764097,0.11105753761074837,0.05667658052923271,0.0023253702250610824,-0.0032885605841491733,0.00030176951213206345,1.01517721910082e-05
0,4,72.24700927734375,72.24700927734375,779,1.1252478357315276,0.3863644016805332,False,False,,d8a57a4b271d14683b9ed5237a3c923e7aa0b2b1f08dd266f64911602f23f521,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743112112894553,-0.24835539854862648,0.0015576801796719421,0.1110589604779041,0.05667645084584692,0.002325399406504394,-0.0032886025678895564,0.00030176792068122113,1.0151904865737465e-05
0,5,72.24701690673828,72.24700927734375,701,1.1252483815326635,0.3863665944774278,False,False,,56abf8b5ed618c02defa30c09b32a8c4bad70dfe2acc198c3b5fcdf13e5c0806,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743117539642653,-0.24835900293328114,0.0015576857455234772,0.11105719029671822,0.056676230384091066,0.002325365960080906,-0.0032885584732348524,0.0003017677582882781,1.0151766569197638e-05
0,6,72.24701690673828,72.24700927734375,720,1.1252486280158382,0.38636670946958673,False,False,,462d56528cb479b42e5bba369987f634c37586f25f22cd59612760b7e7306f1b,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431188317255345,-0.2483587935499402,0.0015576874282227785,0.11105773927695942,0.05667645084584692,0.0023253742655686177,-0.0032885584732348524,0.00030176883008170243,1.0151791305164111e-05
0,7,72.24702453613281,72.24700927734375,694,1.1252484618328387,0.38636657957627646,False,False,,620ce80e559969a2e32f3f19be1ea806679737f95c59a2a61cb9deac9a1d45ff,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743118573308958,-0.24835939178805716,0.0015580468786812283,0.1110560139104871,0.05667632764663041,0.002325359674846962,-0.0032885500295775686,0.0003017683753814618,1.0151777812818763e-05
0,8,72.24701690673828,72.24700927734375,417,1.1252486842852794,0.38636706827508677,False,False,,c17df2aae30a46a68465360d996de0f48cdeda30953d7fc0c44360e32aebb09b,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743116247559772,-0.24835943665591592,0.0015576844511393992,0.11105818742409508,0.05667637951998473,0.0023253753879318223,-0.003288565509615922,0.0003017687651245252,1.0151784558991436e-05
0,9,72.24702453613281,72.24700927734375,827,1.125247428262833,0.38636287808729103,False,False,,4869bffaeb9d46185810693cf93a511bfb8514ab67ff0de69eb2d1e6e66a623e,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.274312115747472,-0.24835195867945398,0.00155768147405602,0.11105911732940159,0.05667657404506342,0.002325399182031753,-0.0032886391570711195,0.00030176847281722765,1.0151896995202678e-05
0,10,72.24701690673828,72.24700927734375,801,1.125247706049103,0.38636375820366303,False,False,,9defeaca8863ba55be46dff8c37ea0dd2be5b8f5ddf7872d5202ee14a713c553,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743125808973092,-0.2483522278866066,0.0015576847100162148,0.11106042815977342,0.05667654810838626,0.002325409283300592,-0.0032886349352424776,0.00030176863521017076,1.0151908238823803e-05
0,11,72.24700927734375,72.24700927734375,458,1.1252487569354241,0.3863671026664725,False,False,,cb4dcc6d98337dfa7c2fe4748b556e33d0ebbdac5107c6fb85f8554f36cba613,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431190901421104,-0.24835940674401008,0.0015576874282227785,0.11105767205488906,0.056676444361677625,0.0023253717963695685,-0.0032885610532412445,0.00030176899247464555,1.0151782310267212e-05
0,12,72.24701690673828,72.24700927734375,501,1.1252486954669352,0.3863670654411632,False,False,,4d50e803068591637543113dee99cd27a9d8ab36a9d37791d04aa0ceda5b0ac5,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743117022809501,-0.24835939178805716,0.0015576858749618851,0.11105808659098955,0.05667639248832331,0.002325373816623336,-0.003288560818695209,0.0003017682129885187,1.0151771066646088e-05
0,13,72.24701690673828,72.24700927734375,759,1.1252480207461568,0.38636495832469325,False,False,,c19c7e66e0265d45296713ad132ab60c86694d2ac8d0b6c6d84ff7699a8e046d,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743112888144282,-0.24835655015700162,0.0015576817329328355,0.11105813140570311,0.056676444361677625,0.002325379877384639,-0.0032885762987335623,0.00030176860273158215,1.0151812668044246e-05
0,14,72.24701690673828,72.24700927734375,470,1.1252486366384549,0.3863671069377093,False,False,,6d0988b90720cc7835964906ae90b5c202ecdd3489c6e82ccd6077b5eb1595a3,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431188317255345,-0.24835940674401008,0.0015576863927155163,0.1110577504806378,0.05667631467829183,0.0023253792039667166,-0.003288564805977815,0.00030176762837392357,1.015182391166537e-05
0,15,72.24700927734375,72.24700927734375,650,1.1252487842913417,0.38636760789949154,False,False,,c00b5070ac2e1ff1ecbc94a5bc9c81ae4898950aeff18271beebec1ac6eca5bf,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743122707974177,-0.24835931700829253,0.001557686522153924,0.11105873640433628,0.05667628874161467,0.002325389754180837,-0.0032885624605174585,0.00030176772580968946,1.0151853145080294e-05
0,16,72.24700927734375,72.24700927734375,681,1.1252484827715232,0.3863665701378664,False,False,,6ac5f3d7b67042fff9ac8742c9c15d8099464a2cd5e8a39b16a41274b3f74188,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743115989143196,-0.2483593469201984,0.0015576861338387007,0.11105671974222577,0.05667634709913828,0.0023253623685186523,-0.003288546980479105,0.00030176844033863903,1.0151759823024963e-05
0,17,72.24701690673828,72.24700927734375,642,1.1252486343990702,0.386367224655768,False,False,,919316131111d8a3a024692e05112624c6d259fcf7ae8a20b5c5987dfc680848,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743120123808415,-0.24835933196424545,0.0015576885931684488,0.1110580081652408,0.0566762692891068,0.002325376061349745,-0.003288565040523851,0.0003017673035880374,1.0151789056439885e-05
0,18,72.24700927734375,72.24700927734375,634,1.1252484291734424,0.3863666977585352,False,False,,af926fe3daaf14f24cbc6009522f4a3f6742f884e7d10db4897024264453b94e,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431154723100437,-0.24835936187615132,0.0015576857455234772,0.11105725751878857,0.05667624335242964,0.0023253702250610824,-0.0032885558932284602,0.0003017678557240439,1.0151794678250448e-05
0,19,72.24701690673828,72.24700927734375,395,1.125248640226057,0.3863671882895563,False,False,,21c93718708eee24529cca0b13482312662b3370da53693ecd7094f3c6915504,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743118573308958,-0.248359421699963,0.0015576857455234772,0.11105806418363277,0.05667628874161467,0.0023253747145138997,-0.0032885577695967454,0.00030176857025299354,1.0151791305164111e-05
0,20,72.24700927734375,72.24700927734375,451,1.1252485849923672,0.3863668678442918,False,False,,39297172a15e28347e7d944991a1f3e05781b49c062f7ab59d76278141ab53e8,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431172812260773,-0.248359421699963,0.0015576861338387007,0.11105726872246696,0.05667634709913828,0.0023253713474242865,-0.0032885528441299965,0.00030176844033863903,1.0151799175698898e-05
0,21,72.24700927734375,72.24700927734375,656,1.1252484830424336,0.3863665708650772,False,False,,97ab5f27efb69e195b3925e5d59d4794d28de088d7ab110bd2a37d3d23e47572,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.27431149554768913,-0.24835936187615132,0.0015576848394546227,0.1110569438157936,0.05667634709913828,0.0023253637153544974,-0.0032885570659586384,0.0003017683753814618,1.0151762071749187e-05
0,22,72.24700927734375,72.24700927734375,688,1.1252485896252211,0.38636672170996067,False,False,,279c5b1496b9f7db3728faec7ae06a2f92b14c1d69b98ddd5115bbeaf4678576,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.274311779805923,-0.24835918240471622,0.0015576856160850695,0.11105716788936143,0.05667640545666189,0.0023253686537525963,-0.0032885519059458537,0.00030176844033863903,1.0151777812818763e-05
0,23,72.24701690673828,72.24700927734375,784,1.1252476075085902,0.3863636837837353,False,False,,a9f114fa1594c07fdb271b6581279d13313dd0a9fe7b75d511394337a2c6baed,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743114697060315,-0.24835426189620424,0.0015576797913567186,0.11105836668294934,0.056676470298354785,0.0023253890807629143,-0.0032886046788038774,0.00030176844033863903,1.0151866637425643e-05
0,24,72.24701690673828,72.24700927734375,777,1.1252480264454137,0.3863645670238228,False,False,,419e4801fb8bb97e605865a8f4288b2b36b334640fe4772f12607eb6ee26f8e2,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,0.2743113404977434,-0.24835551819624985,0.0015576812151792043,0.11105894927422572,0.05667659349757129,0.002325391774434605,-0.0032885983460609145,0.0003017687326459366,1.0151848647631845e-05
50,0,3.435546398162842,3.435546398162842,344,1.108139404832518,0.6949385548470409,False,False,,aadbb3cd0cc3683c988d1a5cd03be3a5bb76f4940e9c28ee05995d9a216b6e12,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.458687484459022,-0.20666859071764815,-0.0007762210371015415,-0.4792952244594136,-0.13709693813899845,-0.0036310743189783856,-0.00980375438043153,-0.0005193137519983679,-6.87712923159456e-06
50,1,3.435546398162842,3.435546398162842,407,1.1081390364361172,0.6949379674294413,False,False,,0f4b98c8b6294dc6095cba375b8627d320906e5dd8bbae2c489b81b755ccc062,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.45868740364795696,-0.20666857303552297,-0.000776220289358527,-0.4792944575225441,-0.13709693813899845,-0.0036310537314756396,-0.00980377142838199,-0.0005193116361475102,-6.8770617366145545e-06
50,2,3.435546398162842,3.435546398162842,274,1.1081394039676589,0.6949387321255779,False,False,,ab9a12ebd818ec446a6682389c46ea560e00ed2efb1d0ce758426e47199f670e,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.45868756527008714,-0.2066686260818985,-0.0007762192540220457,-0.47929538880302847,-0.13709708197793108,-0.0036310434377242666,-0.00980377142838199,-0.0005193096568031593,-6.877009339195866e-06
50,3,3.435546636581421,3.4355461597442627,793,1.1081391088309116,0.6949380679958428,False,False,,7f3a0a039046de928ebb00810c23fcd5b068008d39f07761885b19571cfa4db8,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.458687484459022,-0.2066687321746496,-0.0007762199442463666,-0.4792944575225441,-0.13709692615242075,-0.0036310456212472852,-0.009803767494239576,-0.0005193103734623208,-6.87703154149192e-06
50,4,3.435546398162842,3.4355461597442627,982,1.1080201141809278,0.6947348238923515,False,False,,d8a57a4b271d14683b9ed5237a3c923e7aa0b2b1f08dd266f64911602f23f521,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586556853049038,-0.20666935104903097,-0.0007759704856730487,-0.4790298643025728,-0.1370860663130083,-0.0036259408563618567,-0.009807631477780552,-0.000518825672982758,-6.861496594942542e-06
50,5,3.435546398162842,3.435546398162842,768,1.1081211079911182,0.6949070129225078,False,False,,56abf8b5ed618c02defa30c09b32a8c4bad70dfe2acc198c3b5fcdf13e5c0806,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.458684332827483,-0.2066688559495259,-0.0007761892292640858,-0.4792523855571325,-0.13709503227314132,-0.0036303259944467543,-0.009804356959911277,-0.0005192459082644123,-6.874909446035025e-06
50,6,3.435546398162842,3.4355461597442627,571,1.1081396006074602,0.6949389265548892,False,False,,462d56528cb479b42e5bba369987f634c37586f25f22cd59612760b7e7306f1b,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586876056756197,-0.2066685553533978,-0.000776221267176315,-0.47929566270905327,-0.13709698608530935,-0.0036310718235235072,-0.009803752413360322,-0.0005193130012125796,-6.8771114697577165e-06
50,7,3.435546398162842,3.435546398162842,432,1.1081394731391658,0.6949387530717466,False,False,,620ce80e559969a2e32f3f19be1ea806679737f95c59a2a61cb9deac9a1d45ff,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.45868756527008714,-0.20666869681039923,-0.000776220979582848,-0.47929538880302847,-0.13709701005846478,-0.0036310599701128354,-0.009803758970264346,-0.0005193116702741368,-6.877071505624818e-06
50,8,3.435546398162842,3.4355461597442627,241,1.108138746339807,0.6949374601961074,False,False,,c17df2aae30a46a68465360d996de0f48cdeda30953d7fc0c44360e32aebb09b,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586873632424244,-0.20666860839977333,-0.0007762202318398337,-0.4792937453668796,-0.13709690217926532,-0.0036310493644296023,-0.009803779296666818,-0.0005193116020208834,-6.877056408063501e-06
50,9,3.435546398162842,3.4355461597442627,481,1.108138541581779,0.6949371039652368,False,False,,4869bffaeb9d46185810693cf93a511bfb8514ab67ff0de69eb2d1e6e66a623e,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.45868732283689184,-0.2066686437640237,-0.0007762188513911919,-0.4792932523360349,-0.13709687820610988,-0.003631024721812679,-0.009803785853570841,-0.0005193084964978502,-6.876968486971125e-06
50,10,3.435546398162842,3.4355461597442627,953,1.1081389261981314,0.6949377332471748,False,False,,9defeaca8863ba55be46dff8c37ea0dd2be5b8f5ddf7872d5202ee14a713c553,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586876864866848,-0.2066685553533978,-0.0007761822695021833,-0.4792938549292895,-0.1370968901926876,-0.003631045933179145,-0.0098037740511436,-0.0005193109536149753,-6.877040422410342e-06
50,11,3.4355876445770264,3.4355876445770264,1000,1.0933683617480554,0.6681364654009857,False,False,,cb4dcc6d98337dfa7c2fe4748b556e33d0ebbdac5107c6fb85f8554f36cba613,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4548040279144046,-0.20673000073840556,-0.0007482920302547517,-0.44351778384169194,-0.13477312428997507,-0.0030454693539375124,-0.010238446299732386,-0.0004627187684949936,-5.228020832743735e-06
50,12,3.435546636581421,3.4355461597442627,396,1.1081396607481544,0.6949390075638053,False,False,,4d50e803068591637543113dee99cd27a9d8ab36a9d37791d04aa0ceda5b0ac5,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586875248645546,-0.2066686260818985,-0.0007762214972510887,-0.4792958270526682,-0.13709697409873162,-0.0036310811814793007,-0.009803746512146702,-0.0005193141615178888,-6.8771469934314035e-06
50,13,3.435546636581421,3.4355461597442627,605,1.1081393989364827,0.6949386496707202,False,False,,c19c7e66e0265d45296713ad132ab60c86694d2ac8d0b6c6d84ff7699a8e046d,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586876056756197,-0.20666876753889996,-0.000776219714171593,-0.4792951696782086,-0.13709702204504248,-0.0036310437496561263,-0.009803766838549173,-0.0005193097250564128,-6.877013335609155e-06
50,14,3.435546398162842,3.435546398162842,275,1.1081396115464541,0.6949390928882073,False,False,,6d0988b90720cc7835964906ae90b5c202ecdd3489c6e82ccd6077b5eb1595a3,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.45868764608115226,-0.2066686437640237,-0.0007762194840968194,-0.4792958270526682,-0.1370971059510865,-0.0036310434377242666,-0.009803764871477967,-0.0005193092131570117,-6.877002678507049e-06
50,15,3.435546636581421,3.435546398162842,552,1.1081383297420013,0.6949367066227004,False,False,,c00b5070ac2e1ff1ecbc94a5bc9c81ae4898950aeff18271beebec1ac6eca5bf,4e0759d8a6a4020043ac43df4de308016dd6a0f1fbe088fbc867b21df7a72680,-0.4586871612147616,-0.2066685553533978,-0.0007762191965033523,-0.4792928688676002,-0.137096830259799,-0.0036310387587463696,-0.009803787820642049,-0.0005193108512350951,-6.877028433170473e-06
