theta_checkpoint,u,u_x,u_xx,u_t,recovered,total,R_k,coefficient_error_mean,coefficient_error_median,coefficient_error_std,strong_recovered
0,2.1669418811798096,70.51128070858503,16181.683780215653,78.11902169372291,0,25,0.0,1.1252483912513775,1.1252485691216527,4.043685687375588e-07,0
50,0.7143179178237915,17.8992716941898,7063.140039993827,5.222408448485112,0,25,0.0,1.1075378882621105,1.1081390364361172,0.0029521887112103104,0
200,0.2736152708530426,8.183353192560974,4363.263148949098,1.4080101020160227,0,25,0.0,0.9985571482848447,0.9985541953910273,0.0001305610448397179,0
500,0.04820631816983223,4.801285184647572,3290.7748365438197,0.9821254171690236,0,25,0.0,0.9651190739893043,0.9652111634701284,0.00033411005718353014,0
1000,0.031030355021357536,3.1129447222790154,2646.8673131135297,0.8609469015312393,0,25,0.0,0.931465916999489,0.9312055543504199,0.0012790643555170354,0
