checkpoint_epoch,feature,mean,std,min,q25,median,q75,max,seed_values
0,u,0.27431176533459467,3.140301937690789e-07,0.2743112112894553,0.2743115472310043,0.274311779805923,0.274311909014211,0.2743125808973092,"[0.2743114438643739, 0.274311779805923, 0.2743120640641567, 0.2743119348558687, 0.2743112112894553, 0.2743117539642653, 0.2743118831725534, 0.2743118573308958, 0.2743116247559772, 0.274312115747472, 0.2743125808973092, 0.274311909014211, 0.2743117022809501, 0.2743112888144282, 0.2743118831725534, 0.2743122707974177, 0.2743115989143196, 0.2743120123808415, 0.2743115472310043, 0.2743118573308958, 0.2743117281226077, 0.2743114955476891, 0.274311779805923, 0.2743114697060315, 0.2743113404977434]"
0,u_x,-0.24835794225709973,2.3481398597041794e-06,-0.2483594366559159,-0.2483593917880571,-0.2483593170082925,-0.2483565501570016,-0.2483519586794539,"[-0.2483559668748375, -0.2483587486820814, -0.2483594366559159, -0.2483589131975636, -0.2483553985486264, -0.2483590029332811, -0.2483587935499402, -0.2483593917880571, -0.2483594366559159, -0.2483519586794539, -0.2483522278866066, -0.24835940674401, -0.2483593917880571, -0.2483565501570016, -0.24835940674401, -0.2483593170082925, -0.2483593469201984, -0.2483593319642454, -0.2483593618761513, -0.248359421699963, -0.248359421699963, -0.2483593618761513, -0.2483591824047162, -0.2483542618962042, -0.2483555181962498]"
0,u_xx,0.001557699569545388,7.240551868057441e-08,0.0015576797913567,0.0015576844511393,0.0015576857455234,0.0015576874282227,0.0015580468786812,"[0.0015576813446176, 0.0015576880754148, 0.0015576892403604, 0.0015576879459764, 0.0015576801796719, 0.0015576857455234, 0.0015576874282227, 0.0015580468786812, 0.0015576844511393, 0.001557681474056, 0.0015576847100162, 0.0015576874282227, 0.0015576858749618, 0.0015576817329328, 0.0015576863927155, 0.0015576865221539, 0.0015576861338387, 0.0015576885931684, 0.0015576857455234, 0.0015576857455234, 0.0015576861338387, 0.0015576848394546, 0.001557685616085, 0.0015576797913567, 0.0015576812151792]"
0,u^2,0.11105791674322511,9.030706880883929e-07,0.1110560139104871,0.1110572687224669,0.1110577504806378,0.1110583666829493,0.1110604281597734,"[0.1110583890903061, 0.1110575600181051, 0.111057672054889, 0.1110575376107483, 0.1110589604779041, 0.1110571902967182, 0.1110577392769594, 0.1110560139104871, 0.111058187424095, 0.1110591173294015, 0.1110604281597734, 0.111057672054889, 0.1110580865909895, 0.1110581314057031, 0.1110577504806378, 0.1110587364043362, 0.1110567197422257, 0.1110580081652408, 0.1110572575187885, 0.1110580641836327, 0.1110572687224669, 0.1110569438157936, 0.1110571678893614, 0.1110583666829493, 0.1110589492742257]"
0,u*u_x,0.05667641090336405,1.1068573840799968e-07,0.056676230384091,0.0566763276466304,0.0566764054566618,0.0566764702983547,0.0566765934975712,"[0.0566765545925555, 0.0566764443616776, 0.0566765351400476, 0.0566765805292327, 0.0566764508458469, 0.056676230384091, 0.0566764508458469, 0.0566763276466304, 0.0566763795199847, 0.0566765740450634, 0.0566765481083862, 0.0566764443616776, 0.0566763924883233, 0.0566764443616776, 0.0566763146782918, 0.0566762887416146, 0.0566763470991382, 0.0566762692891068, 0.0566762433524296, 0.0566762887416146, 0.0566763470991382, 0.0566763470991382, 0.0566764054566618, 0.0566764702983547, 0.0566765934975712]"
0,u*u_xx,0.002325377533890212,1.2434629474954398e-08,0.0023253596748469,0.002325370225061,0.0023253742655686,0.0023253798773846,0.0023254092833005,"[0.0023253798773846, 0.0023253735921506, 0.0023253691026978, 0.002325370225061, 0.0023253994065043, 0.0023253659600809, 0.0023253742655686, 0.0023253596748469, 0.0023253753879318, 0.0023253991820317, 0.0023254092833005, 0.0023253717963695, 0.0023253738166233, 0.0023253798773846, 0.0023253792039667, 0.0023253897541808, 0.0023253623685186, 0.0023253760613497, 0.002325370225061, 0.0023253747145138, 0.0023253713474242, 0.0023253637153544, 0.0023253686537525, 0.0023253890807629, 0.0023253917744346]"
0,u_x^2,-0.0032885712043936167,2.5458557761207778e-08,-0.0032886391570711,-0.0032885762987335,-0.0032885608186952,-0.0032885570659586,-0.0032885469804791,"[-0.0032885856805749, -0.0032885587077808, -0.0032885500295775, -0.0032885605841491, -0.0032886025678895, -0.0032885584732348, -0.0032885584732348, -0.0032885500295775, -0.0032885655096159, -0.0032886391570711, -0.0032886349352424, -0.0032885610532412, -0.0032885608186952, -0.0032885762987335, -0.0032885648059778, -0.0032885624605174, -0.0032885469804791, -0.0032885650405238, -0.0032885558932284, -0.0032885577695967, -0.0032885528441299, -0.0032885570659586, -0.0032885519059458, -0.0032886046788038, -0.0032885983460609]"
0,u_x*u_xx,0.000301768439039448,5.322328053400677e-10,0.000301767303588,0.0003017682129885,0.0003017684403386,0.0003017687326459,0.000301769512132,"[0.0003017692198247, 0.0003017684403386, 0.0003017692847819, 0.000301769512132, 0.0003017679206812, 0.0003017677582882, 0.0003017688300817, 0.0003017683753814, 0.0003017687651245, 0.0003017684728172, 0.0003017686352101, 0.0003017689924746, 0.0003017682129885, 0.0003017686027315, 0.0003017676283739, 0.0003017677258096, 0.0003017684403386, 0.000301767303588, 0.000301767855724, 0.0003017685702529, 0.0003017684403386, 0.0003017683753814, 0.0003017684403386, 0.0003017684403386, 0.0003017687326459]"
0,u_xx^2,1.015180749597853e-05,4.58892662695154e-11,1.0151757574300738e-05,1.0151777812818764e-05,1.0151791305164113e-05,1.015182391166537e-05,1.0151908238823805e-05,"[1.0151801424423123e-05, 1.0151793553888337e-05, 1.0151757574300738e-05, 1.01517721910082e-05, 1.0151904865737464e-05, 1.0151766569197638e-05, 1.0151791305164113e-05, 1.0151777812818764e-05, 1.0151784558991436e-05, 1.0151896995202678e-05, 1.0151908238823805e-05, 1.0151782310267212e-05, 1.0151771066646088e-05, 1.0151812668044246e-05, 1.015182391166537e-05, 1.0151853145080294e-05, 1.0151759823024963e-05, 1.0151789056439884e-05, 1.0151794678250448e-05, 1.0151791305164113e-05, 1.0151799175698898e-05, 1.0151762071749187e-05, 1.0151777812818764e-05, 1.0151866637425644e-05, 1.0151848647631843e-05]"
50,u,-0.4585294115507942,0.0007761773777402823,-0.4586892218969218,-0.4586876056756197,-0.458687484459022,-0.4586871612147616,-0.4548040279144046,"[-0.458687484459022, -0.4586874036479569, -0.4586875652700871, -0.458687484459022, -0.4586556853049038, -0.458684332827483, -0.4586876056756197, -0.4586875652700871, -0.4586873632424244, -0.4586873228368918, -0.4586876864866848, -0.4548040279144046, -0.4586875248645546, -0.4586876056756197, -0.4586876460811522, -0.4586871612147616, -0.4586521700235718, -0.4586873228368918, -0.4586878077032824, -0.4586884541918032, -0.4586892218969218, -0.4586871612147616, -0.4586876056756197, -0.4586870399981639, -0.4586870399981639]"
50,u_x,-0.20667115886950957,1.2260983824421513e-05,-0.2067300007384055,-0.2066687321746496,-0.2066686260818985,-0.2066685907176481,-0.2066685553533978,"[-0.2066685907176481, -0.2066685730355229, -0.2066686260818985, -0.2066687321746496, -0.2066693510490309, -0.2066688559495259, -0.2066685553533978, -0.2066686968103992, -0.2066686083997733, -0.2066686437640237, -0.2066685553533978, -0.2067300007384055, -0.2066686260818985, -0.2066687675388999, -0.2066686437640237, -0.2066685553533978, -0.2066695278702828, -0.2066685907176481, -0.2066686083997733, -0.2066686083997733, -0.2066685907176481, -0.2066687144925244, -0.2066685907176481, -0.2066687852210251, -0.2066685730355229]"
50,u_xx,-0.000775079337052256,5.581187384329442e-06,-0.0007762330009897,-0.0007762209795828,-0.0007762194840968,-0.0007762185637977,-0.0007482920302547,"[-0.0007762210371015, -0.0007762202893585, -0.000776219254022, -0.0007762199442463, -0.000775970485673, -0.000776189229264, -0.0007762212671763, -0.0007762209795828, -0.0007762202318398, -0.0007762188513911, -0.0007761822695021, -0.0007482920302547, -0.000776221497251, -0.0007762197141715, -0.0007762194840968, -0.0007762191965033, -0.0007759317180736, -0.0007762187938724, -0.0007762221299567, -0.0007762262137839, -0.0007762330009897, -0.0007762185637977, -0.0007762208645454, -0.0007762172983864, -0.0007762190814659]"
50,u^2,-0.47784043286793415,0.007150963627550396,-0.4793080432613749,-0.4792953888030284,-0.4792944575225441,-0.4792922662743455,-0.4435177838416919,"[-0.4792952244594136, -0.4792944575225441, -0.4792953888030284, -0.4792944575225441, -0.4790298643025728, -0.4792523855571325, -0.4792956627090532, -0.4792953888030284, -0.4792937453668796, -0.4792932523360349, -0.4792938549292895, -0.4435177838416919, -0.4792958270526682, -0.4792951696782086, -0.4792958270526682, -0.4792928688676002, -0.4790064727280536, -0.479293142773625, -0.4792972513639972, -0.4793046468266672, -0.4793080432613749, -0.4792922662743455, -0.4792952244594136, -0.4792905680569917, -0.4792920471495257]"
50,u*u_x,-0.1370031110443272,0.00046458986234581895,-0.1370976333605061,-0.1370970100584647,-0.1370969261524207,-0.1370967583403327,-0.134773124289975,"[-0.1370969381389984, -0.1370969381389984, -0.137097081977931, -0.1370969261524207, -0.1370860663130083, -0.1370950322731413, -0.1370969860853093, -0.1370970100584647, -0.1370969021792653, -0.1370968782061098, -0.1370968901926876, -0.134773124289975, -0.1370969740987316, -0.1370970220450424, -0.1370971059510865, -0.137096830259799, -0.1370867375613605, -0.1370968662195321, -0.1370971059510865, -0.1370975974007729, -0.1370976333605061, -0.1370967583403327, -0.1370969501255761, -0.1370967223805995, -0.1370966984074441]"
50,u*u_xx,-0.0036071742620859513,0.00011703161131620219,-0.0036312670928677,-0.0036310602820446,-0.0036310437496561,-0.0036310269053356,-0.0030454693539375,"[-0.0036310743189783, -0.0036310537314756, -0.0036310434377242, -0.0036310456212472, -0.0036259408563618, -0.0036303259944467, -0.0036310718235235, -0.0036310599701128, -0.0036310493644296, -0.0036310247218126, -0.0036310459331791, -0.0030454693539375, -0.0036310811814793, -0.0036310437496561, -0.0036310434377242, -0.0036310387587463, -0.0036252680193402, -0.0036310312723817, -0.0036310836769341, -0.0036311813116062, -0.0036312670928677, -0.0036310278411312, -0.0036310602820446, -0.0036309978956727, -0.0036310269053356]"
50,u_x^2,-0.00982150145422684,8.687115325781406e-05,-0.0102384462997323,-0.009803787820642,-0.0098037714283819,-0.0098037583145739,-0.0098035911135213,"[-0.0098037543804315, -0.0098037714283819, -0.0098037714283819, -0.0098037674942395, -0.0098076314777805, -0.0098043569599112, -0.0098037524133603, -0.0098037589702643, -0.0098037792966668, -0.0098037858535708, -0.0098037740511436, -0.0102384462997323, -0.0098037465121467, -0.0098037668385491, -0.0098037648714779, -0.009803787820642, -0.0098082032398113, -0.0098037858535708, -0.0098037347097194, -0.0098036560268711, -0.0098035911135213, -0.0098037884763324, -0.0098037583145739, -0.0098038186380909, -0.0098037838864996]"
50,u_x*u_xx,-0.000517004198407184,1.131038298219576e-05,-0.0005193300303993,-0.0005193118409072,-0.0005193103734623,-0.000519309213157,-0.0004627187684949,"[-0.0005193137519983, -0.0005193116361475, -0.0005193096568031, -0.0005193103734623, -0.0005188256729827, -0.0005192459082644, -0.0005193130012125, -0.0005193116702741, -0.0005193116020208, -0.0005193084964978, -0.0005193109536149, -0.0004627187684949, -0.0005193141615178, -0.0005193097250564, -0.000519309213157, -0.000519310851235, -0.0005187572149695, -0.0005193095885499, -0.0005193134448587, -0.0005193212939828, -0.0005193300303993, -0.0005193095544232, -0.0005193118409072, -0.0005193070631795, -0.00051930948617]"
50,u_xx^2,-6.809702528089516e-06,3.2954942860943356e-07,-6.877675852123423e-06,-6.877075946084029e-06,-6.877028433170473e-06,-6.876994241634548e-06,-5.228020832743735e-06,"[-6.87712923159456e-06, -6.8770617366145545e-06, -6.877009339195866e-06, -6.87703154149192e-06, -6.861496594942542e-06, -6.874909446035025e-06, -6.8771114697577165e-06, -6.877071505624818e-06, -6.877056408063501e-06, -6.876968486971125e-06, -6.877040422410342e-06, -5.228020832743735e-06, -6.877146993431404e-06, -6.877013335609155e-06, -6.877002678507049e-06, -6.877028433170473e-06, -6.859284802209587e-06, -6.876996461864154e-06, -6.877135448237455e-06, -6.877399211514584e-06, -6.877675852123423e-06, -6.876994241634548e-06, -6.877075946084029e-06, -6.876907652679936e-06, -6.876995129726391e-06]"
200,u,0.006523266208723785,7.589273330596704e-05,0.0062930364959648,0.0065188125678531,0.0065188328750583,0.0065188520540855,0.0068129122317535,"[0.0065188176446544, 0.0065188232855447, 0.0065188424645719, 0.006545422339868, 0.0068129122317535, 0.0065149547629475, 0.0065188464131951, 0.0065188576949758, 0.0065188379518596, 0.0065188255419009, 0.0065188261059899, 0.0062930364959648, 0.0065188328750583, 0.0065417557611451, 0.0065188706690236, 0.0065186912887107, 0.0065159368419562, 0.0065188340032364, 0.0065188340032364, 0.0065197342893351, 0.0065178665905426, 0.006518811439675, 0.0065188199010105, 0.0065188520540855, 0.0065188125678531]"
200,u_x,-0.16497384211255944,4.190968166629595e-06,-0.164992953882409,-0.1649729226663796,-0.1649728781195686,-0.1649728335727576,-0.164970918059883,"[-0.1649728335727576, -0.1649728632706316, -0.1649728781195686, -0.1649788176943734, -0.1649740808834666, -0.1649723435578362, -0.1649729226663796, -0.1649728781195686, -0.1649728632706316, -0.1649727890259465, -0.1649727890259465, -0.164992953882409, -0.1649728335727576, -0.164970918059883, -0.1649728781195686, -0.1649728929685056, -0.1649730711557498, -0.1649728484216946, -0.1649728929685056, -0.1649731454004348, -0.1649720168812219, -0.1649728929685056, -0.1649729078174426, -0.1649729375153167, -0.1649728038748835]"
200,u_xx,0.001330154767246112,3.773064238836464e-07,0.0013284658105151,0.0013302125973865,0.0013302128678568,0.0013302130481703,0.0013307726510663,"[0.0013302130481703, 0.0013302128678568, 0.0013302127777, 0.0013307726510663, 0.0013299143588848, 0.0013302314401456, 0.0013302127777, 0.0013302125973865, 0.0013302129580135, 0.0013302129580135, 0.0013302130481703, 0.0013284658105151, 0.0013302127777, 0.0013303729862301, 0.0013302125973865, 0.001330213138327, 0.0013301902385146, 0.0013302123269163, 0.0013302129580135, 0.0013302305385781, 0.0013300730347503, 0.0013302126875433, 0.0013302128678568, 0.0013302128678568, 0.0013302128678568]"
200,u^2,0.02470589086471739,0.0015787659886352607,0.018211434013824,0.0247421100290891,0.0247424407567766,0.0247425582881036,0.0285355046723021,"[0.024742178361256, 0.0247421892944027, 0.0247425090889435, 0.0262760469100216, 0.0285355046723021, 0.0247199184745863, 0.0247425008890834, 0.0247421810945426, 0.0247425528215302, 0.0247425582881036, 0.0247421100290891, 0.018211434013824, 0.0247423888243298, 0.0253614837224688, 0.0247427933507575, 0.0247405848551253, 0.0246525511579426, 0.0247423778911831, 0.0247427605513174, 0.0247864084062078, 0.0244848038882118, 0.0247425118222301, 0.0247424762895034, 0.0247424407567766, 0.0247420061641955]"
200,u*u_x,-0.015738852247376173,0.00016849398783410531,-0.0162577414524069,-0.0157413459563978,-0.0157413245961391,-0.0157412560184664,-0.0151004538789654,"[-0.0157412740060527, -0.0157412560184664, -0.0157412964905355, -0.0157439372930438, -0.0162577414524069, -0.01573808907906, -0.0157413335899322, -0.0157413245961391, -0.0157413605713116, -0.0157413515775185, -0.0157413425837253, -0.0151004538789654, -0.0157413290930356, -0.0158041563591801, -0.0157413290930356, -0.0157410930059659, -0.0157334269215454, -0.0157413459563978, -0.0157413290930356, -0.0157406894094992, -0.0157507354764271, -0.0157412987389838, -0.0157412459004492, -0.0157412773787251, -0.0157412886209665]"
200,u*u_xx,0.0006631666250863241,1.614376369592074e-05,0.0005978867836519,0.0006635443197938,0.0006635468863075,0.0006635493982145,0.0007058570112299,"[0.0006635447566472, 0.0006635443197938, 0.0006635468863075, 0.0006741581098561, 0.0007058570112299, 0.0006633814280845, 0.0006635484152943, 0.0006635452481072, 0.0006635499442812, 0.0006635491797878, 0.0006635452481072, 0.0005978867836519, 0.0006635478146209, 0.0006697771802003, 0.0006635493982145, 0.0006635292483517, 0.0006626448386554, 0.0006635485791144, 0.0006635495620345, 0.0006638207933855, 0.0006613572132764, 0.0006635480876543, 0.0006635459033873, 0.0006635463402407, 0.0006635433368736]"
200,u_x^2,-0.011191011251500073,3.471213207804933e-05,-0.011335207996408,-0.0111877116178002,-0.0111877042193524,-0.0111876940464868,-0.0111030336091948,"[-0.011187689422457, -0.0111876958960988, -0.0111877042193524, -0.0112010917105069, -0.011335207996408, -0.0111851508300821, -0.0111877042193524, -0.0111877116178002, -0.0111876949712928, -0.0111876968209047, -0.0111876940464868, -0.0111030336091948, -0.0111877005201286, -0.0111964658310682, -0.01118771624183, -0.0111876552046363, -0.0111865130692691, -0.0111877116178002, -0.0111877032945465, -0.0111881379533502, -0.0111887927159737, -0.0111877060689644, -0.0111877051441584, -0.0111877088433823, -0.011187689422457]"
200,u_x*u_xx,0.0006453045202710681,1.2311023169227491e-06,0.0006394526268509,0.0006455127909363,0.0006455130155382,0.0006455133299809,0.0006460947794314,"[0.0006455131502993, 0.0006455131952197, 0.0006455130155382, 0.0006460947794314, 0.0006394526268509, 0.0006456187132017, 0.0006455127909363, 0.0006455122069713, 0.0006455133299809, 0.000645512880777, 0.0006455130155382, 0.0006460449178052, 0.0006455128358567, 0.0006454193116172, 0.0006455123866528, 0.0006455140936274, 0.0006455222691373, 0.000645512521414, 0.0006455132401401, 0.0006455294563987, 0.0006452105665927, 0.000645512880777, 0.0006455131502993, 0.0006455128358567, 0.0006455128358567]"
200,u_xx^2,-8.940161553086248e-06,8.461778847598676e-08,-9.128497943856578e-06,-8.94918007417447e-06,-8.949164800823358e-06,-8.949138072458913e-06,-8.573503638784053e-06,"[-8.9491849834659e-06, -8.94918007417447e-06, -8.949164800823358e-06, -8.93619336191481e-06, -8.573503638784053e-06, -8.95492612705347e-06, -8.949157164147802e-06, -8.949138072458913e-06, -8.94917898322082e-06, -8.949165891777009e-06, -8.94918007417447e-06, -9.128497943856578e-06, -8.94916098248558e-06, -8.930320758412311e-06, -8.949131526737008e-06, -8.949262986651934e-06, -8.951810363426657e-06, -8.949139163412563e-06, -8.949169710114787e-06, -8.94876769369445e-06, -8.944150777844074e-06, -8.94915389128685e-06, -8.94916698273066e-06, -8.949153345810024e-06, -8.949179528697645e-06]"
500,u,0.010501253695840368,1.6283087869315532e-05,0.0104868326446703,0.0104894493047615,0.0104942828743572,0.0105046300770469,0.0105413778809927,"[0.0105073552060474, 0.010491434651426, 0.0104886181160413, 0.0105315839916153, 0.0105413778809927, 0.0104868326446703, 0.0104919136208791, 0.0104887424287238, 0.0104889703353084, 0.0105017526040728, 0.0104984790367672, 0.0105409476616111, 0.0104890008041031, 0.0105238022614417, 0.0104894493047615, 0.0104942828743572, 0.0105046300770469, 0.01048955046116, 0.0104886254285521, 0.0105016685101993, 0.0105071151119449, 0.0104915784641371, 0.0104932444978329, 0.0104985960369389, 0.0105017903853782]"
