epoch,lambda_data,lambda_pde,lambda_ratio,data_loss,pde_loss,weighted_data_loss,weighted_pde_loss,total_loss,g_data_norm,g_pde_norm,weighted_g_data_norm,weighted_g_pde_norm,weighted_pde_over_data,gradient_cosine,g_total_norm,cancellation_ratio,data_dot_total,pde_dot_total,coefficient_error,spurious_l2,expression,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,0.1,0.1,1.0,2.171844720840454,76.15038299560547,0.21718446910381317,7.6150383949279785,7.832222938537598,30.809978485107422,1236.766845703125,3.080997943878174,123.67666625976562,40.14175553265346,0.5646260976791382,125.44206237792969,0.989621102809906,224.64210510253906,15511.091796875,0.9643839326242981,0.20520964110464157,u_t_hat = (+0.081605)*u + (-0.166502)*u_x + (+0.006269)*u_xx + (-0.087418)*u^2 + (-0.057802)*u*u_x + (+0.002831)*u*u_xx + (-0.008820)*u_x^2 + (+0.000942)*u_x*u_xx + (-0.000023)*u_xx^2,0.08160524391482188,-0.16650236372411895,0.006268531708896735,-0.08741765588225901,-0.057802133583300205,0.002830534892221806,-0.008820273026813711,0.0009421325894529834,-2.2899140895299556e-05
50,0.1,0.1,1.0,0.7760210037231445,3.6231672763824463,0.07760210335254669,0.36231672763824463,0.4399188160896301,8.795002937316895,58.2202262878418,0.8795000910758972,5.822022914886475,6.619695636147533,-0.11204113811254501,5.789824962615967,0.86395663022995,0.1998174637556076,33.32227325439453,0.9707105723069231,0.2133334263190966,u_t_hat = (+0.093030)*u + (-0.173982)*u_x + (+0.005883)*u_xx + (-0.080714)*u^2 + (-0.053127)*u*u_x + (+0.002587)*u*u_xx + (-0.008037)*u_x^2 + (+0.000858)*u_x*u_xx + (-0.000021)*u_xx^2,0.09303026166333782,-0.17398195198403446,0.005883343817076839,-0.0807141527666169,-0.05312694387177639,0.0025868621460313304,-0.008037354820842299,0.0008577701361222161,-2.0712401123803994e-05
200,0.1,0.1,1.0,0.44642454385757446,0.4414510130882263,0.044642455875873566,0.04414510354399681,0.08878755569458008,5.7023024559021,13.409584999084473,0.5702306628227234,1.340958833694458,2.351607728452412,-0.18717990815639496,1.355387568473816,0.7091853022575378,0.18203485012054443,1.6550425291061401,0.9727138507010615,0.2187870836819646,u_t_hat = (+0.101234)*u + (-0.176661)*u_x + (+0.005313)*u_xx + (-0.079629)*u^2 + (-0.052325)*u*u_x + (+0.002541)*u*u_xx + (-0.007902)*u_x^2 + (+0.000841)*u_x*u_xx + (-0.000020)*u_xx^2,0.1012343178525538,-0.17666090505317825,0.00531255518522072,-0.07962863185838018,-0.052324566993297565,0.002541007159976354,-0.00790200279933398,0.0008412569075767729,-2.0256586545436418e-05
500,0.1,0.1,1.0,0.12534596025943756,0.11490507423877716,0.012534596025943756,0.01149050798267126,0.02402510493993759,3.3557686805725098,7.9437575340271,0.33557695150375366,0.7943758368492126,2.367194270314262,-0.4337320625782013,0.7158222794532776,0.6334975361824036,-0.0030098264105618,0.5154116749763489,0.9725298767039887,0.2148089660245762,u_t_hat = (+0.099629)*u + (-0.173392)*u_x + (+0.004655)*u_xx + (-0.077998)*u^2 + (-0.051614)*u*u_x + (+0.002493)*u*u_xx + (-0.007845)*u_x^2 + (+0.000831)*u_x*u_xx + (-0.000020)*u_xx^2,0.09962911325902005,-0.17339214254619603,0.004654622909875457,-0.07799771207538746,-0.051614008644534144,0.002493223668503063,-0.007845135211158712,0.0008311334730790602,-1.9910320539647052e-05
1000,0.1,0.1,1.0,0.04133467376232147,0.033756304532289505,0.004133467562496662,0.0033756305929273367,0.0075090983882546425,1.9783262014389038,5.918325424194336,0.19783252477645874,0.5918326377868652,2.9915841111344443,-0.4167822301387787,0.5401913523674011,0.6840764880180359,-0.00966067798435688,0.301467627286911,0.968417826903911,0.18929299062139873,u_t_hat = (+0.033332)*u + (-0.170337)*u_x + (+0.004140)*u_xx + (-0.075098)*u^2 + (-0.050395)*u*u_x + (+0.002413)*u*u_xx + (-0.007751)*u_x^2 + (+0.000815)*u_x*u_xx + (-0.000019)*u_xx^2,0.03333249500115076,-0.17033658110194064,0.004140407578438139,-0.07509767387491649,-0.05039496394810424,0.0024133847421237294,-0.007751122610485775,0.0008154074563779411,-1.9378175313398872e-05
