lambda_pde,epoch,data_loss,pde_loss,total_loss,coeff_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,data_grad,pde_grad,weighted_pde_grad,grad_ratio,grad_cos,symnet_pde_grad,symnet_data_grad,surrogate_update_rel,symnet_update_rel,lambda_data,lambda_ratio,weighted_data_loss,weighted_pde_loss,g_data_norm,g_pde_norm,weighted_g_data_norm,weighted_g_pde_norm,weighted_pde_over_data,gradient_cosine,g_total_norm,cancellation_ratio,data_dot_total,pde_dot_total,coefficient_error,expression
0.001,0,2.171844959259033,76.15037536621094,2.247995376586914,0.9643839296883524,0.2052096272667628,0.0816052091172217,-0.1665023637241189,0.0062685311053838,-0.087417655882259,-0.0578021335833002,0.0028305348922218,-0.0088202730268137,0.0009421325894529,-2.289914089529956e-05,30.809986042383507,1236.7681538288143,1.2367681538288149,0.0401417953298474,0.5646257718891676,32.1316663897992,0.0,,,1.0,0.001,2.171844959259033,0.07615037536621094,30.809986042383507,1236.7681538288143,30.809986042383507,1.2367681538288144,0.04014179532984742,0.5646257718891676,31.524827523968476,0.9837135870594492,970.7701974407508,23.0445529752095,0.9643839296883524,u_t_hat = (+0.081605)*u + (-0.166502)*u_x + (+0.006269)*u_xx + (-0.087418)*u^2 + (-0.057802)*u*u_x + (+0.002831)*u*u_xx + (-0.008820)*u_x^2 + (+0.000942)*u_x*u_xx + (-0.000023)*u_xx^2
0.001,1,1.9487210512161253,69.69759368896484,2.018418550491333,0.9646546067623843,0.2054679825207642,0.0821890171536161,-0.1667091433650813,0.0062584059692506,-0.0870868451668522,-0.0575815223053871,0.0028195682903404,-0.008784589016643,0.0009384711433676,-2.280830948669279e-05,,,,,,,,,,1.0,0.001,1.9487210512161253,0.06969759368896485,,,,,,,,,,,0.9646546067623843,u_t_hat = (+0.082189)*u + (-0.166709)*u_x + (+0.006258)*u_xx + (-0.087087)*u^2 + (-0.057582)*u*u_x + (+0.002820)*u*u_xx + (-0.008785)*u_x^2 + (+0.000938)*u_x*u_xx + (-0.000023)*u_xx^2
0.001,2,1.8264528512954712,63.32566833496094,1.8897784948349,0.964920731406192,0.2057159246722359,0.0827714767830064,-0.1668992347045677,0.006248297127966,-0.0867597622680922,-0.0573633431157969,0.0028087121454698,-0.0087492904868071,0.0009348460128571,-2.2718287749723705e-05,,,,,,,,,,1.0,0.001,1.8264528512954712,0.06332566833496094,,,,,,,,,,,0.964920731406192,u_t_hat = (+0.082771)*u + (-0.166899)*u_x + (+0.006248)*u_xx + (-0.086760)*u^2 + (-0.057363)*u*u_x + (+0.002809)*u*u_xx + (-0.008749)*u_x^2 + (+0.000935)*u_x*u_xx + (-0.000023)*u_xx^2
0.001,3,1.5557812452316284,59.91682434082031,1.6156980991363523,0.9651793147232184,0.2059601356146168,0.0833355458807401,-0.1670857147646358,0.0062383168349318,-0.086443497147885,-0.0571521076103238,0.0027981294125303,-0.0087150789477998,0.0009313088633787,-2.262985021933627e-05,,,,,,,,,,1.0,0.001,1.5557812452316284,0.05991682434082032,,,,,,,,,,,0.9651793147232184,u_t_hat = (+0.083336)*u + (-0.167086)*u_x + (+0.006238)*u_xx + (-0.086443)*u^2 + (-0.057152)*u*u_x + (+0.002798)*u*u_xx + (-0.008715)*u_x^2 + (+0.000931)*u_x*u_xx + (-0.000023)*u_xx^2
0.001,4,1.4375548362731934,53.88329315185547,1.4914381504058838,0.9654338533877668,0.2062006652075074,0.0838849564894288,-0.1672689040001143,0.0062286340737635,-0.0861344641951235,-0.056944243209523,0.0027877633655928,-0.0086812012793634,0.0009278204466564,-2.2543027449177192e-05,,,,,,,,,,1.0,0.001,1.4375548362731934,0.05388329315185547,,,,,,,,,,,0.9654338533877668,u_t_hat = (+0.083885)*u + (-0.167269)*u_x + (+0.006229)*u_xx + (-0.086134)*u^2 + (-0.056944)*u*u_x + (+0.002788)*u*u_xx + (-0.008681)*u_x^2 + (+0.000928)*u_x*u_xx + (-0.000023)*u_xx^2
0.001,5,1.2720316648483276,49.93643569946289,1.3219680786132812,0.965675300569046,0.2064189018695283,0.0844056416792291,-0.1674303516079683,0.0062189380353111,-0.0858379656449293,-0.0567449414865453,0.0027777154771267,-0.0086487521182176,0.0009244432229831,-2.245806692378478e-05,,,,,,,,,,1.0,0.001,1.2720316648483276,0.04993643569946289,,,,,,,,,,,0.965675300569046,u_t_hat = (+0.084406)*u + (-0.167430)*u_x + (+0.006219)*u_xx + (-0.085838)*u^2 + (-0.056745)*u*u_x + (+0.002778)*u*u_xx + (-0.008649)*u_x^2 + (+0.000924)*u_x*u_xx + (-0.000022)*u_xx^2
0.001,6,1.1563440561294556,47.80327224731445,1.2041473388671875,0.9659023471317512,0.2065966823812541,0.0849077623493725,-0.1675441870233542,0.0062097097193659,-0.0855513910098958,-0.0565515472917127,0.0027679769387578,-0.0086171471908629,0.0009211579738072,-2.237550638734104e-05,,,,,,,,,,1.0,0.001,1.1563440561294556,0.047803272247314454,,,,,,,,,,,0.9659023471317512,u_t_hat = (+0.084908)*u + (-0.167544)*u_x + (+0.006210)*u_xx + (-0.085551)*u^2 + (-0.056552)*u*u_x + (+0.002768)*u*u_xx + (-0.008617)*u_x^2 + (+0.000921)*u_x*u_xx + (-0.000022)*u_xx^2
0.001,7,1.0223759412765503,42.79332733154297,1.0651692152023315,0.9661271122238214,0.2068000387948967,0.0854211487425504,-0.1676758200069316,0.006200293107392,-0.0852767006949625,-0.0563661149481501,0.0027585965488784,-0.0085868522594892,0.0009179939637414,-2.2295637627172e-05,,,,,,,,,,1.0,0.001,1.0223759412765503,0.04279332733154297,,,,,,,,,,,0.9661271122238214,u_t_hat = (+0.085421)*u + (-0.167676)*u_x + (+0.006200)*u_xx + (-0.085277)*u^2 + (-0.056366)*u*u_x + (+0.002759)*u*u_xx + (-0.008587)*u_x^2 + (+0.000918)*u_x*u_xx + (-0.000022)*u_xx^2
0.001,8,0.9449200630187988,40.542274475097656,0.9854623079299928,0.9663462382686956,0.2070019773139767,0.0859315686403192,-0.1678003906590868,0.0061908300249238,-0.085011695593034,-0.0561861727921329,0.0027494848144082,-0.0085573021653244,0.0009149039575792,-2.2217571532158555e-05,,,,,,,,,,1.0,0.001,0.9449200630187988,0.04054227447509766,,,,,,,,,,,0.9663462382686956,u_t_hat = (+0.085932)*u + (-0.167800)*u_x + (+0.006191)*u_xx + (-0.085012)*u^2 + (-0.056186)*u*u_x + (+0.002749)*u*u_xx + (-0.008557)*u_x^2 + (+0.000915)*u_x*u_xx + (-0.000022)*u_xx^2
0.001,9,0.8828080296516418,35.72148132324219,0.9185295104980468,0.9665583157683052,0.2072083504389986,0.0864392047300795,-0.1679241724993554,0.0061813615108394,-0.0847581634308947,-0.0560144479286148,0.0027407026892955,-0.0085291754811895,0.0009119340049671,-2.214184431880037e-05,,,,,,,,,,1.0,0.001,0.8828080296516418,0.03572148132324219,,,,,,,,,,,0.9665583157683052,u_t_hat = (+0.086439)*u + (-0.167924)*u_x + (+0.006181)*u_xx + (-0.084758)*u^2 + (-0.056014)*u*u_x + (+0.002741)*u*u_xx + (-0.008529)*u_x^2 + (+0.000912)*u_x*u_xx + (-0.000022)*u_xx^2
