lambda_pde,epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse
0.01,0,2.1669421195983887,70.51128606865896,16181.684124210296,78.11902162344302
0.01,50,0.1189537197351455,13.734226313034345,7592.459836420007,10.072766606893143
0.01,200,0.0070696645416319,3.3149260157585,3589.3086850693585,1.3592326275935716
0.01,500,0.0031242377590388,1.476930087287962,2301.358112462743,0.4864401007991569
0.01,1000,0.0023411640431731,0.8986398928723199,1750.4080681765397,0.29710795254894
