epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse
0,2.1669418811798096,70.51128070858503,16181.683780215653,78.11902169372291
50,0.7846480011940002,18.54429461686147,7129.127402000214,5.295962167776176
200,0.44189125299453735,9.202997995430144,4428.9549928108945,1.4569168045854366
500,0.12284917384386063,5.974083681135022,3516.8354921991145,1.0434422871172218
1000,0.04170410335063934,3.9900355222246278,2898.9011833120244,0.9325678092514016
