feature,raw RMS,scale s_j,model coefficient scale,scaled RMS,learned scaled coefficient beta,recovered physical coefficient xi,Burgers truth
u,0.8564482931259397,0.8564482931259397,0.8564482931259397,0.9999999999999567,-0.0208622757345438,-0.024359060438311864,0.0
u_x,2.4180173025924643,2.4180173025924643,2.4180173025924643,0.9999999999999805,0.07277640700340271,0.03009755427530476,0.0
u_xx,49.38278444685528,49.38278444685528,49.38278444685528,0.9999999999999868,0.5029647946357727,0.010185022984620337,0.02
u^2,0.9075268244643554,0.9075268244643554,0.7335036787983356,0.9999999999999976,-0.006819731090217829,-0.009297473601482507,0.0
u*u_x,1.4479737951987626,1.4479737951987626,2.070906791554305,1.0000000000000027,-1.8526314496994019,-0.8945991472213589,-1.0
u*u_xx,41.44839114098817,41.44839114098817,42.29380144931541,0.9999999999999991,-0.14759865403175354,-0.0034898412763542837,0.0
u_x^2,46.65503777745443,46.65503777745443,5.846807675636537,1.0000000000000002,0.002057560719549656,0.000351911818157359,0.0
u_x*u_xx,745.5483804227632,745.5483804227632,119.40842724269011,1.0000000000000013,-0.07259795069694519,-0.0006079801264729367,0.0
u_xx^2,23360.90060451092,23360.90060451092,2438.659399724572,0.9999999999999978,-0.005786352325230837,-2.372759527584853e-06,0.0
