epoch,pde_mse,coeff_u,coeff_u_x,coeff_u_xx,coeff_u^2,coeff_u*u_x,coeff_u*u_xx,coeff_u_x^2,coeff_u_x*u_xx,coeff_u_xx^2
0,1.7920910120010376,-0.011439144611358643,0.45777493715286255,-0.05123639851808548,0.0004859912151005119,-0.03456776216626167,0.05324916914105415,-0.018224183470010757,0.040648963302373886,-0.019467158243060112
1,1.6930700540542603,-0.021439144387841225,0.4477749466896057,-0.04123640060424805,0.001512991264462471,-0.030886752530932426,0.048612844198942184,-0.016206176951527596,0.03620488941669464,-0.017152860760688782
2,1.60623300075531,-0.0313992016017437,0.43779098987579346,-0.03130792826414108,0.002044491469860077,-0.02769148349761963,0.04442884773015976,-0.014352517202496529,0.0321110300719738,-0.01502339355647564
3,1.5303921699523926,-0.04128650575876236,0.4278333783149719,-0.021511483937501907,0.00186948012560606,-0.02507023513317108,0.04074803367257118,-0.0126614635810256,0.0283647533506155,-0.013077138923108578
4,1.4644123315811157,-0.05106306076049805,0.41791191697120667,-0.011918106116354465,0.0013515566242858768,-0.0228229071944952,0.03742855787277222,-0.011129157617688179,0.024958811700344086,-0.011309951543807983
5,1.407224416732788,-0.06068498641252518,0.4080358147621155,-0.0026100175455212593,0.0007302754675038159,-0.02082112431526184,0.034382957965135574,-0.009749799966812134,0.021881766617298126,-0.009715484455227852
6,1.35780668258667,-0.07010207325220108,0.3982136845588684,0.006319680251181126,0.00010005140211433172,-0.01901114173233509,0.03157484903931618,-0.008515910245478153,0.01911855861544609,-0.008285537362098694
7,1.3151944875717163,-0.07925769686698914,0.3884534537792206,0.014768636785447598,-0.0004999866941943765,-0.017366115003824234,0.02898510918021202,-0.0074186730198562145,0.0166512131690979,-0.007010436151176691
8,1.2784866094589233,-0.08808916062116623,0.3787623345851898,0.02262859046459198,-0.0010528410784900188,-0.01586904749274254,0.026600109413266182,-0.006448310799896717,0.01445961557328701,-0.005879439413547516
9,1.246853232383728,-0.09652867913246155,0.36914682388305664,0.029790548607707024,-0.0015517028514295816,-0.014506972394883633,0.024407895281910896,-0.005594461690634489,0.012522290460765362,-0.004881149623543024
10,1.2195388078689575,-0.10450514405965805,0.35961270332336426,0.03615156561136246,-0.0019950035493820906,-0.013268791139125824,0.022396892309188843,-0.004846535157412291,0.010817141272127628,-0.004003882873803377
11,1.1958657503128052,-0.111946702003479,0.3501650094985962,0.041622281074523926,-0.002384066116064787,-0.012144424021244049,0.020555568858981133,-0.004194014705717564,0.009322091937065125,-0.0032360018230974674
12,1.1752333641052246,-0.1187841072678566,0.3408082127571106,0.046133965253829956,-0.002721855416893959,-0.011124486103653908,0.018872419372200966,-0.003626712365075946,0.008015626110136509,-0.0025661836843937635
13,1.1571190357208252,-0.12495459616184235,0.3315460979938507,0.049643632024526596,-0.003012251341715455,-0.010200186632573605,0.017336087301373482,-0.003134964732453227,0.0068772053346037865,-0.0019836248829960823
14,1.1410757303237915,-0.13040578365325928,0.32238197326660156,0.05213627964258194,-0.0032596017699688673,-0.009363287128508091,0.01593550480902195,-0.002709759399294853,0.005887552630156279,-0.0014781859936192632
15,1.1267281770706177,-0.1350991129875183,0.3133186101913452,0.05362395569682121,-0.003468433627858758,-0.008606106974184513,0.014660012908279896,-0.002342821564525366,0.005028849933296442,-0.001040482078678906
16,1.113767385482788,-0.13901227712631226,0.30435842275619507,0.0541423037648201,-0.003643264528363943,-0.00792151503264904,0.013499462977051735,-0.002026648260653019,0.004284828435629606,-0.0006619280902668834
17,1.1019443273544312,-0.14214040338993073,0.2955033779144287,0.05374560505151749,-0.003788476809859276,-0.007302928250283003,0.01244426891207695,-0.0017545112641528249,0.0036407923325896263,-0.0003347464953549206
18,1.091062307357788,-0.14449582993984222,0.28675517439842224,0.05250144749879837,-0.003908239770680666,-0.006744293961673975,0.011485448107123375,-0.001520432997494936,0.003083586459979415,-5.1950457418570295e-05
19,1.0809683799743652,-0.14610670506954193,0.27811524271965027,0.050485800951719284,-0.004006458446383476,-0.006240063346922398,0.010614631697535515,-0.001319145318120718,0.00260152411647141,0.00019269411859568208
20,1.0715465545654297,-0.14701487123966217,0.2695848047733307,0.047779008746147156,-0.004086747299879789,-0.005785166285932064,0.009824052453041077,-0.0011460352689027786,0.00218428997322917,0.0004047176626045257
21,1.0627096891403198,-0.14727328717708588,0.2611648738384247,0.044462814927101135,-0.004152418114244938,-0.0053749787621200085,0.0091065289452672,-0.0009970867540687323,0.0018228268017992377,0.000589003146160394
22,1.054394245147705,-0.14694340527057648,0.2528563439846039,0.040618326514959335,-0.004206478130072355,-0.005005290266126394,0.008455442264676094,-0.0008688198868185282,0.00150921824388206,0.0007498454069718719
23,1.046553373336792,-0.14609281718730927,0.24465999007225037,0.03632475063204765,-0.004251639824360609,-0.004672272130846977,0.007864697836339474,-0.0007582304533571005,0.0012365696020424366,0.0008910103351809084
24,1.0391528606414795,-0.14479315280914307,0.23657649755477905,0.031658682972192764,-0.004290329292416573,-0.004372444935142994,0.007328692823648453,-0.0006627332186326385,0.0009988938691094518,0.0010157921351492405
25,1.0321677923202515,-0.14311839640140533,0.22860649228096008,0.026693742722272873,-0.004324706271290779,-0.004102650098502636,0.006842285860329866,-0.000580109131988138,0.000791003811173141,0.0011270669056102633
26,1.025578498840332,-0.14114342629909515,0.22075055539608002,0.0215004775673151,-0.004356681369245052,-0.0038600212428718805,0.006400763522833586,-0.0005084570730105042,0.0006084130727685988,0.001227342989295721
27,1.0193685293197632,-0.1389428973197937,0.21300922334194183,0.016146335750818253,-0.004387933295220137,-0.003641959512606263,0.005999801214784384,-0.00044615042861551046,0.00044724615872837603,0.0013188058510422707
28,1.0135226249694824,-0.13659019768238068,0.2053830325603485,0.010695675387978554,-0.0044199321419000626,-0.0034461079631000757,0.005635443143546581,-0.0003917989379260689,0.0003041571762878448,0.0014033593470230699
29,1.008025884628296,-0.1341564655303955,0.19787250459194183,0.005209756083786488,-0.004453958477824926,-0.0032703340984880924,0.005304062273353338,-0.0003442149027250707,0.00017625834152568132,0.0014826623955741525
30,1.0028624534606934,-0.13170969486236572,0.1904781609773636,-0.0002533341757953167,-0.004491121973842382,-0.003112704260274768,0.005002344958484173,-0.00030238364706747234,6.105689681135118e-05,0.0015581619227305055
31,0.9980147480964661,-0.12931375205516815,0.18320052325725555,-0.005638828035444021,-0.0045323800295591354,-0.0029714698903262615,0.004727257415652275,-0.0002654380805324763,-4.36011359852273e-05,0.0016311205690726638
32,0.9934640526771545,-0.1270274966955185,0.17604012787342072,-0.010895494371652603,-0.004578557331115007,-0.0028450493700802326,0.004476025700569153,-0.0002326367684872821,-0.0001395785075146705,0.0017026435816660523
33,0.9891900420188904,-0.12490379065275192,0.16899752616882324,-0.015975937247276306,-0.0046303607523441315,-0.0027320124208927155,0.00424611521884799,-0.00020334494183771312,-0.0002284891379531473,0.0017736995359882712
34,0.9851712584495544,-0.12298861891031265,0.1620732545852661,-0.02083694376051426,-0.004688394721597433,-0.0026310665998607874,0.004035206977277994,-0.00017701844626571983,-0.0003117346204817295,0.0018451404757797718
35,0.9813856482505798,-0.12132032960653305,0.1552678942680359,-0.025439849123358727,-0.004753176122903824,-0.002541044494137168,0.003841184312477708,-0.00015318987425416708,-0.0003905349294655025,0.0019177192589268088
36,0.9778112173080444,-0.11992901563644409,0.14858201146125793,-0.029750902205705643,-0.0048251464031636715,-0.002460893476381898,0.003662112168967724,-0.0001314569090027362,-0.0004659559053834528,0.001992103410884738
37,0.9744265675544739,-0.11883610486984253,0.14201620221138,-0.03374161571264267,-0.0049046860076487064,-0.002389662666246295,0.0034962233621627092,-0.00011147226905450225,-0.0005389323341660202,0.0020688888616859913
38,0.9712112545967102,-0.11805423349142075,0.13557106256484985,-0.03738905116915703,-0.004992123227566481,-0.0023264966439455748,0.0033419036772102118,-9.29354500840418e-05,-0.0006102872430346906,0.002148610772565007
39,0.9681469798088074,-0.11758735030889511,0.12924720346927643,-0.040675997734069824,-0.005087742116302252,-0.002270624740049243,0.003197678830474615,-7.558541256003082e-05,-0.0006807494792155921,0.002231753896921873
40,0.965217113494873,-0.11743105947971344,0.12304524332284927,-0.043591056019067764,-0.005191795062273741,-0.002221353817731142,0.003062202362343669,-5.9194611822022125e-05,-0.0007509675342589617,0.0023187596816569567
41,0.962407112121582,-0.11757322400808334,0.11696579307317734,-0.046128615736961365,-0.005304509773850441,-0.0021780626848340034,0.0029342439956963062,-4.3563930375967175e-05,-0.0008215225534513593,0.0024100355803966522
42,0.9597052931785583,-0.11799470335245132,0.11100947111845016,-0.04828869178891182,-0.005426094867289066,-0.0021401948761194944,0.0028126852121204138,-2.851836870831903e-05,-0.0008929381729103625,0.0025059599429368973
43,0.957101583480835,-0.11867029964923859,0.1051768958568573,-0.05007663741707802,-0.0055567482486367226,-0.0021072544623166323,0.0026965010911226273,-1.3903434592066333e-05,-0.0009656898328103125,0.0026068883016705513
44,0.9545885324478149,-0.11956971883773804,0.09946869313716888,-0.05150282010436058,-0.00569666363298893,-0.0020788011606782675,0.0025847654324024916,4.1785477833400364e-07,-0.0010402121115475893,0.0027131582610309124
45,0.9521600604057312,-0.12065864354372025,0.09388546645641327,-0.052582092583179474,-0.005846034269779921,-0.002054446144029498,0.002476633293554187,1.4567543075827416e-05,-0.001116905128583312,0.002825092989951372
46,0.9498116374015808,-0.12189982086420059,0.0884278193116188,-0.05333332717418671,-0.006005058065056801,-0.0020338494796305895,0.0023713414557278156,2.8654847483267076e-05,-0.0011961398413404822,0.002943005645647645
47,0.9475399851799011,-0.12325412780046463,0.08309635519981384,-0.05377882719039917,-0.006173945963382721,-0.0020167178008705378,0.00226820376701653,4.27779414167162e-05,-0.0012782630510628223,0.003067201701924205
48,0.9453422427177429,-0.12468164414167404,0.07789166271686554,-0.053943730890750885,-0.006352921016514301,-0.0020028010476380587,0.002166606020182371,5.702540875063278e-05,-0.0013636004878208041,0.003197982208803296
49,0.9432161450386047,-0.126142680644989,0.07281431555747986,-0.05385541915893555,-0.006542224436998367,-0.001991892699152231,0.0020660054869949818,7.14775305823423e-05,-0.0014524605358019471,0.0033356451895087957
50,0.9411596655845642,-0.12759874761104584,0.06786487996578217,-0.05354291573166847,-0.006742122583091259,-0.0019838265143334866,0.0019659290555864573,8.620726293884218e-05,-0.001545136678032577,0.0034804879687726498
51,0.9391703605651855,-0.12901347875595093,0.06304389983415604,-0.05303630977869034,-0.006952905561774969,-0.001978478627279401,0.0018659710185602307,0.00010128110443474725,-0.0016419098246842623,0.003632807871326804
52,0.9372460246086121,-0.13035348057746887,0.05835191160440445,-0.0523662231862545,-0.007174893748015165,-0.0019757647532969713,0.0017657966818660498,0.00011675981659209356,-0.0017430499428883195,0.003792904317378998
53,0.9353838562965393,-0.13158902525901794,0.05378943309187889,-0.051563289016485214,-0.0074084424413740635,-0.001975642517209053,0.0016651428304612637,0.00013269903138279915,-0.0018488179193809628,0.003961078356951475
54,0.9335811138153076,-0.13269469141960144,0.04935696721076965,-0.05065767094492912,-0.007653940003365278,-0.001978110522031784,0.0015638178447261453,0.00014914966595824808,-0.0019594666082412004,0.0041376338340342045
55,0.9318345189094543,-0.13364987075328827,0.045054998248815536,-0.049678653478622437,-0.007911814376711845,-0.001983210677281022,0.0014617088017985225,0.0001661584828980267,-0.002075241645798087,0.004322877153754234
56,0.9301406741142273,-0.13443905115127563,0.04088399559259415,-0.04865425080060959,-0.008182534947991371,-0.001991027733311057,0.0013587838038802147,0.00018376832304056734,-0.0021963827311992645,0.004517116583883762
