stage,step,data_mse
Adam,250,0.0009390849736519158
Adam,500,0.0003069959639105946
Adam,750,0.00016070388664957136
Adam,1000,0.00010099097562488168
Adam,1250,6.936015415703878e-05
Adam,1500,5.157160558155738e-05
Adam,1750,3.932001709472388e-05
Adam,2000,3.082082184846513e-05
Adam,2250,2.466421210556291e-05
Adam,2500,2.0709654563688673e-05
LBFGS,2700,1.2573919775604736e-05
