theta_checkpoint,u,u_x,u_xx,u_t,recovered,total,R_k,strong_recovered,coefficient_error_median,coefficient_error_mean,coefficient_error_std,transport_median,diffusion_median,spurious_l2_median,regime
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,0,25,0.0,0,1.1252485691216527,1.1252483912513775,4.0436856873058456e-07,0.0566764054566618,0.0015576857455234,0.3863666977585352,shock
50,0.7143179178237915,17.8992716941898,7063.140039993827,5.222408448485112,0,25,0.0,0,1.1081390364361172,1.1075378882621105,0.0029521887112103104,-0.1370969261524207,-0.0007762194840968,0.6949379674294413,shock
200,0.2736152708530426,8.183353192560974,4363.263148949098,1.4080101020160227,0,25,0.0,0,0.9985541953910272,0.9985571482848447,0.00013056104483971867,-0.0157413245961391,0.0013302128678568,0.1673222743559634,shock
500,0.0482063181698322,4.801285184647572,3290.77483654382,0.9821254171690236,0,25,0.0,0,0.9652111634701284,0.9651190739893043,0.00033411005718354586,-0.0517782689650923,0.0020347019998562,0.1794096229000342,shock
1000,0.0310303550213575,3.1129447222790154,2646.8673131135297,0.8609469015312393,0,25,0.0,0,0.93120555435042,0.931465916999489,0.0012790643555170551,-0.0844375056530078,0.0028509103025617,0.1691006276012159,shock
0,1.4289793733516534,63.48299896016337,13252.477614246372,76.65799396102275,0,25,0.0,0,1.1252483731475003,1.1252482665268568,3.66343205998979e-07,0.05667638721251533,0.0015576803631215774,0.38636623562166467,smooth
50,0.4640163736050186,9.860788992433845,2297.3386485382794,25.55884738268105,0,25,0.0,0,1.0010029476167586,1.0010029362644515,4.0419397526171464e-07,-0.02145919443911567,0.0021747414211614334,0.21011201306848498,smooth
200,0.2780582229267491,3.884913910720157,953.6035376811892,14.182045144892433,0,25,0.0,0,0.9430151153697763,0.9430150904255623,5.34655441785397e-07,-0.11812833307932774,0.004659904139400515,0.33368346302459084,smooth
500,0.19646481321912318,1.820561885441279,493.9588624058183,8.110692270571418,0,25,0.0,0,0.8497769414311788,0.8497769918548831,4.228077120542619e-07,-0.3276227436618846,0.008329125213061233,0.5195127869149702,smooth
1000,0.16882388167448553,0.9788049841084594,299.71380834831115,4.430536236069128,0,25,0.0,0,0.8864661278463415,0.8864660660305238,2.8938109592462547e-07,-0.6291297309126844,0.014596028703188562,0.8051386442223549,smooth
