epoch,data_loss,pde_loss,total_loss,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,1.4994298219680786,17683.63671875,8843.3173828125,0.19977206048276872,-1.0703634521836725,0.07380249523053557,-0.5238808693971031,-0.9096439609656802,0.08158126146696572,-0.364505236460956,0.071306335676953,-0.0031741657494927253
1,1.4189515113830566,12462.556640625,6232.697265625,0.20120123989283997,-1.0690341655273667,0.07368328704177927,-0.5218983096409052,-0.9061721563066825,0.08126517352122856,-0.3630305645856516,0.0710292151245492,-0.0031615751484961193
2,1.2814911603927612,9113.03515625,4557.798828125,0.20251984844807672,-1.0677403751112724,0.07357120562260766,-0.5199625000426108,-0.9027870915608859,0.08095693027174962,-0.36159452039789414,0.07075932967646352,-0.003149311081073975
3,1.2213565111160278,7911.55859375,3957.000732421875,0.20374586030130643,-1.0665112385612772,0.0734674802164287,-0.5180957199743459,-0.899526984379342,0.08065951219535973,-0.3602129288739726,0.07049926262385912,-0.0031374705332036616
4,1.1546955108642578,6440.62060546875,3221.465087890625,0.20497263882456196,-1.0653903338508548,0.0733722387214004,-0.5162833600117654,-0.896360411360075,0.08037073090106385,-0.3588704916591053,0.07024662902699673,-0.003125973671449659
5,1.1201785802841187,5711.33837890625,2856.789306640625,0.20610192247620107,-1.064327427461492,0.07328385398873427,-0.5145333944656578,-0.8933054905006207,0.08009171866540929,-0.35757660894719406,0.07000275595135501,-0.00311485924785096
6,1.0911519527435303,4561.583984375,2281.883056640625,0.2069813355885926,-1.0633131699370615,0.07320506872337515,-0.5128446667565958,-0.8903553709331606,0.07982202867074512,-0.35632630416499683,0.06976686415919738,-0.0031040993101171437
7,1.0219606161117554,4136.5107421875,2069.27734375,0.20769555260681014,-1.0623698256603746,0.0731305609408575,-0.5112282556980408,-0.8875338325294604,0.07956333140578907,-0.3551315052896497,0.0695408143757858,-0.0030937565391418805
8,0.9680876731872559,4004.863525390625,2003.39990234375,0.20835759347049287,-1.0614660977232093,0.07305828427065252,-0.5096790175551713,-0.8848251918979033,0.07931506834847747,-0.3539827594651,0.06932353455890082,-0.003083819711657047
9,0.9254968762397766,3367.1669921875,1684.509033203125,0.20898903142231176,-1.0605692630291208,0.07298678920030227,-0.5081868779124497,-0.8822134259344188,0.07907548777051965,-0.35287416853046794,0.06911363624857536,-0.0030742115353444345
10,0.891369104385376,2945.371826171875,1473.5772705078125,0.2095822210583982,-1.0596992089805488,0.07291216773053302,-0.5067628851470366,-0.8797144445055927,0.07884598089960154,-0.35181105136297547,0.06891209231131698,-0.003064974997438554
11,0.874325692653656,2573.92626953125,1287.83740234375,0.2101159724710942,-1.0588704351577582,0.07283809338066209,-0.5053996736741582,-0.877319698181338,0.07862617200269845,-0.3507913804698201,0.06871887913386092,-0.003056124497604167
12,0.8370449542999268,2512.453369140625,1257.063720703125,0.21060076348408593,-1.0580782668326856,0.07276595171406838,-0.504098826181452,-0.8750329804173889,0.07841612200949008,-0.34981718334380435,0.06853414311844859,-0.003047656647684859
13,0.8113404512405396,2414.935546875,1208.2791748046875,0.21109901381530868,-1.0573001226918035,0.07269354714570533,-0.5028541640998719,-0.8728438167464199,0.07821470879837573,-0.34888419435072043,0.06835692084387839,-0.003039519778295307
14,0.809249997138977,1954.29931640625,977.9589233398438,0.2115579510113187,-1.0565476499389315,0.07262277683158405,-0.5016610915480098,-0.8707430349321786,0.07802119105825267,-0.34798812152528547,0.06818650391220792,-0.003031685937145091
15,0.7409825921058655,1970.5399169921875,986.0109252929688,0.2119939945885022,-1.055832971173963,0.07255295154274169,-0.5005205520511875,-0.8687364100863798,0.07783629994527702,-0.3471329145288028,0.06802379907280344,-0.0030242042525022213
16,0.7478032112121582,1767.4315185546875,884.4635620117188,0.2124284196400757,-1.055112270725387,0.0724806464507238,-0.49943068899506154,-0.8668167516287514,0.07765925860603291,-0.34631393909200975,0.06786783818181034,-0.0030170266548975666
17,0.7461137175559998,1561.671630859375,781.5819091796875,0.21280447128773902,-1.0544181924569698,0.07241002535112023,-0.4983899805645958,-0.8649815117158899,0.07748993502621439,-0.3455302999583442,0.06771853150882264,-0.003010151873772471
18,0.7072745561599731,1476.3885498046875,738.9015502929688,0.2131514959563693,-1.053729026614653,0.07234028532771658,-0.497399005049504,-0.8632336911411371,0.07732843075528756,-0.34478389296523193,0.0675761104638348,-0.0030035852031213323
19,0.6946194171905518,1301.187744140625,651.2885131835938,0.213477202939004,-1.0530374837919652,0.07226778128300838,-0.49645532754572874,-0.861567741267748,0.07717438021517438,-0.34407197968083575,0.0674401594533873,-0.0029973122432793886
20,0.6735782027244568,1255.967529296875,628.6573486328125,0.21376943199717796,-1.0523765247833878,0.07219735913609512,-0.4955563609677088,-0.8599824164833918,0.07702750922231631,-0.3433952710441904,0.06731069264543901,-0.00299132621793381
21,0.6522058248519897,1252.6033935546875,626.9539184570312,0.214037063725357,-1.0517230136466404,0.07212723541821732,-0.4947007965545134,-0.8584731306699424,0.07688747250852854,-0.3427507389816299,0.06718720471612435,-0.002985609551023196
22,0.6281598210334778,1147.544677734375,574.4005126953125,0.21430563249467868,-1.0510788519660204,0.07205748828936043,-0.49388355144392243,-0.8570299189287552,0.07675353891765492,-0.3421340125346451,0.06706901560341866,-0.0029801366196146608
23,0.620811402797699,1004.8394775390625,503.0405578613281,0.2145591234201593,-1.0504285101364348,0.07198783353139547,-0.49310316469350157,-0.8556522150724074,0.07662555104802299,-0.34154543400721576,0.06695608280344538,-0.0029749019179540308
24,0.5981513261795044,951.8613891601562,476.5288391113281,0.21477600585190712,-1.0497965502883873,0.0719194222277449,-0.49236012328406226,-0.8543415478069409,0.0765035698293124,-0.34098597764912997,0.06684855271844593,-0.0029699094694770477
25,0.6112397313117981,895.932861328125,448.5776672363281,0.21498833085627927,-1.0491805162088272,0.0718516859421507,-0.4916536967443872,-0.8530944067703333,0.076387442937324,-0.3404532999946811,0.06674611837597864,-0.0029651503802731235
26,0.5953916907310486,897.0836181640625,449.13720703125,0.2151617686532308,-1.0485703453475166,0.0717852002163241,-0.49098148060671964,-0.8519072249818197,0.07627682002639961,-0.33994603182795063,0.06664849641686653,-0.002960612368275255
27,0.5704650282859802,751.95849609375,376.5497131347656,0.21529495627382694,-1.0479664338678503,0.07171936819219421,-0.49033979207867273,-0.8507741707109434,0.07617106641237598,-0.33946204033183475,0.06655521929846767,-0.0029562689635114527
28,0.5768449902534485,829.6923828125,415.42303466796875,0.21542279850063195,-1.0473723472403853,0.0716533585317337,-0.48973018341158303,-0.8496979050385924,0.07607057306069766,-0.33900232608719694,0.06646657037995897,-0.002952140071400653
29,0.579239547252655,742.4920654296875,371.8252868652344,0.21551303130339272,-1.046785074623318,0.07158804520568923,-0.4891470238898177,-0.8486686329223492,0.07597433970912333,-0.3385627814462817,0.0663817184744214,-0.0029481831282278967
30,0.5801050662994385,663.311767578125,332.2359924316406,0.2155885483009357,-1.0462155501263564,0.07152381901398819,-0.4885908613667896,-0.8476869205496367,0.07588242728733267,-0.33814359072661654,0.0663006871951197,-0.0029443985575127356
31,0.5541614294052124,648.4329833984375,324.7706604003906,0.2156110798811389,-1.0456587820907206,0.07146103522929184,-0.488061452352093,-0.8467530510141662,0.07579484595027228,-0.33774501723895506,0.06622350960062451,-0.002940789535651808
32,0.5405094623565674,589.8017578125,295.4413757324219,0.21559184924132463,-1.0451135820262252,0.0714002125496856,-0.48755514448964166,-0.8458614190604504,0.07571118442260436,-0.3373650071594194,0.06614988816380005,-0.0029373448393769912
33,0.5370425581932068,602.1803588867188,301.6272277832031,0.2155525361061119,-1.0445876355027373,0.07134044858260988,-0.48707233345134504,-0.84501253425717,0.07563140208454244,-0.33700377113661245,0.0660798134393404,-0.0029340606570123183
34,0.5276782512664795,565.7452392578125,283.4002990722656,0.21542850593304635,-1.0440839533620605,0.0712839602294709,-0.4866113756769642,-0.8442017538674564,0.07555516382284834,-0.3366585444076219,0.0660128084392977,-0.0029309192007366124
35,0.5332043766975403,517.5599975585938,259.3132019042969,0.21528586271546515,-1.0435879567912507,0.07122894981060272,-0.4861710537144705,-0.8434279455164637,0.0754822919259563,-0.3363294586278245,0.06594883538244838,-0.002927914541276148
36,0.4933136999607086,479.4601135253906,240.22337341308594,0.2150968572577116,-1.043111768390202,0.07117673183485199,-0.4857499979303316,-0.8426894106419229,0.07541264422461377,-0.33601575019603486,0.06588779037042752,-0.0029250445610331656
37,0.5148965120315552,453.42181396484375,227.22579956054688,0.21489739527266152,-1.0426490495445904,0.07112493308084153,-0.4853500345025905,-0.8419873382374223,0.0753463527331267,-0.335717340119027,0.06582964506731745,-0.002922308201208786
38,0.5187119245529175,508.5531921386719,254.79530334472656,0.21466946001470813,-1.0422077235223204,0.0710746762101809,-0.4849688502723927,-0.8413184444159086,0.07528314326793656,-0.3354331488227113,0.06577423890291789,-0.0029196980502108516
39,0.5062082409858704,448.36090087890625,224.68666076660156,0.2144187589162659,-1.0417810555456735,0.07102540699751855,-0.4846019102309312,-0.8406759915470482,0.0752222592855207,-0.33516072751707965,0.06572097682295726,-0.0029171827675925277
40,0.5071215629577637,421.6827392578125,211.34849548339844,0.21416959115787534,-1.041368332520538,0.0709772178137464,-0.48424891001519865,-0.8400597531558721,0.0751638277227118,-0.33490010253320746,0.06566999106171813,-0.0029147733648621616
41,0.5047330856323242,406.59283447265625,203.8011474609375,0.21388536954219323,-1.0409630573672328,0.07093071262238859,-0.483911280131329,-0.8394706351422568,0.0751079196641361,-0.3346509578981904,0.0656212249473651,-0.0029124670891426665
42,0.49548590183258057,394.91156005859375,197.95126342773438,0.21361516095087188,-1.0405561975603466,0.07088493929271296,-0.4835885335985106,-0.8389069955626759,0.07505443863780084,-0.33441253001084315,0.06557455096826853,-0.0029102601287580754
