checkpoint_epoch,seed,epoch,pde_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,loose_success,strong_success,symnet_initial_state_sha256,frozen_theta_sha256,frozen_unchanged,initial_beta_max_abs_difference_phase23,coordinate_max_abs_error
0,0,1000,72.24701690673828,1.1252479318096094,0.38636457167664207,0.2743112346181425,-0.24835595211559108,0.0015576777743546225,0.11105825714534628,0.05667649095920244,0.0023253832550287016,-0.003288586767106485,0.00030176890925785846,1.0151834049220954e-05,False,False,6ffb26fc7bf0cdda1999e6644addbe32bed8b3cc4f8af7435bd2f67032af30ff,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,5.960464410925681e-08,1.5477126460439194e-06
0,1,1000,72.24701690673828,1.1252483283853607,0.3863660637245055,0.2743110537265579,-0.2483587339225021,0.0015576803631215774,0.11105767455417434,0.0566763677600115,0.002325376071908322,-0.0032885661270603043,0.0003017686494293051,1.0151816059443062e-05,False,False,5e795d58a79b78c494a7d013d132b1d57f13126e5dff4728030e64ed2c7c221a,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.2351751727267555e-08,1.8836899489116377e-06
0,2,1000,72.24701690673828,1.1252487066741308,0.3863668108190014,0.2743113379847623,-0.24835940694030315,0.0015576812691900116,0.11105806668284776,0.05667649744337039,0.0023253787655784642,-0.0032885574488590694,0.0003017694938721036,1.0151813810720825e-05,False,False,ba4c09f9c596b4d07be24754120da885ac1ea6856855be4c95595f19e0bbb5a2,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980231847415915e-08,1.4957339420362814e-06
0,3,1000,72.24701690673828,1.125248575506995,0.3863661982233923,0.274310976201593,-0.24835888348201343,0.0015576802336832298,0.11105799946078947,0.05667658173755367,0.002325377643215905,-0.0032885661270603043,0.0003017695263506728,1.0151802567109643e-05,False,False,87cb5f46fc33667063b778a04a38c915442b6b82dd334d87fd599d049cc20f76,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232233218416e-08,1.4332769922020816e-06
0,4,1000,72.24700927734375,1.125247802697724,0.38636440847401166,0.2743112604597975,-0.24835538378944796,0.0015576781626696658,0.11105889575490013,0.056676413149187116,0.0023253982946869964,-0.0032886003707732862,0.0003017685195150284,1.0151912754499229e-05,False,False,c40ec782b65e3f01b0f22745aa90fea273168994a0ea94d4d4fd70aa396c321d,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,5.960464466436832e-08,1.6091157135633694e-06
0,5,1000,72.24701690673828,1.1252482527007144,0.38636594961654386,0.27431089867662817,-0.24835897321772024,0.0015576785509847089,0.11105712557403156,0.05667632885500384,0.0023253745006007387,-0.0032885616706866973,0.0003017686169507359,1.0151834049220954e-05,False,False,fd5d30c5e60998bc3a58fe284112a505c97a7578e1016ea09a1913bdd5783251,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,5.960464311005609e-08,1.462770685023429e-06
0,6,1000,72.24701690673828,1.125248556205744,0.3863665854310482,0.2743113896680722,-0.2483587787903555,0.0015576819163817504,0.11105855964460863,0.056676419633355055,0.0023253783166334403,-0.003288557683405049,0.0003017688443007201,1.015178457733175e-05,False,False,ded9be0548a99d259d557a32fb17249108cfc05422d0211bab938bb59b66d62f,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232316485143e-08,1.932607030852296e-06
0,7,1000,72.24701690673828,1.1252481728883508,0.3863658538987569,0.27431092451828315,-0.2483593471164986,0.0015579423463374209,0.1110558931696294,0.056676283465828224,0.002325360583305003,-0.003288551585209586,0.0003017690716507044,1.015180481583188e-05,False,False,10cd6c568cb59be5a6ede41385d1cad2f969b58e04244fe669965d0818899317,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232252647319e-08,1.7291178604494917e-06
0,8,1000,72.24700927734375,1.1252485720378684,0.38636700398255386,0.2743115964013118,-0.24835940694030315,0.0015576826930118368,0.11105810029387692,0.056676283465828224,0.002325377418743393,-0.003288562374324635,0.0003017679673793524,1.0151803691470762e-05,False,False,03fce22a3ae729a4d01dc6f0336f149b4ccc9dcead7071bbe78f89391e226314,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232222116186e-08,1.4761683200248399e-06
0,9,1000,72.24701690673828,1.1252472338148554,0.3863625033092829,0.27431144135138213,-0.24835194392068705,0.0015576766094094927,0.11105951195710122,0.056676503927538334,0.002325406151224912,-0.003288644230871421,0.00030176829216504417,1.0151932992999358e-05,False,False,7d7833e3ffda914a0018f5a3174b5566ba7c769b271536a6b254763a37fe8793,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.0712793390165185e-09,1.4028979009594877e-06
0,10,1000,72.24701690673828,1.1252476999893666,0.38636370157562694,0.27431234580930536,-0.24835224303970974,0.0015576803631215774,0.11106077797253253,0.05667656228504983,0.002325413783290315,-0.003288630158112661,0.0003017688767792893,1.015192512247153e-05,False,False,2b497ed8184a1dc796fbcbd959706e1e0d6af5aee507a27f3bacbc22a5c32b3d,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.4901161249358807e-08,1.5865619467092529e-06
0,11,1000,72.24700927734375,1.1252485756359099,0.3863666064778626,0.27431120877648757,-0.248359391984352,0.0015576803631215774,0.1110577081652035,0.056676432601690946,0.0023253778676884168,-0.003288565188876387,0.0003017693964363961,1.015182955177648e-05,False,False,5701bbbdb5e35b9ba83fc7a6f1ded206d87afe7b4886c9be5a37a9a9a55da540,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.885929240026286e-08,1.7301540822245443e-06
0,12,1000,72.24701690673828,1.125248581655929,0.38636696102884965,0.2743115447180019,-0.24835936207244974,0.0015576820458200983,0.1110581787196116,0.05667630940250001,0.0023253834795012134,-0.0032885626088706146,0.0003017683246436133,1.0151841919748781e-05,False,False,29a7d76a55e06dd174f215b5372101b9bf9ca2a5701dffbe8b90e68e3adee061,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.4901161082825354e-08,1.6274889986789276e-06
0,13,1000,72.24701690673828,1.1252481242760246,0.386365150004614,0.2743113896680722,-0.24835655035363646,0.0015576789392997522,0.11105854844093224,0.056676484475034504,0.002325387744478939,-0.003288579496181126,0.0003017693964363961,1.01518554120822e-05,False,False,83c6bdc4e84503528b3ac7f4139acbb9b46a36a2824763ac07b93eec76460473,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.8227754083888215e-08,1.3206429336776182e-06
0,14,1000,72.24701690673828,1.1252485504438507,0.38636688789178164,0.27431151887634697,-0.24835937702840089,0.0015576826930118368,0.11105795464608392,0.05667630291833206,0.0023253792145234878,-0.0032885661270603043,0.00030176829216504417,1.0151826178693126e-05,False,False,5a6eddb5a2f42040bf08df0a890b7aededa83d733fd6fe3ea4113f6811a2f595,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.4901152201041157e-08,1.5725625335250015e-06
0,15,1000,72.24701690673828,1.1252485772109022,0.38636712532624073,0.27431146719303706,-0.24835928729269408,0.001557680104244882,0.11105910862475141,0.056676244560820564,0.002325397172324437,-0.0032885661270603043,0.00030176806481505995,1.0151897013443574e-05,False,False,3d663675abcc54c04c67966640c93c8ba19a686265dbcf925c21fce118359a13,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232295668461e-08,1.511938227949372e-06
0,16,1000,72.24700927734375,1.1252484056857888,0.38636623562166467,0.2743110537265579,-0.24835931720459634,0.0015576797159298386,0.1110569687225622,0.05667638721251533,0.0023253686643154303,-0.003288552992485462,0.0003017688443007201,1.0151795820942934e-05,False,False,48d235981a7b8d7bdcfb12e8fdd459296d0d830ce6f4c5b7a332a70433b7e978,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.490116116609208e-08,1.349788684379405e-06
0,17,1000,72.24701690673828,1.1252485595499313,0.3863670740204949,0.2743115447180019,-0.2483593022486452,0.0015576828224501847,0.11105870529240161,0.056676244560820564,0.002325387744478939,-0.003288569879795974,0.0003017678699436449,1.015184866591549e-05,False,False,0f9fe9e1d0cc5bf8f56330405c4d701ee5fe3c0b9f60e4d2020838e07324ab8f,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.607703273455053e-08,1.445965232882429e-06
0,18,1000,72.24700927734375,1.1252483069175863,0.38636649776764037,0.27431110540986775,-0.24835931720459634,0.0015576808808749685,0.11105775297990902,0.05667618620330906,0.002325368888787942,-0.003288555807037214,0.00030176803233649075,1.0151768836276097e-05,False,False,68dd07d284eccc0952203340de33be43b1c976a7ebe34685f191c63e4495dcde,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.9802324774674815e-08,1.3845159969605447e-06
0,19,1000,72.24701690673828,1.125248404398986,0.3863667107366711,0.2743112604597975,-0.248359391984352,0.0015576808808749685,0.11105794344240755,0.05667621213998084,0.0023253767453258575,-0.003288558621588966,0.0003017682272079058,1.0151814935081944e-05,False,False,fdd83ac86d81f7cc473e4c7d2f58dd8f4b57908847b453ecfdb8f7932d54b456,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.8468179374675486e-08,1.3826166522790118e-06
0,20,1000,72.24700927734375,1.1252483893318412,0.38636643629395756,0.27431110540986775,-0.24835940694030315,0.0015576803631215774,0.11105733844388285,0.056676296434164115,0.0023253704600955253,-0.003288554399761338,0.0003017688767792893,1.0151801442748525e-05,False,False,f1c06d0d0ee41f7b080fde8a963eb20a9dbe6178671039e38f52fef7ddb28faa,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.980232222116186e-08,1.4297038646304827e-06
0,21,1000,72.24700927734375,1.1252483731475003,0.38636640696046004,0.27431120877648757,-0.24835931720459634,0.0015576817869434026,0.11105718159241348,0.05667628994999617,0.0023253700111505013,-0.003288560263410821,0.0003017684220793209,1.0151801442748525e-05,False,False,3839dc9595f20d25e116a178d5603b383e1c0594825c5f11983657bc612c5cf1,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,1.4901162165292803e-08,1.6359418602007736e-06
0,22,1000,72.24701690673828,1.12524828965962,0.3863658977144861,0.2743107177850435,-0.24835916764508498,0.0015576798453681864,0.11105695751888581,0.05667638721251533,0.002325369337732966,-0.0032885480670198962,0.00030176855199359753,1.0151796945304052e-05,False,False,c198b10f13e7c047b92ec8d9cc7f6d5b80f0aa55c9f3414d3d30c7b4f1fb6dd2,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,5.960464499743523e-08,1.6299272616038252e-06
0,23,1000,72.24701690673828,1.1252475924940093,0.3863637784930828,0.274311493034692,-0.24835427704906402,0.0015576771271628837,0.11105860445931416,0.056676419633355055,0.002325395601016854,-0.0032886069380607076,0.00030176838960075167,1.0151904883971401e-05,False,False,9d1d7a1f639f28896163273f83d3df5b50fc126f950ccdd51178ef7ae53476a4,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,2.9802321999117254e-08,1.629940580727407e-06
0,24,1000,72.24701690673828,1.1252481000528236,0.38636479571217586,0.2743115705596569,-0.24835551839300818,0.0015576788098614046,0.11105917584680972,0.05667658822172161,0.0023254023351922098,-0.003288602012595142,0.00030176894173642767,1.0151915003221466e-05,False,False,f182fe72954b870b576c7230bd1f10691ba097a570a6f6d4a5dafe05a0ce32bd,a0209e9fc5f37316fd166033ed5fae745b6f64e864377aa76911d2bdda3d5aff,True,5.960464533050214e-08,1.5069126639843944e-06
