regime,time,max_abs_u_x,max_abs_u_xx,spectral_max_abs_u_x,spectral_max_abs_u_xx
smooth,0.0,0.49994980210807255,0.49997490080208545,0.5000000000000008,0.49999999999947387
smooth,0.002,0.5004299943132584,0.4999531550971931,0.5004803914291426,0.4999782525267317
smooth,0.004,0.5009110683414092,0.4999279155846507,0.5009616656418303,0.4999530097154168
smooth,0.006,0.5013930264989176,0.4998991847799064,0.5014438249498337,0.4999242740862707
smooth,0.008,0.5018758710997389,0.49991257936305145,0.5019268716725552,0.49993769416258693
smooth,0.01,0.502359604465417,0.4999259043018201,0.5024108081369771,0.4999510210706798
smooth,0.012,0.5028442289251135,0.49993573529194757,0.5028956366777558,0.4999608525014854
smooth,0.014,0.5033297468156355,0.49994207366354254,0.5033813596372291,0.4999671897871641
smooth,0.016,0.5038161604814657,0.49994492086632586,0.503867979365438,0.49997003437741555
smooth,0.018000000000000002,0.504303472274791,0.4999442784692618,0.5043554982201708,0.49996938784066636
smooth,0.020000000000000004,0.5047916845555316,0.49997852667347514,0.5048439185669771,0.5000037062754912
smooth,0.022000000000000006,0.5052807996913704,0.5000199364454758,0.5053332427792074,0.500045118721812
smooth,0.024000000000000007,0.5057708200577831,0.5000578594829748,0.5058234732380424,0.5000830429072729
smooth,0.02600000000000001,0.5062617480380667,0.5000922961728221,0.5063146123325241,0.5001174792172013
smooth,0.02800000000000001,0.5067535860233701,0.5001232470213883,0.5068066624595725,0.5001484281592372
smooth,0.030000000000000013,0.5072463364127237,0.5001507126545632,0.50729962602403,0.5001758903593607
smooth,0.032000000000000015,0.5077400016130689,0.5002051087439341,0.5077935054386989,0.5002304016810802
smooth,0.034000000000000016,0.5082345840392889,0.5002746700191828,0.5082883031243451,0.5002999663811274
smooth,0.03600000000000002,0.5087300861142382,0.5003407544893008,0.5087840215097537,0.5003660527466364
smooth,0.03800000000000002,0.5092265102687735,0.5004033616011052,0.5092806630317406,0.5004286602249033
smooth,0.04000000000000002,0.5097238589417841,0.5004624909208407,0.5097782301351941,0.5004877883816716
smooth,0.04200000000000002,0.5102221345802216,0.5005181421338115,0.5102767252731192,0.5005434369028776
smooth,0.044000000000000025,0.5107213396391318,0.5005917032972623,0.5107761509066227,0.5006171587810243
smooth,0.04600000000000003,0.5112214765816848,0.5006895404702252,0.5112765095050075,0.5007150001870215
smooth,0.04800000000000003,0.5117225478792062,0.5007839135458756,0.51177780354575,0.5008093759655943
smooth,0.05000000000000003,0.5122245560112079,0.5008748210326559,0.5122800355145548,0.5009002846215453
smooth,0.05200000000000003,0.5127275034654196,0.5009622615582525,0.5127832079053998,0.500987724782096
smooth,0.054000000000000034,0.5132313927378199,0.5010462338687656,0.5132873232205317,0.5010716951933079
smooth,0.056000000000000036,0.513736226332668,0.5011376899109267,0.5137923839705327,0.5011633581276003
smooth,0.05800000000000004,0.5142420067625348,0.5012639852046504,0.5142983926743185,0.5012896585422604
smooth,0.06000000000000004,0.5147487365483353,0.5013868319764371,0.5148053518592203,0.5014125088991143
smooth,0.06200000000000004,0.5152564182193599,0.5015062277983822,0.5153132640609518,0.5015319067644924
smooth,0.06400000000000004,0.5157650543133062,0.5016221703601661,0.5158221318236952,0.5016478498301626
smooth,0.06600000000000004,0.516274647376312,0.5017346574695144,0.5163319577001269,0.5017603359015159
smooth,0.06800000000000005,0.5167851999629866,0.5018436870520144,0.516842744251407,0.5018693629032264
smooth,0.07000000000000005,0.5172967146364433,0.5019974308027813,0.5173544940472523,0.5020233693283986
smooth,0.07200000000000005,0.5178091939683324,0.5021489945766471,0.5178672096659679,0.5021749376618588
