dataset,seed,model,hidden_size,hidden_layers,first_omega_0,hidden_omega_0,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,pde_lambda,data_lambda,eql_layers,u_rel_l2,u_rmse,u_max_abs,ux_rel_l2,ux_rmse,ux_max_abs,uxx_rel_l2,uxx_rmse,uxx_max_abs,eql_prod_dim,final_total_loss,final_data_loss,final_pde_loss,final_tv_loss,pde_method,feature_names,ls_method,ls_terms,ls_coeffs,pde_terms,pde_coeffs,true_pde_terms,true_pde_coeffs,ls_true_pde_terms,ls_true_pde_coeffs,ls_residual_rel_l2,ls_residual_rmse,ls_rank,ls_condition_number,ls_coeff_error_l2,ls_num_active_terms,ls_active_terms,eql_method,eql_feature_names,eql_readout_terms,eql_readout_coeffs,eql_readout_dim,eql_effective_quadratic_matrix_available,eql_effective_quadratic_matrix_error,status,error
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.33771102735593056,0.23791182480242917,0.9049488291861504,0.9119918759127449,5.1356391665382,53.362568514630446,0.9985410525429037,248.92905045976417,11880.30513864307,2,0.06892724467976259,0.05677450610564487,0.012152738657106858,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.6937867214495953, 0.014895286988696231, 0.0073973932370842155, -0.15323998213805914]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.6937867214495953, 0.014895286988696231, 0.0073973932370842155, -0.15323998213805914]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",195.42501101816225,0.6107630767443311,4,13.72928208628424,1.09479275931373,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.5281538367271423, 0.19560404121875763, 0.14404582977294922, -0.3583635985851288]",4,True,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.3615355535408766,0.2546958088614981,0.9180369744744272,0.9013852562458906,5.075910814976783,53.54717554359163,0.997755690795753,248.7332654657594,11859.133055503651,2,0.0830260510049244,0.06528965907521767,0.017736391985032816,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.6087287184799666, 0.07171032092476781, 0.005824688094096697, -0.20939560723495068]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.6087287184799666, 0.07171032092476781, 0.005824688094096697, -0.20939560723495068]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",260.69753097465747,0.7425834409099626,4,14.74732981218771,1.0003828076882866,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.41297218203544617, -0.005320636555552483, -0.06700606644153595, 0.1290305256843567]",4,True,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.1454614547728883,0.10247518541039473,0.6261716119784657,0.5890280091098764,3.316954233550785,46.20847291101721,0.9174120780985083,228.70418487032444,11873.39295058994,2,0.01682526638528498,0.010684810422065824,0.006140455898672047,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.596081316644721, -0.017132487884653824, 0.0026390077669279574, -0.17426620217573494]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.596081316644721, -0.017132487884653824, 0.0026390077669279574, -0.17426620217573494]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",173.86851058591424,0.47501668732779956,4,125.36701932577867,1.018575940845827,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.3858884572982788, -0.015215963125228882, -0.0013651110930368304, 0.23959366977214813]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.45886211528189197,0.32326075945503296,1.088961815816754,0.9246567855354251,5.206958229368454,55.3395890167209,0.9990435470054613,249.0543186889543,11873.603292758748,2,0.13327577798673423,0.10552687861836783,0.02774889920238811,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.48919054759014413, -0.025277276937882034, -0.003008832566788168, -0.15525954349454482]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.48919054759014413, -0.025277276937882034, -0.003008832566788168, -0.15525954349454482]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",232.71968807239662,0.5258834674072288,4,12.20130427583158,0.9765766744924512,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.36728838086128235, 0.09937604516744614, 0.10862191766500473, -0.3619261384010315]",4,True,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.6510426047238042,0.4586487309184598,1.2059803464299192,0.9463681353565803,5.329219908934781,56.49878443984712,0.9991932059741437,249.09162758564125,11867.82876759319,2,0.26211180220736136,0.21296370191739336,0.049148098335112675,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.2873833114825335, 0.22428362058692236, 0.0027594596200988253, 0.08564118562719882]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.2873833114825335, 0.22428362058692236, 0.0027594596200988253, 0.08564118562719882]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",433.2118967313359,0.713398005357201,4,29.951766122821066,1.1452342640426316,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[0.34666886925697327, 0.01223156787455082, -0.016067983582615852, 0.13305075466632843]",4,True,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.2526555849365488,0.17799167450764575,0.8038810231586616,0.8403834252818428,4.7323952633541735,50.28942823757437,0.9906841677590008,246.9703860024061,11844.431803520009,2,0.03794467427057795,0.0328202464129075,0.005124427889944008,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.7760504359163992, 0.00557840491191184, -0.0027888977099729804, -0.12317740225150373]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.7760504359163992, 0.00557840491191184, -0.0027888977099729804, -0.12317740225150373]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",134.2881354424788,0.46403255183633657,4,35.35675992780024,1.1710110253599033,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.625983715057373, 0.0028330266941338778, -0.02844732441008091, 0.2639378607273102]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.5660295165418745,0.3987584184823903,1.2508122121500875,0.9412180310597679,5.300218469298057,56.336307900235305,0.9992651484670351,249.10956232793097,11872.598902042195,2,0.20225992769297987,0.16074677032999474,0.041513157805593885,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.3042821958403689, -0.03620187745529161, -0.0013479546191476344, -0.2757536108153497]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.3042821958403689, -0.03620187745529161, -0.0013479546191476344, -0.2757536108153497]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",271.3806120261353,0.49196146581754796,4,16.554989857914507,0.7864857525459483,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.3431466221809387, 0.07771540433168411, 0.07972860336303711, -0.3632192611694336]",4,True,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.8047144720854518,0.5669080159973378,1.3719476246124258,0.970802606353879,5.466816119582797,57.2832923701259,0.9995676048878392,249.18496252248934,11887.53650170116,2,0.38732524732551954,0.32308974478504443,0.06423550298308382,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.31058705989655105, 0.19433589343372618, 0.001810003038454605, 0.474964205063589]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.31058705989655105, 0.19433589343372618, 0.001810003038454605, 0.474964205063589]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",248.8216914466593,0.6563541837197618,4,72.26498754029559,1.519808291700293,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[1.0206935405731201, -0.21615135669708252, -0.007088311016559601, 0.13381659984588623]",4,True,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.31198244044833656,0.21978646150381762,0.9625352078277682,0.9090444087047671,5.119041290575514,52.28387798576082,0.9996714148161606,249.21084158556798,11859.618861015126,2,0.05250777842679826,0.04844164177037702,0.0040661365803478676,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-1.062729477535849, -0.013083571550435151, -0.026839508239746408, -0.1375735633473714]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-1.062729477535849, -0.013083571550435151, -0.026839508239746408, -0.1375735633473714]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",87.8846459843711,0.4143023627849965,4,21.53626542051465,1.3691974402082523,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.7550249099731445, -0.06457880139350891, -0.04895758628845215, 0.27189067006111145]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.7,1.0,1,0.6539299739352966,0.4606828347005093,1.341159931941494,0.955311693497066,5.3795831727835095,56.91453780441011,0.9994051906585064,249.14447383172796,11872.850331599995,2,0.266054103870203,0.2143382680888223,0.05171583677725036,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.19735346321395997, -0.04924329642080186, 0.0019497034223577292, -0.4414740832652248]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.19735346321395997, -0.04924329642080186, 0.0019497034223577292, -0.4414740832652248]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",223.4801688679152,0.47769814021416923,4,21.574529792428336,0.5944655571387966,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.41133150458335876, 0.1008053719997406, 0.055996302515268326, -0.36389365792274475]",4,True,,1,
