dataset,seed,model,epochs,batch_size,lr,noise_level,u_rel_l2,u_rmse,u_max_abs,ux_rel_l2,ux_rmse,ux_max_abs,uxx_rel_l2,uxx_rmse,uxx_max_abs,uxxx_rel_l2,uxxx_rmse,uxxx_max_abs,final_train_loss,ux_rel_l2_highgrad,uxx_rel_l2_highgrad,uxxx_rel_l2_highgrad
burgers,0,simplemlp,160,2048,0.001,0.0,0.05002365392814702,0.042847944879376515,0.4292565720687066,0.446560302405463,1.0442874481794053,15.151352224638746,0.8656253363026716,43.932605206563196,678.8530779278437,0.9536647939200155,1514.4928981691482,26980.538963947587,0.001834705253944747,0.387076217303878,0.8216240264972987,0.9415610509557156
burgers,0,siren,160,2048,0.001,0.0,0.02323111158910591,0.01989869413150898,0.20290362202089848,0.1882816265526362,0.44029918976809346,11.829040231415942,0.4270587779840409,21.674278589519023,642.1107031098691,1.2530195565450042,1989.8912403529755,72478.78738243095,0.0008536693963429166,0.17491214798224758,0.4029492932696455,1.246624548105505
burgers,1,simplemlp,160,2048,0.001,0.0,0.014918207154110486,0.011256715721819981,0.17299929681600523,0.15980694391970351,0.1581481066642951,4.643875561021332,0.6678159264501506,3.806759416763621,111.15385706927256,0.8936615903961388,95.60024029896985,3999.183771345807,0.00011852585099866643,0.17410909446991113,0.6503717623052,0.8842838693163494
burgers,1,siren,160,2048,0.001,0.0,0.006248256641802449,0.004714698492061364,0.06464459282004786,0.04822421669148985,0.04772363689627815,0.7617875300781929,0.20703210078939152,1.180147654521685,29.498230173666144,0.44200504553528136,47.28388130433024,1371.1130442326084,2.372606528903513e-05,0.04476814026030208,0.1687916967179586,0.40415336775735583
burgers,2,simplemlp,160,2048,0.001,0.0,0.015614416194247395,0.007839281128361731,0.07222331984822003,0.14262155929101036,0.11169810972158027,1.5712043030951017,0.5306751960301941,2.4087940970495048,37.17005427563291,0.7966957016077626,54.4058752379752,1105.6503018996711,5.725240858044431e-05,0.1444558066074357,0.49827699633191536,0.7846241472968156
burgers,2,siren,160,2048,0.001,0.0,0.008718104475562174,0.004376959794086918,0.026971094626777214,0.04687522923043034,0.03671166213462412,0.30911418020266,0.16628102309879822,0.7547681706023209,8.933210441293578,0.33867503847874086,23.127916784923812,282.376730475483,1.494502294730092e-05,0.03469073106329497,0.10399241099357613,0.23986393456650387
allen_cahn,0,simplemlp,500,2048,0.001,0.0,0.04355900007700857,0.030683786742568962,0.28005005250262704,0.31895648902258206,1.3911997944812409,17.702488355877016,0.7591062966946447,89.38914871855836,1303.1934135428583,1.1451509514656395,7436.321089304767,128713.64022314316,0.0009391416271416176,,,
allen_cahn,0,siren,500,2048,0.001,0.0,0.01223290126820824,0.008617087928855426,0.1589969094799615,0.10364241000510271,0.4520594640996031,12.294331526288644,0.3799831848856623,44.74521364424818,1146.2404678208065,2.50563989705694,16270.992732303577,392385.93522166874,6.152254560272767e-05,,,
allen_cahn,1,simplemlp,500,2048,0.001,0.0,0.046529542040141654,0.03277629290537084,0.29310110365662123,0.3245939861097425,1.4157889941337707,17.066027097942452,0.7656536199095046,90.16013382447827,1255.4143149228012,1.138931039042608,7395.9305487687625,126982.97909033054,0.0010225411699845792,,,
allen_cahn,1,siren,500,2048,0.001,0.0,0.006722285472944083,0.004735305528359846,0.05023950048437398,0.07588130968213089,0.33097323951065266,2.2750016934057804,0.34931195329001336,41.13349906037132,290.8811951639135,2.363140368563873,15345.636780240897,250597.90509368433,2.3160132555820682e-05,,,
allen_cahn,2,simplemlp,500,2048,0.001,0.0,0.028534896578823802,0.02010052296420896,0.19814390098366286,0.23220377670561254,1.0128085100903679,12.750002317669015,0.6499544957837724,76.53589403340423,1149.6222465506708,1.2812315706012913,8319.994264993049,136222.09432470554,0.0004096552167328251,,,
allen_cahn,2,siren,500,2048,0.001,0.0,0.005720000391583659,0.00402927688588983,0.037096528399654105,0.05124431910311826,0.2235135156618239,5.21728524405502,0.18441013717866048,21.715358243305324,640.2584008280427,2.3451924699239526,15229.087658927298,356954.0250620231,1.6489207675424286e-05,,,
