dataset,seed,model,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,final_total_loss,final_data_loss,final_tv_loss,ux_rel_l2,uxx_rel_l2,uxxx_rel_l2,l2_coeff_error,status,error
burgers,0,siren,100,1024,0.001,0.05,1,1,tv_ux,0.0,0.0028656787859896817,0.0028656787859896817,0.0,0.33560725016100723,0.981045876479636,3.3235538149458255,0.36867968592829203,1,
burgers,0,siren,100,1024,0.001,0.05,1,1,tv_ux,1e-08,0.002600461839594775,0.0025989781872975447,1.4836574744924927e-06,0.23585102365924931,0.6724148651307363,4.510393619522288,0.28527495635378364,1,
burgers,0,siren,100,1024,0.001,0.05,1,1,tv_ux,1e-06,0.0027873610545481953,0.0026552771432473074,0.00013208392007823383,0.2893990900442145,0.700508845209221,2.150438864028092,0.19977603718507794,1,
burgers,0,siren,100,1024,0.001,0.05,1,1,tv_ux,0.0001,0.010279295552108023,0.0042333395538171606,0.006045955987203689,0.39966318652927657,0.8185441689831651,0.9351601143898955,0.13552955737695135,1,
burgers,0,siren,100,1024,0.001,0.05,1,1,tv_ux,0.01,0.12289701295750481,0.065202180532709,0.05769483189261149,0.9141531298475211,0.9994250869386574,1.0000219141387792,0.7096757226544869,1,
