feature,u,u_x,u_xx
u,-0.1892596036195755,-0.026825202628970146,-0.03921908512711525
u_x,-0.013403212651610374,-0.0018997392617166042,-0.0027774639893323183
u_xx,-0.001472695148549974,-0.00020873628091067076,-0.0003051773819606751
