loss,loss_data,loss_pde,l1,loss_tv,coeff_mag,ema_grad,ema_drift,prune_applied,feature_names,feature_scales
2.148040771484375,2.145458698272705,150.17599487304688,2.5821876525878906,0.0,0.9961175322532654,0.003162277862429619,0.0,0,u|u_x|u_xx,"tensor([  12.5252,  125.4135, 2780.6489])"
1.614400029182434,1.6118278503417969,128.74374389648438,2.572188138961792,0.0,0.9935269951820374,0.003162277862429619,3.162238863296807e-05,0,u|u_x|u_xx,"tensor([  10.6954,  126.4303, 2786.7214])"
1.2262660264968872,1.2237038612365723,113.72721099853516,2.562188148498535,0.0,0.990939736366272,0.003162277862429619,6.292855687206611e-05,0,u|u_x|u_xx,"tensor([   9.3733,  130.9064, 2769.8711])"
0.9474583268165588,0.9449061155319214,105.92878723144531,2.5521883964538574,0.0,0.9883558750152588,0.003162277862429619,9.392166248289868e-05,0,u|u_x|u_xx,"tensor([   8.4968,  134.0307, 2823.1035])"
0.7488841414451599,0.7463419437408447,101.05673217773438,2.5421884059906006,0.0,0.985775351524353,0.003162277862429619,0.00012460483412723988,0,u|u_x|u_xx,"tensor([   7.9543,  135.5334, 2928.7300])"
0.6031215786933899,0.600589394569397,97.8711166381836,2.532188653945923,0.0,0.9831981658935547,0.003162277862429619,0.00015498117136303335,0,u|u_x|u_xx,"tensor([   7.6101,  136.2613, 3021.9719])"
0.49226996302604675,0.4897477626800537,96.43216705322266,2.522188663482666,0.0,0.9806244969367981,0.003162277862429619,0.00018505376647226512,0,u|u_x|u_xx,"tensor([   7.4111,  136.7570, 3080.9119])"
0.4068077802658081,0.40429559350013733,96.27745819091797,2.5121889114379883,0.0,0.9780542254447937,0.003162277862429619,0.00021482563170138747,0,u|u_x|u_xx,"tensor([   7.3543,  137.1449, 3121.8413])"
0.3400762975215912,0.3375740945339203,96.56179809570312,2.5021886825561523,0.0,0.9754874110221863,0.003162277862429619,0.0002442997647449374,0,u|u_x|u_xx,"tensor([   7.4325,  137.4544, 3169.6306])"
0.28642457723617554,0.2839323878288269,96.82797241210938,2.4921889305114746,0.0,0.9729241728782654,0.003162277862429619,0.00027347917784936726,0,u|u_x|u_xx,"tensor([   7.6190,  137.8723, 3239.8057])"
0.2422783374786377,0.23979614675045013,97.0876235961914,2.482189178466797,0.0,0.9703644514083862,0.003162277862429619,0.0003023667959496379,0,u|u_x|u_xx,"tensor([   7.8731,  138.6751, 3328.5530])"
0.20681631565093994,0.20434412360191345,97.3875732421875,2.472189426422119,0.0,0.9678082466125488,0.003162277862429619,0.000330965529428795,0,u|u_x|u_xx,"tensor([   8.1563,  140.0397, 3421.5950])"
0.17910781502723694,0.17664562165737152,97.57759094238281,2.462189197540283,0.0,0.965255618095398,0.003162277862429619,0.00035927825956605375,0,u|u_x|u_xx,"tensor([   8.4307,  141.9139, 3504.8091])"
