seed,treatment,initial_pde_mse,minimum_pde_mse,epoch_of_minimum_pde_mse,final_pde_mse,pde_prediction_mse,coefficient_error,loose_success,strong_success,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,spurious_l2,ever_loose_success,ever_strong_success
0,unscaled,206485.71875,0.965114176273346,1000,0.965114176273346,0.965114175313353,1.0219022509468303,False,False,-0.16676586866378784,0.16339705884456635,-0.0017354575684294105,0.004230938386172056,-0.005405794363468885,0.008171362802386284,6.72577298246324e-05,-0.00012316940410528332,3.1535768357571214e-05,0.23365390321740237,False,False
0,scaled,1.7920910120010376,0.08980367332696915,870,0.08980368077754974,0.08980368171319188,0.11315483036073093,True,False,-0.024359060438311864,0.03009755427530476,0.010185022984620337,-0.009297473601482507,-0.8945991472213589,-0.0034898412763542837,0.000351911818157359,-0.0006079801264729367,-2.372759527584853e-06,0.03997927079986063,True,False
1,unscaled,12073.390625,0.8864031434059143,1000,0.8864031434059143,0.8864031362985492,1.0132733385080281,False,False,-0.1588146686553955,0.04638056829571724,-0.002172653330489993,0.00018702888337429613,-0.00057131057837978,0.00012707433779723942,0.0004318649007473141,-0.000181259005330503,1.2292553037696052e-05,0.1654494688310412,False,False
1,scaled,1.235801100730896,0.08980367332696915,500,0.08980368077754974,0.08980368231899512,0.11315432866532595,True,False,-0.024357266188430756,0.03009772682680511,0.01018501694965841,-0.009297446937984242,-0.8945993199127954,-0.003489856778651785,0.00035217085923088014,-0.0006079592238904506,-2.3726925042392136e-06,0.03997830462359384,True,False
2,unscaled,204196.171875,1.5804429054260254,1000,1.5804429054260254,1.5804427845700746,1.0662822291843534,False,False,-0.23366793990135193,-0.20865751802921295,-0.025145970284938812,-0.02416905015707016,0.017933208495378494,0.002381237456575036,0.00012697241618297994,-0.001766723464243114,-2.1733537778345635e-06,0.31421587592559636,False,False
2,scaled,1.218994379043579,0.08980368077754974,524,0.08980368077754974,0.08980368149284806,0.113150268689406,True,False,-0.024359036514980115,0.030097575844242306,0.010184939702145774,-0.009297883076634431,-0.8946040977092047,-0.003490096007288226,0.00035197075448154214,-0.0006079931047928086,-2.3729710998554193e-06,0.03997939064247208,True,False
3,unscaled,5226501.0,13.636957168579102,1000,13.636957168579102,13.636957770064015,1.1630154791088596,False,False,0.32288655638694763,0.49063190817832947,0.08827878534793854,0.34114035964012146,-0.06768139451742172,0.13158224523067474,-0.004245050251483917,0.006396733224391937,0.00024796812795102596,0.691899580856385,False,False
3,scaled,2.5416388511657715,0.08980367332696915,537,0.08980368077754974,0.08980368206232217,0.11315538736363015,True,False,-0.024359121334065405,0.030097951760010917,0.01018502177762795,-0.009297582160011158,-0.8945986867108616,-0.003489845151928659,0.00035193551215255425,-0.0006079795025152506,-2.3727616280315826e-06,0.03997963292518396,True,False
4,unscaled,31188898.0,75.03713989257812,1000,75.03713989257812,75.03713168254072,1.745009139601912,False,False,0.17851336300373077,1.3846498727798462,-0.211445152759552,0.17304515838623047,0.003939999733120203,0.036197543144226074,-0.05368221551179886,-0.018316321074962616,0.00026016045012511313,1.4084014042502853,False,False
4,scaled,6.706411361694336,0.08980368077754974,843,0.08980368822813034,0.08980368201670447,0.11315706931924542,True,False,-0.024359471484648263,0.030099393797549535,0.010184989188833557,-0.009298056389373154,-0.8945974203069941,-0.0034898895448715037,0.0003520062755634147,-0.0006079803136602426,-2.37279924512301e-06,0.039981046681605674,True,False
5,unscaled,22827850.0,7.73689079284668,1000,7.73689079284668,7.736890265020853,1.2473394500704227,False,False,-0.2093493938446045,-0.7224700450897217,-0.0161543320864439,-0.033608414232730865,-0.0062179663218557835,-0.005110213533043861,0.000152707114466466,-0.0001472012954764068,-0.00013408793893177062,0.7529580582687854,False,False
5,scaled,21.604480743408203,0.0909787267446518,1000,0.0909787267446518,0.09097872651622299,0.1462598178180134,True,False,-0.029012148463316106,0.06147070784203311,0.009701261643721442,-0.018077938162537742,-0.8722630641354342,-0.004246012343873959,0.0018907186945090974,-0.0006144395236272742,-3.0262631167305856e-06,0.07049216631909666,True,False
6,unscaled,283392.125,1.019700288772583,1000,1.019700288772583,1.0197003705899947,1.0244015890179947,False,False,-0.13460233807563782,0.17252688109874725,0.0008553085499443114,-0.005309296306222677,0.0005213098484091461,-0.008814513683319092,5.159714419278316e-06,-8.030923345359042e-05,6.250825208553579e-06,0.21906438530965894,False,False
6,scaled,1.4962232112884521,0.08980367332696915,349,0.08980368077754974,0.08980368150375102,0.11315448544300602,True,False,-0.0243589930180133,0.030097526543813632,0.010185029019582261,-0.009297464078804555,-0.8945994926042319,-0.0034898412763542837,0.0003519092695595565,-0.0006079803760560111,-2.3727593366351505e-06,0.039979206610932794,True,False
7,unscaled,68287.84375,0.7138110995292664,1000,0.7138110995292664,0.7138111160620175,1.0095444483640539,False,False,-0.17320537567138672,0.23318533599376678,-0.007002446800470352,0.013199040666222572,-0.03373250737786293,0.00045829705777578056,0.015092140063643456,-0.0005415621562860906,3.9030965126585215e-06,0.2911666083039018,False,False
7,scaled,0.8619942665100098,0.08980368077754974,289,0.08980368077754974,0.08980368178582658,0.11315505075250769,True,False,-0.024359029990435092,0.03009779769617132,0.01018504108950611,-0.009297521849717463,-0.8945989745299224,-0.0034898275356814983,0.0003516888556714797,-0.000607992231252048,-2.3727940894810377e-06,0.03997944374605485,True,False
8,unscaled,2334579.25,2.393087148666382,1000,2.393087148666382,2.393087206718233,1.1607422022879617,False,False,-0.004090052098035812,-0.5743600130081177,-0.0010249526239931583,0.011237459257245064,0.008308816701173782,0.012699169106781483,0.00010858425957849249,0.00016561185475438833,-5.3764701988257e-06,0.5746248704173401,False,False
8,scaled,2.21025013923645,0.08980367332696915,637,0.08980368077754974,0.08980368181961561,0.11315532366344726,True,False,-0.024359147432245494,0.030097899378305457,0.010185014535673642,-0.0092975535919773,-0.8945987442746738,-0.003489843742628886,0.0003519330431984331,-0.0006079802512644739,-2.3727631556292043e-06,0.03997960261482041,True,False
9,unscaled,3209.676025390625,0.8947293758392334,1000,0.8947293758392334,0.8947294052955908,1.0111992527937137,False,False,-0.14725333452224731,0.0273231640458107,0.0013808655785396695,-0.00022219272796064615,-0.0001264781749341637,-0.00016166199930012226,0.00011039117816835642,9.703756222734228e-05,1.0440002370160073e-05,0.1497671427152828,False,False
9,scaled,1.1364431381225586,0.08980367332696915,439,0.08980368077754974,0.08980368147375739,0.11315464153208656,True,False,-0.02435898866831662,0.030097523462536843,0.01018503867552134,-0.009297439954687077,-0.8945993199127954,-0.003489835639155192,0.00035190465022603946,-0.0006079795025152506,-2.372752462445854e-06,0.03997919548476115,True,False
10,unscaled,32894.578125,0.9547407627105713,1000,0.9547407627105713,0.9547406825108047,1.0209545551149388,False,False,-0.19021855294704437,0.12191594392061234,-0.011803416535258293,0.0013154501793906093,-0.0048715886659920216,0.0003534153802320361,0.002623335225507617,-0.0009266078122891486,1.3921602658228949e-05,0.22595617110953412,False,False
10,scaled,1.6332613229751587,0.08980367332696915,698,0.08980368077754974,0.0898036814749588,0.11315504917840118,True,False,-0.02435908001194693,0.03009774223318907,0.01018502177762795,-0.009297516136110691,-0.8945989745299224,-0.003489845151928659,0.0003519223311232944,-0.0006079801888687053,-2.372762773729799e-06,0.03997943454973829,True,False
11,unscaled,6261518.5,1.695078730583191,1000,1.695078730583191,1.6950788715596776,1.0339033532227913,False,False,0.021403612568974495,-0.1604672521352768,0.013531976379454136,0.020055649802088737,0.020312119275331497,-0.03559406101703644,-0.00032829708652570844,0.0005976783577352762,-5.3195330110611394e-05,0.1669655285849665,False,False
11,scaled,2.9114348888397217,0.08980367332696915,928,0.08980368077754974,0.0898036818066903,0.11315704891416756,True,False,-0.024359249650117508,0.030100234986113725,0.010185030226574646,-0.009298309057761474,-0.8945976505622427,-0.003489914912267415,0.0003520369782025668,-0.0006079781922041096,-2.3728078378596304e-06,0.03998160602465795,True,False
12,unscaled,63189.984375,0.9053202271461487,1000,0.9053202271461487,0.9053202175305474,1.0133155185773028,False,False,-0.16088421642780304,-0.023192107677459717,-0.0014374093152582645,0.0010802507167682052,-5.8175392041448504e-05,0.006507778540253639,3.2219375611930445e-07,-4.091220034752041e-05,1.7888025467982516e-05,0.16268105320271478,False,False
12,scaled,1.119196891784668,0.08980367332696915,988,0.08980368077754974,0.08980368171859979,0.11315455911662309,True,False,-0.02435891037377635,0.030097514218706465,0.010185044710483265,-0.009297326317396853,-0.8945993774766076,-0.0034898342298554192,0.00035205402195037113,-0.0006079713910653305,-2.372722292392831e-06,0.03997911546324498,True,False
13,unscaled,369864.78125,1.4025055170059204,1000,1.4025055170059204,1.4025055189439724,1.0590786735680353,False,False,-0.1967964619398117,0.20830169320106506,-0.001767510431818664,-0.05489270016551018,0.017300061881542206,0.03380415588617325,4.6568369725719094e-05,0.00012841996795032173,7.363859913311899e-05,0.29372503535116,False,False
13,scaled,1.8897342681884766,0.08980367332696915,676,0.08980368077754974,0.08980368186248444,0.11315504398283607,True,False,-0.02435904738922182,0.03009774531446586,0.010185033847551801,-0.009297542799608956,-0.8945989745299224,-0.0034898409240293406,0.000351922370945135,-0.0006079790657448702,-2.3727558995405025e-06,0.039979422807738516,True,False
14,unscaled,44820.23828125,0.9060317873954773,1000,0.9060317873954773,0.9060317452352894,1.0118760933497561,False,False,-0.15091028809547424,-0.02791091427206993,-0.00016844100900925696,1.3896780728828162e-05,-3.323736382299103e-05,2.62061530520441e-05,-2.7788888473878615e-05,-1.624059791538457e-06,7.723295311734546e-06,0.15346965792284165,False,False
14,scaled,1.208962082862854,0.08980367332696915,541,0.08980368077754974,0.08980368176267019,0.11315484969712523,True,False,-0.02435898649346828,0.030097689851483606,0.010185044710483265,-0.009297476775708491,-0.8945991472213589,-0.003489850436802807,0.0003520923305610902,-0.0006079750724156789,-2.3727488344015034e-06,0.03997933086207192,True,False
15,unscaled,202129.265625,0.9341011643409729,1000,0.9341011643409729,0.9341011647993792,1.005777818944925,False,False,-0.17352983355522156,0.08130251616239548,-0.0023844800889492035,-0.005712008103728294,-0.013033420778810978,0.015152104198932648,5.022589903092012e-05,-9.034601680468768e-05,3.717346771736629e-05,0.19231465787397028,False,False
15,scaled,1.4365025758743286,0.08980368077754974,385,0.08980368077754974,0.089803681696859,0.11315505746778534,True,False,-0.02435908653649195,0.030097766883403404,0.010185022984620337,-0.00929752248456266,-0.8945989745299224,-0.00348984198100417,0.00035192567615791016,-0.0006079799392856309,-2.3727599094842586e-06,0.039979458307753846,True,False
16,unscaled,4304713.0,2.0129036903381348,1000,2.0129036903381348,2.0129035271450713,1.1535821071486745,False,False,-0.1347510665655136,0.5587030053138733,0.0012502906611189246,-3.946951619582251e-05,4.660450213123113e-05,4.414624345372431e-05,1.5995517969713546e-05,-0.00010710579954320565,4.2842748371185735e-05,0.5747233379262068,False,False
