pde_lambda,num_seeds,final_data_loss_mean,final_data_loss_std,final_pde_loss_mean,final_pde_loss_std,final_total_loss_mean,final_total_loss_std,final_train_loss_mean,final_train_loss_std,final_tv_loss_mean,final_tv_loss_std,ls_coeff_error_l2_mean,ls_coeff_error_l2_std,ls_condition_number_mean,ls_condition_number_std,ls_residual_rel_l2_mean,ls_residual_rel_l2_std,ls_residual_rmse_mean,ls_residual_rmse_std,u_max_abs_mean,u_max_abs_std,u_rel_l2_mean,u_rel_l2_std,u_rmse_mean,u_rmse_std,uux_max_abs_mean,uux_max_abs_std,uux_rel_l2_mean,uux_rel_l2_std,uux_rmse_mean,uux_rmse_std,ux_max_abs_mean,ux_max_abs_std,ux_rel_l2_mean,ux_rel_l2_std,ux_rmse_mean,ux_rmse_std,uxx_max_abs_mean,uxx_max_abs_std,uxx_rel_l2_mean,uxx_rel_l2_std,uxx_rmse_mean,uxx_rmse_std,uxxx_rel_l2_mean,uxxx_rel_l2_std
0.0,2,0.0003604624738961707,4.5187146380419206e-05,0.0,0.0,0.0003604624738961707,4.5187146380419206e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49543548672561966,0.007997507076884375,nan,nan,nan,nan,11.625575066281652,0.7334331805883298,nan,nan,392.6036065125023,65.23356223618313
0.1,2,0.24829094966736365,0.24796973228757732,0.0005219237659055058,0.00023524468233878035,0.24881287420855486,0.24773448838340578,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5598319856030382,0.44024550621558184,nan,nan,nan,nan,0.6961047156933597,0.3053391837266646,nan,nan,0.7458096612237661,0.2895947555074065
0.3,2,0.4981284950039174,0.0018362851426153015,4.756530115192474,4.756494498216286,5.254658591629255,4.7583307641567565,5.254658591629255,4.7583307641567565,0.0,0.0,9.657779709363211,8.689382667026091,1325692.5847884594,1294543.4942817078,1277.8065300638973,1277.5632993183617,5.567504493951497,5.5468130816479,1.5235274093102111,0.0736483719841643,1.0018290564600902,0.0018353660163767382,0.7057719756107049,0.0012929849568589225,60.56131530282727,0.07765582434858942,1.0029710697740573,0.002971068481762651,2.9321780119583374,0.008685895273339739,65.82728299401009,7.764084669973993,1.1790056470995947,0.1790137189382593,6.6392560490239525,1.0080680438154963,17840.737131275877,5964.3984956569075,4.340141605028418,3.340104697032755,1081.9658599406662,832.6639035532668,nan,nan
0.5,2,0.5059895901986868,0.009723406912076571,31.8398245810485,31.82386256784828,32.34581428736744,31.833586090567092,32.34581428736744,31.833586090567092,0.0,0.0,1.144540391813143,0.2632804730956222,127532.75510507483,73526.21472501896,3617.1263608473464,3464.555516508468,11.412520189790705,11.063244247561478,1.5550405069175173,0.11068056836395279,1.0096692228841602,0.009701966626785408,0.7112952429890581,0.006834874781622258,60.44096775459855,0.19834300738875754,1.0742054934427523,0.07420581919252656,3.140431287721242,0.21694012714115285,85.94347723771594,27.845932157620158,1.6524262507952696,0.6519039190033676,9.305197993026843,3.671023161146838,74361.0439888732,62468.08352076427,15.572104010563226,14.554809870670066,3882.012717592936,3628.4086583136545,nan,nan
0.9,2,0.6254990218889596,0.12909990844160024,116.33677500010339,116.33090353075019,116.96227357234106,116.4600029906424,116.96227357234106,116.4600029906424,0.0,0.0,11.941881305029709,10.769305445718922,222953.1705960561,208659.88498216926,11803.928061646357,11802.433365728333,12.282859801967994,12.127013246593703,1.6949971899042824,0.25432462182902016,1.116818910579444,0.11672356033744813,0.7867804231034992,0.08222981480569369,58.75073518224899,1.888015092874486,1.6672681711716757,0.6672674610094582,4.874245348521246,1.9507511594606197,84.8992399372118,26.809523716728375,1.6844760208820806,0.6844549482578421,9.485677730712709,3.8543256062295903,31893.886002252082,20018.139140143092,13.433309504860636,12.432316755377967,3348.8267418363407,3099.286501090832,nan,nan
1.0,2,0.5245269829093819,0.006919339446738226,47.49819269274721,36.45508278006374,48.022720001711704,36.462002475662985,48.022720001711704,36.462002475662985,0.0,0.0,0.9936669800505824,0.07896056996531131,25763.676312666932,6713.0257321219615,4432.866882565938,2255.805609870009,11.814674973689886,5.276600847113449,1.6015452274516302,0.08088564265573772,1.0280245836213564,0.006773778798778607,0.7242262905834579,0.00477201496037305,60.347745514117726,0.3585788495838642,1.0794332201624646,0.07279237386716508,3.1557145055547537,0.21280793088043426,69.11101601245893,6.458794058083143,1.479386962462466,0.39893129082779566,8.330773362738947,2.246475232997453,52510.14223506366,39990.737041585206,13.75976471966657,10.660316154438874,3430.2096618798687,2657.5395885502007,nan,nan
