epoch,total_loss,data_loss,pde_loss,tv_loss,l1_data_loss,sparse_eql_loss
0,0.07053295961387529,0.07053295961387529,0.0,0.0,0.0,0.0
1,0.0008716600803579988,0.0008716600803579988,0.0,0.0,0.0,0.0
2,0.00031922380615712726,0.00031922380615712726,0.0,0.0,0.0,0.0
3,0.0003232037225544526,0.0003232037225544526,0.0,0.0,0.0,0.0
4,0.0003143582195689035,0.0003143582195689035,0.0,0.0,0.0,0.0
5,0.000236959195042278,0.000236959195042278,0.0,0.0,0.0,0.0
6,0.00011244188549831546,0.00011244188549831546,0.0,0.0,0.0,0.0
7,0.00022208045100180046,0.00022208045100180046,0.0,0.0,0.0,0.0
8,0.0005724111002510284,0.0005724111002510284,0.0,0.0,0.0,0.0
9,0.0003657664290783779,0.0003657664290783779,0.0,0.0,0.0,0.0
10,0.000229423043564755,0.000229423043564755,0.0,0.0,0.0,0.0
11,0.00045212952357873615,0.00045212952357873615,0.0,0.0,0.0,0.0
12,0.0005231697338813049,0.0005231697338813049,0.0,0.0,0.0,0.0
13,0.00042885226585976044,0.00042885226585976044,0.0,0.0,0.0,0.0
14,0.00022769335306959578,0.00022769335306959578,0.0,0.0,0.0,0.0
15,0.00040430688710726503,0.00040430688710726503,0.0,0.0,0.0,0.0
16,0.0005148717869040879,0.0005148717869040879,0.0,0.0,0.0,0.0
17,0.00042528138060288705,0.00042528138060288705,0.0,0.0,0.0,0.0
18,0.0005035521746394086,0.0005035521746394086,0.0,0.0,0.0,0.0
19,0.00047088711664292705,0.00047088711664292705,0.0,0.0,0.0,0.0
20,0.0003690371318088642,0.0003690371318088642,0.0,0.0,0.0,0.0
21,0.0002590969036619114,0.0002590969036619114,0.0,0.0,0.0,0.0
22,6.700430004448298e-05,6.700430004448298e-05,0.0,0.0,0.0,0.0
23,6.914353384267502e-05,6.914353384267502e-05,0.0,0.0,0.0,0.0
24,5.472728280617975e-05,5.472728280617975e-05,0.0,0.0,0.0,0.0
25,5.628922170415373e-05,5.628922170415373e-05,0.0,0.0,0.0,0.0
26,9.593944552834007e-05,9.593944552834007e-05,0.0,0.0,0.0,0.0
27,0.000506522843100149,0.000506522843100149,0.0,0.0,0.0,0.0
28,0.001262938758210823,0.001262938758210823,0.0,0.0,0.0,0.0
29,0.0025760065810293844,0.0025760065810293844,0.0,0.0,0.0,0.0
30,0.0014950468292515172,0.0014950468292515172,0.0,0.0,0.0,0.0
31,0.0011405410477891564,0.0011405410477891564,0.0,0.0,0.0,0.0
32,0.0006084360993734681,0.0006084360993734681,0.0,0.0,0.0,0.0
33,0.00017171888950794916,0.00017171888950794916,0.0,0.0,0.0,0.0
34,7.392213394430853e-05,7.392213394430853e-05,0.0,0.0,0.0,0.0
35,9.093451534690668e-05,9.093451534690668e-05,0.0,0.0,0.0,0.0
36,4.882409137118686e-05,4.882409137118686e-05,0.0,0.0,0.0,0.0
37,5.0938386014215464e-05,5.0938386014215464e-05,0.0,0.0,0.0,0.0
38,4.4476328256867345e-05,4.4476328256867345e-05,0.0,0.0,0.0,0.0
39,0.00012333463605995854,0.00012333463605995854,0.0,0.0,0.0,0.0
40,0.00012271657861575558,0.00012271657861575558,0.0,0.0,0.0,0.0
41,0.00017095479530992338,0.00017095479530992338,0.0,0.0,0.0,0.0
42,0.0001654471872987613,0.0001654471872987613,0.0,0.0,0.0,0.0
43,9.58819706139897e-05,9.58819706139897e-05,0.0,0.0,0.0,0.0
44,4.4179340073980605e-05,4.4179340073980605e-05,0.0,0.0,0.0,0.0
45,6.35613094814154e-05,6.35613094814154e-05,0.0,0.0,0.0,0.0
46,0.00016151705718170484,0.00016151705718170484,0.0,0.0,0.0,0.0
47,0.0007526748554347692,0.0007526748554347692,0.0,0.0,0.0,0.0
48,0.001525429902727356,0.001525429902727356,0.0,0.0,0.0,0.0
49,0.0012596492392776331,0.0012596492392776331,0.0,0.0,0.0,0.0
50,0.0006833342803033567,0.0006833342803033567,0.0,0.0,0.0,0.0
